locus,gene_weight,gene_name,gene_product,cog,operon,regulator,Zur,link
PP_5361,0.3084222865461556,PP_5361,47 kDa protein,Function unknown,Op3514,Zur,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5361&e1=1&assembly=complete
PP_5360,0.2661217216978298,PP_5360,conserved protein of unknown function,Function unknown,Op3514,Zur,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5360&e1=1&assembly=complete
PP_0508,0.2644633682730439,PP_0508,conserved exported protein of unknown function,Inorganic ion transport and metabolism,Op329,Zur,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0508&e1=1&assembly=complete
PP_1446,0.257639113017036,PP_1446,TonB-dependent receptor,Cell wall/membrane/envelope biogenesis,Op912,Zur,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1446&e1=1&assembly=complete
PP_3325,0.2575136050526835,PP_3325,putative Outer membrane ferric siderophore receptor,Cell wall/membrane/envelope biogenesis,Op2157,FleQ,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3325&e1=1&assembly=complete
PP_3326,0.2344317828652997,PP_3326,conserved exported protein of unknown function,Inorganic ion transport and metabolism,Op2157,FleQ,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3326&e1=1&assembly=complete
PP_5362,0.2254160776617441,PP_5362,conserved exported protein of unknown function,Function unknown,Op3515,Zur,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5362&e1=1&assembly=complete
PP_3321,0.2252312613434824,PP_3321,conserved protein of unknown function,Function unknown,Op2155,Zur,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3321&e1=1&assembly=complete
PP_3320,0.2204252249982102,PP_3320,conserved protein of unknown function,Amino acid transport and metabolism,Op2154,Zur,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3320&e1=1&assembly=complete
PP_0506,0.2134883992399213,PP_0506,putative ABC efflux transporter%2C permease protein,Defense mechanisms,Op329,Zur,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0506&e1=1&assembly=complete
PP_0507,0.2122999894160946,PP_0507,putative ABC efflux transporter%2C ATP-binding protein,Defense mechanisms,Op329,Zur,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0507&e1=1&assembly=complete
PP_2419,0.2060574966815663,PP_2419,conserved membrane protein of unknown function DUF1624 family,Function unknown,Op1565,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2419&e1=1&assembly=complete
