locus,gene_weight,gene_name,gene_product,cog,operon,regulator,ABUW_1645,link
ABUW_2452,0.2123095824,ABUW_2452,isovaleryl-CoA dehydrogenase,Lipid transport and metabolism,Op1257,ABUW_1645,True,
ABUW_2453,0.19786271830000002,ABUW_2453,methylcrotonoyl-CoA carboxylase beta chain,Lipid transport and metabolism,Op1257,ABUW_1645,True,
ABUW_2454,0.1928045102,mgh,3-methylglutaconyl-CoA hydratase,Lipid transport and metabolism,Op1257,ABUW_1645,True,
ABUW_2451,0.1916015721,ABUW_2451,transcriptional regulator AcrR family,Transcription,Op1256,ABUW_1645,True,
ABUW_2456,0.18239217900000002,ABUW_2456,hydroxymethylglutaryl-CoA lyase,Amino acid transport and metabolism,Op1257,ABUW_1645,True,
ABUW_2455,0.1730727107,ABUW_2455,methylcrotonoyl-CoA carboxylase subunit alpha,Lipid transport and metabolism,Op1257,ABUW_1645,True,
ABUW_2450,0.1688200649,ABUW_2450,long-chain fatty-acid-CoA ligase,Lipid transport and metabolism,Op1255,ABUW_1645,True,
ABUW_2449,0.1644644673,ABUW_2449,putative SAM-dependent methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",Op1254,,False,
ABUW_2448,0.1170158631,ABUW_2448,hypothetical protein,Cell wall/membrane/envelope biogenesis,Op1253,,False,
ABUW_1572,0.0993003642,ABUW_1572,short-chain dehydrogenase/reductase,Lipid transport and metabolism,Op808,ABUW_1645,True,
ABUW_2096,0.09390544960000001,atoD,3-oxoacid CoA-transferase%2C subunit A,Lipid transport and metabolism,Op1087,,False,
ABUW_2097,0.08534680210000001,atoA,3-oxoacid CoA-transferase%2C subunit B,Lipid transport and metabolism,Op1087,,False,
ABUW_0077,0.0851344819,hutU,urocanate hydratase,Amino acid transport and metabolism,Op50,HutC,False,
