locus,gene_weight,gene_name,gene_product,cog,regulator,link
STM1408,0.2413539067,ssaI,secretion system apparatus,No COG annotation,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1408
STM1406,0.23287289160000002,ssaG,secretion system apparatus,Function unknown,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1406
STM1409,0.23161699430000002,ssaJ,secretion system apparatus protein,"Intracellular trafficking, secretion, and vesicular transport",,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1409
STM1411,0.2001061899,ssaK,secretion system apparatus protein,Cell motility,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1411
STM1413,0.1978472309,ssaM,secretion system apparatus protein,No COG annotation,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1413
STM1410,0.19171248030000002,STM1410,putative cytoplasmic protein,Function unknown,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1410
STM1602,0.1856489658,sifB,Salmonella translocated effector: translocated by SPI-2,Function unknown,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1602
STM1420,0.1818400269,ssaS,secretion system apparatus,"Intracellular trafficking, secretion, and vesicular transport",,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1420
STM1419,0.1747289185,ssaR,secretion system apparatus protein,"Intracellular trafficking, secretion, and vesicular transport",,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1419
STM2287,0.17218247790000002,STM2287,putative cytoplasmic protein,"Post-translational modification, protein turnover,and chaperones",,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2287
STM1398,0.1652355589,sseB,secretion system effector,Function unknown,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1398
STM1421,0.1601393292,ssaT,secretion system apparatus protein,"Intracellular trafficking, secretion, and vesicular transport",,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1421
STM1631,0.1550367748,sseJ,Salmonella translocated effector,Lipid transport and metabolism,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1631
STM1400,0.15300744830000002,sseC,secretion system effector,Function unknown,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1400
STM1399,0.1528543058,sscA,secretion system chaparone,Function unknown,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1399
STM1402,0.1512998646,sseE,secretion system effector,Function unknown,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1402
STM1698,0.1477078337,STM1698,putative inner membrane protein,No COG annotation,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1698
STM1394,0.1454117371,ssaC,secretion system apparatus protein,Cell motility,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1394
STM1401,0.1446990976,sseD,secretion system effector,No COG annotation,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1401
