locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,link
PA5351,0.160075733,rubA1,,rubredoxin,Energy production and conversion,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5351&e1=1&assembly=complete
PA5570,0.11764511500000001,rpmH,,50S ribosomal protein L34,"Translation, ribosomal structure and biogenesis",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5570&e1=1&assembly=complete
PA4563,0.11207892200000001,rpsT,,30S ribosomal protein S20,"Translation, ribosomal structure and biogenesis",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4563&e1=1&assembly=complete
PA1985,0.110995463,pqqA,,coenzyme PQQ synthesis protein A,No COG annotation,"ErbR,ErbR",https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1985&e1=1&assembly=complete
PA5049,0.11035852600000001,rpmE,,50S ribosomal protein L31,"Translation, ribosomal structure and biogenesis",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5049&e1=1&assembly=complete
PA3496,0.10473770700000001,PA3496,,hypothetical protein,No COG annotation,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3496&e1=1&assembly=complete
PA2970,0.102307427,rpmF,,50S ribosomal protein L32,"Translation, ribosomal structure and biogenesis",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2970&e1=1&assembly=complete
PA1112b,0.09778695800000001,PA1112b,,hypothetical protein,No COG annotation,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1112b&e1=1&assembly=complete
PA2966,0.09067548,acpP,,acyl carrier protein,Lipid transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2966&e1=1&assembly=complete
PA1034,0.090370903,PA1034,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1034&e1=1&assembly=complete
PA1159,0.087483551,PA1159,,cold-shock protein,Transcription,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1159&e1=1&assembly=complete
PA1571,0.086869823,PA1571,,hypothetical protein,No COG annotation,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1571&e1=1&assembly=complete
PA5276,0.086563631,lppL,,lipopeptide LppL,Cell motility,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5276&e1=1&assembly=complete
PA2619,0.08419903200000001,infA,,translation initiation factor IF-1,"Translation, ribosomal structure and biogenesis",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2619&e1=1&assembly=complete
PA3031,0.07370016600000001,PA3031,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3031&e1=1&assembly=complete
PA4306,0.07230747700000001,flp,,type IVb pilin Flp,"Intracellular trafficking, secretion, and vesicular transport",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4306&e1=1&assembly=complete
PA4741,0.069448006,rpsO,,30S ribosomal protein S15,"Translation, ribosomal structure and biogenesis",S15,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4741&e1=1&assembly=complete
PA5240,0.067401786,trxA,,thioredoxin,"Post-translational modification, protein turnover,and chaperones",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5240&e1=1&assembly=complete
PA5424,0.06702142800000001,PA5424,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5424&e1=1&assembly=complete
PA0567,0.06581585200000001,PA0567,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0567&e1=1&assembly=complete
PA3266,0.064278105,capB,,major cold shock protein CspA,Transcription,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3266&e1=1&assembly=complete
PA2805,0.063538758,PA2805,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2805&e1=1&assembly=complete
PA5314,0.062866788,PA5314,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5314&e1=1&assembly=complete
PA0050,0.062665071,PA0050,,hypothetical protein,No COG annotation,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0050&e1=1&assembly=complete
PA1404,0.062493123000000005,PA1404,,hypothetical protein,No COG annotation,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1404&e1=1&assembly=complete
PA0579,0.062390447,rpsU,,30S ribosomal protein S21,"Translation, ribosomal structure and biogenesis",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0579&e1=1&assembly=complete
