,gene_name,accession,start,end,strand,gene_product,cog,uniprot,operon,regulator
PN96_RS00040,pssA,NZ_CP009977.1,6014,7354,-,CDP-diacylglycerol--serine O-phosphatidyltransferase,Lipid transport and metabolism,UPI0003582527,Op3,
PN96_RS00045,PN96_RS00045,NZ_CP009977.1,7450,7857,-,GNAT family N-acetyltransferase,Function unknown,UPI0004A32A38,Op4,TfoX
PN96_RS00050,murB,NZ_CP009977.1,7958,9001,+,UDP-N-acetylmuramate dehydrogenase,Cell wall/membrane/envelope biogenesis,UPI000356E98A,Op5,
PN96_RS00055,birA,NZ_CP009977.1,8998,9963,+,bifunctional biotin--[acetyl-CoA-carboxylase] ligase/biotin operon repressor BirA,Coenzyme transport and metabolism,A0A3B7D6E4,Op5,
PN96_RS00060,coaA,NZ_CP009977.1,9973,10896,-,type I pantothenate kinase,Nucleotide transport and metabolism,UPI00035769CF,Op6,Crp
PN96_RS00085,tuf,NZ_CP009977.1,11619,12803,+,elongation factor Tu,"Translation, ribosomal structure and biogenesis",A0A1B1EFD9,Op7,
PN96_RS00090,secE,NZ_CP009977.1,13072,13452,+,preprotein translocase subunit SecE,"Intracellular trafficking, secretion, and vesicular transport",A0A1B1EFT5,Op9,
PN96_RS00095,nusG,NZ_CP009977.1,13466,14014,+,transcription termination/antitermination protein NusG,Transcription,A0A0D1WCZ4,Op9,
PN96_RS00100,rplK,NZ_CP009977.1,14180,14608,+,50S ribosomal protein L11,"Translation, ribosomal structure and biogenesis",A0A084T3E8,Op11,
PN96_RS00105,rplA,NZ_CP009977.1,14613,15314,+,50S ribosomal protein L1,"Translation, ribosomal structure and biogenesis",A0A1B1EFQ9,Op11,
PN96_RS00110,rplJ,NZ_CP009977.1,15607,16101,+,50S ribosomal protein L10,"Translation, ribosomal structure and biogenesis",UPI000357B636,Op11,
PN96_RS00115,rplL,NZ_CP009977.1,16159,16527,+,50S ribosomal protein L7/L12,"Translation, ribosomal structure and biogenesis",A0A1B1EFT1,Op11,
PN96_RS00120,rpoB,NZ_CP009977.1,16779,20807,+,DNA-directed RNA polymerase subunit beta,Transcription,A0A1B1EFQ8,Op13,
PN96_RS00125,rpoC,NZ_CP009977.1,20895,25097,+,DNA-directed RNA polymerase subunit beta',Transcription,A0A1B1EFQ6,Op13,
PN96_RS00130,PN96_RS00130,NZ_CP009977.1,25244,25735,-,Rsd/AlgQ family anti-sigma factor,Transcription,UPI000357F3BC,Op19,
PN96_RS00135,nudC,NZ_CP009977.1,25914,26708,+,NAD(+) diphosphatase,"Replication, recombination and repair",UPI000357F2B5,Op20,
PN96_RS00140,hemE,NZ_CP009977.1,26960,28027,+,uroporphyrinogen decarboxylase,Coenzyme transport and metabolism,A0A3B7CVA9,Op22,
PN96_RS00145,PN96_RS00145,NZ_CP009977.1,28247,28819,-,uracil-DNA glycosylase family protein,"Replication, recombination and repair",A0A1B1EFS4,Op24,
PN96_RS00150,PN96_RS00150,NZ_CP009977.1,28827,29750,-,D-2-hydroxyacid dehydrogenase,Amino acid transport and metabolism,UPI0003573C52,Op24,
PN96_RS00155,PN96_RS00155,NZ_CP009977.1,29817,30404,+,DUF416 family protein,Function unknown,A0A1B1EFP9,Op25,
PN96_RS00160,PN96_RS00160,NZ_CP009977.1,30478,31605,-,hemolysin family protein,Function unknown,UPI00035793EB,Op27,
PN96_RS00165,hupA,NZ_CP009977.1,31859,32131,+,DNA-binding protein HU-alpha,"Replication, recombination and repair",A0A0A3EHV6,Op28,
PN96_RS00170,PN96_RS00170,NZ_CP009977.1,32171,32869,+,DUF1481 domain-containing protein,Cell wall/membrane/envelope biogenesis,UPI0003581BBB,Op28,
PN96_RS00175,purD,NZ_CP009977.1,32939,34228,-,phosphoribosylamine--glycine ligase,Nucleotide transport and metabolism,A0A1B1EFN9,Op30,PurR
PN96_RS00180,purH,NZ_CP009977.1,34447,36039,-,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,Nucleotide transport and metabolism,UPI00035753A3,Op30,PurR
PN96_RS00190,zntR,NZ_CP009977.1,36305,36703,+,Zn(2+)-responsive transcriptional regulator,Transcription,A0A1B1EGF7,Op32,
PN96_RS00195,cadC,NZ_CP009977.1,36858,38384,+,lysine decarboxylation/transport transcriptional activator CadC,Transcription,UPI0003573BE6,Op34,
PN96_RS23650,PN96_RS23650,NZ_CP009977.1,49873,50889,+,IS630 family transposase,"Replication, recombination and repair",,Op41,
PN96_RS00260,PN96_RS00260,NZ_CP009977.1,51213,52529,-,sodium:proton antiporter,Inorganic ion transport and metabolism,UPI000E4B79B2,Op44,
PN96_RS00265,metH,NZ_CP009977.1,52764,56444,+,methionine synthase,Amino acid transport and metabolism,UPI000357C917,Op46,MetJ
PN96_RS00270,lysC,NZ_CP009977.1,56508,57860,-,lysine-sensitive aspartokinase 3,Amino acid transport and metabolism,A0A1B1EF89,Op49,Lysine
PN96_RS00280,PN96_RS00280,NZ_CP009977.1,58366,59487,+,alanine--glyoxylate aminotransferase family protein,Amino acid transport and metabolism,UPI000357D0BA,Op52,
PN96_RS00285,PN96_RS00285,NZ_CP009977.1,59538,61316,-,PglL family O-oligosaccharyltransferase,Cell wall/membrane/envelope biogenesis,UPI0003F4E6FD,Op53,
PN96_RS00290,uvrA,NZ_CP009977.1,61384,64206,-,excinuclease ABC subunit UvrA,"Replication, recombination and repair",UPI00018411B5,Op54,LexA
PN96_RS00295,galU,NZ_CP009977.1,64355,65227,-,UTP--glucose-1-phosphate uridylyltransferase GalU,Cell wall/membrane/envelope biogenesis,A0A1B1EF85,Op57,"Crp,TfoX"
PN96_RS00300,QstR,NZ_CP009977.1,65407,66051,-,LuxR C-terminal-related transcriptional regulator,Transcription,UPI000357340A,Op59,"QstR,TfoX"
