locus,gene_weight,gene_name,gene_product,COG,operon,regulator,Cra,link
b2169,0.49944758600000005,fruB,fructose-specific PTS multiphosphoryl transfer protein FruB,Carbohydrate transport and metabolism,fruBKA,"RpoD,Cra",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7990
b2168,0.4308197354,fruK,1-phosphofructokinase,Nucleotide transport and metabolism,fruBKA,"RpoD,Cra",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10337
b2167,0.408532434,fruA,fructose-specific PTS multiphosphoryl transfer protein FruA,Carbohydrate transport and metabolism,fruBKA,"RpoD,Cra",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10336
b2166,0.12247692680000001,psuK,putative pseudouridine kinase,Carbohydrate transport and metabolism,psuKG,Crp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11646
b2165,0.11691017390000001,psuG,pseudouridine-5'-phosphate glycosidase,"Secondary metabolites biosynthesis, transport, and catabolism",psuKG,Crp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12033
b2927,0.10615942610000001,epd,D-erythrose-4-phosphate dehydrogenase,Coenzyme transport and metabolism,epd-pgk-fbaA,"RpoD,RpoS,Cra,Crp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10368
b1241,0.0956057023,adhE,aldehyde-alcohol dehydrogenase,Energy production and conversion,adhE,"RpoD,YdhB,RpoS,gcvB,Lrp,Fnr,NarL,Cra,Fis",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10031
b3612,0.08395340100000001,gpmM,2%2C3-bisphosphoglycerate-independent phosphoglycerate mutase,Nucleotide transport and metabolism,gpmM-envC-yibQ,"RpoS,Cra",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12296
b2925,0.062055016000000005,fbaA,fructose-bisphosphate aldolase class II,Nucleotide transport and metabolism,epd-pgk-fbaA,"RpoD,RpoS,Cra,Crp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10282
b3365,0.060407307300000004,nirB,nitrite reductase catalytic subunit NirB,Energy production and conversion,nirBDC-cysG,"RpoD,Cra,Crp,IHF,NarL,NarP,Fis,H-NS,Fnr,ryhB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10653
b2926,0.060262470900000004,pgk,phosphoglycerate kinase,Nucleotide transport and metabolism,epd-pgk-fbaA,"RpoD,RpoS,Crp,Cra",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10703
b3366,0.0546886251,nirD,nitrite reductase subunit NirD,Inorganic ion transport and metabolism,nirBDC-cysG,"RpoD,Cra,Crp,IHF,NarL,NarP,Fis,H-NS,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10655
b4232,-0.06283998660000001,fbp,fructose-1%2C6-bisphosphatase 1,Carbohydrate transport and metabolism,fbp,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10283
b1702,-0.18196750180000001,ppsA,phosphoenolpyruvate synthetase,Carbohydrate transport and metabolism,ppsA,"RpoD,Cra,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10759
b0080,-0.2607438052,cra,DNA-binding transcriptional dual regulator Cra,Transcription,cra,"PhoB,RpoH",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10338
