locus,gene_weight,gene_name,gene_product,cog,operon,regulator,EvgA,link
b2375,0.3111862689,yfdX,protein YfdX,Function unknown,yfdX-frc-oxc-yfdVE,"RpoD,ppGpp,EvgA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7238
b2374,0.2810615909,frc,formyl-CoA transferase,Energy production and conversion,yfdX-frc-oxc-yfdVE,"RpoD,EvgA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7237
b1597,0.27740212470000003,asr,acid shock protein,No COG annotation,asr,"RpoD,PhoB,RpoS,H-NS,RcdA,RstA",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6855
b2373,0.25129364,oxc,oxalyl-CoA decarboxylase,Amino acid transport and metabolism,yfdX-frc-oxc-yfdVE,"RpoD,YdcR,EvgA,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7236
b2372,0.2462154659,yfdV,putative transport protein YfdV,"Intracellular trafficking, secretion, and vesicular transport",yfdX-frc-oxc-yfdVE,"RpoD,YeiE,EvgA,Nac,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7235
b1499,0.2432667915,ydeO,DNA-binding transcriptional dual regulator YdeO,Transcription,safA-ydeO,"RpoD,RcsB,YdhB,RpoH,YdeO,PhoP,EvgA,H-NS,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6789
b2085,0.2101302179,yegR,uncharacterized protein YegR,No COG annotation,yegRZ,"RpoD,ppGpp,EvgA,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7122
b1501,0.178046328,ydeP,putative oxidoreductase YdeP,Energy production and conversion,ydeP,"RpoD,PhoP,NagC,UvrY,NarL,NarP,RcsB,EvgA,H-NS,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6791
b2376,0.1760856834,ypdI,colanic acid synthesis putative lipoprotein YpdI,No COG annotation,ypdI,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7239
b2371,0.1752032452,yfdE,acetyl-CoA:oxalate CoA-transferase,Energy production and conversion,yfdX-frc-oxc-yfdVE,"RpoD,EvgA,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7234
b2368,0.168250544,emrK,tripartite efflux pump membrane fusion protein EmrK,Defense mechanisms,emrKY,"YciT,Fnr,EvgA,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7233
b2367,0.1403486451,emrY,tripartite efflux pump membrane subunit EmrY,Amino acid transport and metabolism,emrKY,"gcvB,Fnr,EvgA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG13283
b2082,0.1159185143,ogrK,prophage P2 late control protein OgrK,Transcription,ogrK,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7119
b1469,0.0970797661,narU,nitrate/nitrite transporter NarU,Inorganic ion transport and metabolism,narU,"RpoD,RpoS,OmpR,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12153
b1223,0.0885040976,narK,nitrate:nitrite antiporter NarK,Inorganic ion transport and metabolism,narK,"RpoD,Fis,IHF,NarL,Fnr,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10642
b1466,0.0798440712,narW,NarW%2C putative private chaperone for NarZ nitrate reductase subunit,Energy production and conversion,narZYWV,"RpoE,OmpR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10645
b1467,0.0764122794,narY,nitrate reductase Z subunit beta,Energy production and conversion,narZYWV,OmpR,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10647
b1468,0.0729192551,narZ,nitrate reductase Z subunit alpha,Energy production and conversion,narZYWV,"OmpR,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10648
b4354,0.0680037621,btsT,pyruvate:H(+) symporter,Signal transduction mechanisms,btsT,"RpoS,Crp,BtsR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7942
b2106,-0.0786603374,rcnA,Ni(2(+))/Co(2(+)) exporter,"Intracellular trafficking, secretion, and vesicular transport",rcnAB,"RpoD,Fur,RcnR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7138
