locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,RpoN,link
PA2171,0.14292853900000002,PA2171,,hypothetical protein,Function unknown,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2171&e1=1&assembly=complete
PA2146,0.14250141400000002,PA2146,,hypothetical protein,No COG annotation,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2146&e1=1&assembly=complete
PA2170,0.133227317,PA2170,,hypothetical protein,Function unknown,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2170&e1=1&assembly=complete
PA2173,0.131296413,PA2173,,hypothetical protein,Function unknown,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2173&e1=1&assembly=complete
PA2159,0.129592485,PA2159,,hypothetical protein,Function unknown,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2159&e1=1&assembly=complete
PA2169,0.126233907,PA2169,,hypothetical protein,Function unknown,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2169&e1=1&assembly=complete
PA2160,0.125940876,PA2160,,glycosyl hydrolase,Carbohydrate transport and metabolism,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2160&e1=1&assembly=complete
PA2184,0.120030573,PA2184,,hypothetical protein,Function unknown,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2184&e1=1&assembly=complete
PA2162,0.11930447100000001,PA2162,,malto-oligosyltrehalose synthase,Carbohydrate transport and metabolism,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2162&e1=1&assembly=complete
PA2163,0.11280585100000001,PA2163,,4-alpha-glucanotransferase,Carbohydrate transport and metabolism,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2163&e1=1&assembly=complete
PA2190,0.112086769,PA2190,,hypothetical protein,Function unknown,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2190&e1=1&assembly=complete
PA2172,0.111067103,PA2172,,hypothetical protein,Amino acid transport and metabolism,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2172&e1=1&assembly=complete
PA2158,0.106078985,PA2158,,alcohol dehydrogenase,Energy production and conversion,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2158&e1=1&assembly=complete
PA2161,0.105863444,PA2161,,hypothetical protein,Function unknown,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2161&e1=1&assembly=complete
