locus,gene_weight,gene_name,gene_product,cog,operon,regulator,XylR,link
b3565,0.3280281943,xylA,xylose isomerase,Carbohydrate transport and metabolism,xylAB,"Crp,AraC,XylR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11074
b3566,0.3159360358,xylF,xylose ABC transporter periplasmic binding protein,Carbohydrate transport and metabolism,xylFGHR,"Fis,Crp,XylR,spf",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG20252
b4031,0.2818066641,xylE,D-xylose:H(+) symporter,Amino acid transport and metabolism,xylE,"RpoD,XylR,Crp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11076
b3567,0.2619398944,xylG,xylose ABC transporter ATP binding subunit,Carbohydrate transport and metabolism,xylFGHR,"Fis,Crp,XylR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12275
b3568,0.2502000754,xylH,xylose ABC transporter membrane subunit,Carbohydrate transport and metabolism,xylFGHR,"Fis,Crp,XylR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12276
b3564,0.24891676540000002,xylB,xylulokinase,Nucleotide transport and metabolism,xylAB,"YeiE,Crp,AraC,XylR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11075
b0270,0.20312519480000002,yagG,putative D-xylonate transporter YagG,Carbohydrate transport and metabolism,yagGH,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6142
b3657,0.1914445019,yicJ,putative xyloside transporter YicJ,Carbohydrate transport and metabolism,yicJI,"RpoE,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11686
b0271,0.182795134,yagH,CP4-6 prophage%3B putative xylosidase/arabinosidase,Carbohydrate transport and metabolism,yagGH,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6143
b3656,0.1609873793,yicI,alpha-D-xyloside xylohydrolase,Carbohydrate transport and metabolism,yicJI,"YdcN,YdcR,RpoE,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11685
b3569,0.1454704678,xylR,DNA-binding transcriptional dual regulator XylR,Transcription,xylFGHR,"Fis,ArcA,Crp,XylR,ppGpp,dicF",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG20253
b3563,0.12398096430000001,yiaB,conserved inner membrane protein YiaB,Function unknown,yiaB,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11267
b3562,0.1167871996,yiaA,conserved inner membrane protein YiaA,Function unknown,yiaA,RpoH,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11186
