locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,PrrF,link
PA2027,0.25690924400000004,PA2027,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2027&e1=1&assembly=complete
PA3119,0.240799106,PA3119,,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3119&e1=1&assembly=complete
PA3121,0.238533392,leuC,,3-isopropylmalate dehydratase large subunit,Amino acid transport and metabolism,PrrF,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3121&e1=1&assembly=complete
PA3120,0.23307264700000002,leuD,,isopropylmalate isomerase small subunit,Amino acid transport and metabolism,PrrF,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3120&e1=1&assembly=complete
PA3792,0.188189282,leuA,,2-isopropylmalate synthase,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3792&e1=1&assembly=complete
PA3118,0.152031109,leuB,,3-isopropylmalate dehydrogenase,Energy production and conversion,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3118&e1=1&assembly=complete
PA3965,0.13501469,PA3965,,transcriptional regulator,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3965&e1=1&assembly=complete
PA3963a,0.12960055,PA3963a,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3963a&e1=1&assembly=complete
PA4696,0.117029565,ilvI,,acetolactate synthase 3 catalytic subunit,Coenzyme transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4696&e1=1&assembly=complete
PA4695,0.10640173100000001,ilvH,,acetolactate synthase small subunit,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4695&e1=1&assembly=complete
PA3117,0.09812881400000001,asd,,aspartate-semialdehyde dehydrogenase,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3117&e1=1&assembly=complete
