locus,comp,gene_name,product,operon,TF,link
b1110,0.269719883735,ycfJ,putative protein,ycfJ,,https://ecocyc.org/gene?orgid=ECOLI&id=EG12444
b0379,0.203259758578,yaiY,inner membrane protein,yaiY,"crp, nac",https://ecocyc.org/gene?orgid=ECOLI&id=G6228
b2390,0.20102347182100005,ypeC,conserved protein,ypeC,soxS,https://ecocyc.org/gene?orgid=ECOLI&id=G7252
b1172,0.19414602829500002,ymgG,putative protein,ymgGD,,https://ecocyc.org/gene?orgid=ECOLI&id=G6612
b2466,0.17056390282900002,ypfG,putative protein,ypfG,,https://ecocyc.org/gene?orgid=ECOLI&id=G7295
b1379,0.159057542135,hslJ,lipoprotein implicated in Novobiocin resistance,hslJ,"cysB, rpoD",https://ecocyc.org/gene?orgid=ECOLI&id=G6702
b1283,0.15510161291,osmB,OsmB osmotically inducible lipoprotein,osmB,"nac, rcsB, rpoD, rpoS",https://ecocyc.org/gene?orgid=ECOLI&id=EG10679
b1171,0.146654455022,ymgD,putative protein,ymgGD,,https://ecocyc.org/gene?orgid=ECOLI&id=G6611
b0220,0.131893585511,ivy,"periplasmic chaperone, inhibitor of vertebrate C-type lysozyme",ivy,nac,https://ecocyc.org/gene?orgid=ECOLI&id=G6104
b1639,0.12853979594599999,mliC,"inhibitor of c-type lysozyme, predicted lipoprotein",mliC,,https://ecocyc.org/gene?orgid=ECOLI&id=EG11488
b1481,0.126954562938,bdm,biofilm-dependent modulation protein,bdm-sra,rcsB,https://ecocyc.org/gene?orgid=ECOLI&id=G6776
b2671,0.11763586797900001,ygaC,putative protein,ygaC,fur,https://ecocyc.org/gene?orgid=ECOLI&id=EG12201
b1951,0.106807713779,rcsA,"positive DNA-binding transcriptional regulator of capsular polysaccharide synthesis, activates its own expression",rcsA,"gadE, h-NS, rcsA;rcsB, rpoD",https://ecocyc.org/gene?orgid=ECOLI&id=EG10820
b4593,0.101583505506,ymgI,hypothetical protein,ymgI,,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10589
b0439,0.0905176656116,lon,"DNA-binding, ATP-dependent protease La",clpPX-lon,"gadX, rpoD, rpoE, rpoH",https://ecocyc.org/gene?orgid=ECOLI&id=EG10542
