locus,gene_weight,gene_name,gene_product,cog,operon,regulator,link
b4252,0.3442847278,tabA,DUF386 domain-containing toxin-antitoxin biofilm protein TabA,Carbohydrate transport and metabolism,tabA,ppGpp,https://ecocyc.org/gene?orgid=ECOLI&id=G7883
b0350,0.2950869789,mhpD,2-hydroxypentadienoate hydratase,"Secondary metabolites biosynthesis, transport, and catabolism",mhpABCDFE,"RpoD,Crp,MhpR",https://ecocyc.org/gene?orgid=ECOLI&id=M013
b4253,0.2381477098,yjgL,protein YjgL,No COG annotation,yjgL,ppGpp,https://ecocyc.org/gene?orgid=ECOLI&id=G7884
b0351,0.2190193477,mhpF,acetaldehyde dehydrogenase (acylating),"Secondary metabolites biosynthesis, transport, and catabolism",mhpABCDFE,"RpoD,Crp,MhpR",https://ecocyc.org/gene?orgid=ECOLI&id=M014
b0349,0.2137561809,mhpC,2-hydroxy-6-ketonona-2%2C4-dienedioate hydrolase,Function unknown,mhpABCDFE,"RpoD,Crp,ppGpp,MhpR",https://ecocyc.org/gene?orgid=ECOLI&id=M012
b2899,0.2006295514,yqfA,hemolysin-III family protein,Function unknown,yqfA,,https://ecocyc.org/gene?orgid=ECOLI&id=G7512
b0352,0.1924926156,mhpE,4-hydroxy-2-oxovalerate aldolase,Amino acid transport and metabolism,mhpABCDFE,"RpoD,Crp,MhpR",https://ecocyc.org/gene?orgid=ECOLI&id=G6205
b2323,0.13855733280000002,fabB,beta-ketoacyl-[acyl carrier protein] synthase I,Lipid transport and metabolism,fabB,"RpoD,FadR,FabR",https://ecocyc.org/gene?orgid=ECOLI&id=EG10274
b2599,0.11385275600000001,pheA,fused chorismate mutase/prephenate dehydratase,Amino acid transport and metabolism,pheLA,"RpoD,rydC",https://ecocyc.org/gene?orgid=ECOLI&id=EG10707
b0954,0.09197345280000001,fabA,beta-hydroxyacyl-acyl carrier protein dehydratase/isomerase,Lipid transport and metabolism,fabA,"RpoD,FadR,FabR",https://ecocyc.org/gene?orgid=ECOLI&id=EG10273
b1988,-0.0751262127,nac,DNA-binding transcriptional dual regulator Nac,Transcription,nac,"RpoN,Fur,Fnr,NtrC,ppGpp,Nac,Lrp",https://ecocyc.org/gene?orgid=ECOLI&id=G7072
b0557,-0.0781301868,borD,DLP12 prophage%3B prophage lipoprotein BorD,Function unknown,borD,"PhoP,Lrp,Nac",https://ecocyc.org/gene?orgid=ECOLI&id=G6312
b3642,-0.0845294743,pyrE,orotate phosphoribosyltransferase,Nucleotide transport and metabolism,rph-pyrE,UTP,https://ecocyc.org/gene?orgid=ECOLI&id=EG10808
b4350,-0.0985396883,hsdR,type I restriction enzyme EcoKI endonuclease component,"Replication, recombination and repair",hsdRMS,ppGpp,https://ecocyc.org/gene?orgid=ECOLI&id=EG10459
b0061,-0.11441806530000001,araD,L-ribulose-5-phosphate 4-epimerase AraD,Carbohydrate transport and metabolism,araBAD,"RpoD,Crp,AraC",https://ecocyc.org/gene?orgid=ECOLI&id=EG10055
b4363,-0.117884073,yjjB,putative succinate exporter YjjB,Function unknown,yjjB-dnaTC-yjjA,,https://ecocyc.org/gene?orgid=ECOLI&id=EG11215
b0344,-0.1212161823,lacZ,beta-galactosidase,Carbohydrate transport and metabolism,lacZYA,"RpoD,YidZ,Crp,MarA,H-NS,LacI",https://ecocyc.org/gene?orgid=ECOLI&id=EG10527
b0063,-0.172418137,araB,ribulokinase,Nucleotide transport and metabolism,araBAD,"RpoD,Crp,AraC",https://ecocyc.org/gene?orgid=ECOLI&id=EG10053
b0062,-0.2169081596,araA,L-arabinose isomerase,Carbohydrate transport and metabolism,araBAD,"RpoD,Crp,AraC",https://ecocyc.org/gene?orgid=ECOLI&id=EG10052
