locus,gene_weight,gene_name,gene_product,cog,regulator,dpiA,link
STM0620,0.2812792429,citX,putative cytoplasmic protein,Coenzyme transport and metabolism,"arcA,crp,dpiA,fnr,narL",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0620
STM0623,0.2573432055,citD,citrate lyase acyl carrier protein (gamma chain),Energy production and conversion,"arcA,crp,dpiA,fnr,narL",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0623
STM0624,0.24718930960000002,citC,citrate lyase synthetase (citrate (pro-3S)-lyase ligase,Coenzyme transport and metabolism,"arcA,crp,dpiA,fnr,narL",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0624
STM0622,0.2406083273,citE,citrate lyase beta chain (acyl lyase subunit),Carbohydrate transport and metabolism,"arcA,crp,dpiA,fnr,narL",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0622
STM0621,0.2361801749,citF,citrate lyase alpha chain,Coenzyme transport and metabolism,"arcA,crp,dpiA,fnr,narL",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0621
STM0619,0.22489490080000002,citG,putative modifier of citrate lyase protein,Nucleotide transport and metabolism,"arcA,crp,dpiA,fnr,narL",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0619
STM0060,0.16050064800000002,citE2,putative citrate lyase beta chain%2C acyl lyase subunit,Carbohydrate transport and metabolism,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0060
STM0058,0.1567944366,citC2,putative citrate lyase synthetase,Coenzyme transport and metabolism,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0058
STM0062,0.14392256150000002,citX2,putative cytoplasmic protein,Coenzyme transport and metabolism,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0062
STM0618,0.1408488443,citT,DASS family%2C citrate:succinate transport (antiport) protein,Inorganic ion transport and metabolism,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0618
STM0056,0.1332517796,STM0056,putative oxalacetate decarboxylase%2C subunit gamma,Energy production and conversion,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0056
STM0059,0.13210200800000002,citD2,putative citrate lyase acyl carrier protein%2C gamma chain,Energy production and conversion,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0059
STM0061,0.1158225527,citF2,putative citrate lyase alpha chain,Energy production and conversion,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0061
STM0057,0.1007906279,STM0057,putative citrate-sodium symport,"Intracellular trafficking, secretion, and vesicular transport",,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0057
STM4512,-0.1033886507,iadA,isoaspartyl dipeptidase,Amino acid transport and metabolism,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4512
STM4513,-0.1165070373,yjiG,putative permease,Function unknown,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4513
STM4510,-0.1297504434,STM4510,putative aspartate racemase,Carbohydrate transport and metabolism,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4510
STM3710,-0.1419194879,rfaD,ADP-L-glycero-D-mannoheptose-6-epimerase,Nucleotide transport and metabolism,"nac,rpoD,rpoE,rpoH",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3710
