locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,QscR,link
PA4215,0.21020209,phzF1,,trans-2%2C3-dihydro-3-hydroxyanthranilate isomerase,Function unknown,"PqsR,RhlR,QscR",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4215&e1=1&assembly=complete
PA1904,0.20403577,phzF2,,trans-2%2C3-dihydro-3-hydroxyanthranilate isomerase,Function unknown,QscR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1904&e1=1&assembly=complete
PA4216,0.20255953200000001,phzG1,,pyridoxamine 5'-phosphate oxidase,Coenzyme transport and metabolism,"PqsR,RhlR,QscR",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4216&e1=1&assembly=complete
PA4214,0.20119551300000002,phzE1,,phenazine biosynthesis protein PhzE,Amino acid transport and metabolism,"PqsR,RhlR,QscR",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4214&e1=1&assembly=complete
PA1902,0.200358214,phzD2,,phenazine biosynthesis protein PhzD,"Secondary metabolites biosynthesis, transport, and catabolism",QscR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1902&e1=1&assembly=complete
PA1905,0.197918442,phzG2,,pyridoxamine 5'-phosphate oxidase,Coenzyme transport and metabolism,QscR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1905&e1=1&assembly=complete
PA1903,0.19760940600000002,phzE2,,phenazine biosynthesis protein PhzE,Amino acid transport and metabolism,QscR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1903&e1=1&assembly=complete
PA4213,0.18974366,phzD1,,phenazine biosynthesis protein PhzD,"Secondary metabolites biosynthesis, transport, and catabolism","PqsR,RhlR,QscR",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4213&e1=1&assembly=complete
PA4217,0.171421558,phzS,,hypothetical protein,Energy production and conversion,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4217&e1=1&assembly=complete
PA4210,0.169775895,phzA1,,phenazine biosynthesis protein,Function unknown,"PqsR,RhlR,QscR",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4210&e1=1&assembly=complete
PA4211,0.151210872,phzB1,,phenazine biosynthesis protein,Function unknown,"PqsR,RhlR,QscR",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4211&e1=1&assembly=complete
PA4212,0.14770216,phzC1,,phenazine biosynthesis protein PhzC,Amino acid transport and metabolism,"PqsR,RhlR,QscR",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4212&e1=1&assembly=complete
PA4209,0.146048744,phzM,,phenazine-specific methyltransferase,"Translation, ribosomal structure and biogenesis",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4209&e1=1&assembly=complete
