locus,gene_weight,gene_name,gene_product,cog,operon,regulator,SigV,link
BSU_27120,0.3722630401083187,sigV,RNA polymerase ECF(extracytoplasmic function)-type sigma factor (sigma(V)),Transcription,Op2170,SigV,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_27120
BSU_27130,0.3448241283285541,rsiV,anti-sigma(V) factor,Function unknown,Op2170,SigV,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_27130
BSU_27140,0.30624248163254164,oatA,peptidoglycan O-acetyltransferase,Lipid transport and metabolism,Op2170,SigV,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_27140
BSU_27150,0.30210606396700124,yrhK,conserved protein of unknown function,Function unknown,Op2170,SigV,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_27150
BSU_04540,0.10402615243723272,ydbO,putative cation efflux system,Inorganic ion transport and metabolism,Op339,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_04540
BSU_18380,0.10388283075714742,iseA,inhibitor of DL-endopeptidases involved in cell-separation,Function unknown,Op1402,WalR,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_18380
BSU_36530,0.09082591836757954,bcrC,undecaprenyl pyrophosphate phosphatase (bacitracin resistance),Lipid transport and metabolism,Op2842,"SigM,SigW,SigI,SigV,SigX",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_36530
BSU_19290,0.0869727772126707,yozO,conserved hypothetical phage protein,Function unknown,Op1499,SigW,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_19290
BSU_27180,0.08447201435754477,yrhH,putative methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",Op2172,"SigM,SigW,SigX",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_27180
BSU_34450,0.08195219148028139,sacB,levansucrase%3B levanase (moonlighting),Cell wall/membrane/envelope biogenesis,Op2688,"SigA,DegU,SacY",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_34450
BSU_16950,0.07967553178874301,pbpX,penicillin-binding endopeptidase X (lysozyme resistance),Defense mechanisms,Op1281,"SigM,SigV,SigX",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_16950
BSU_12100,0.07915050894474207,pdaC,N-acetylmuramic acid deacetylase,Carbohydrate transport and metabolism,Op945,WalR,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_12100
BSU_24140,0.07903531323704238,mmgD,bifunctional citrate synthase/2-methylcitrate synthase,Energy production and conversion,Op1927,"SigE,CcpA",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_24140
BSU_26370,0.07546414726235287,yqaC,putative kinase / phosphatase%3B skin element,Nucleotide transport and metabolism,Op2097,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_26370
BSU_19260,0.06805315690769367,yocM,putative chaperone,"Post-translational modification, protein turnover, and chaperones",Op1496,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_19260
BSU_19250,0.06601833142171802,yocL,conserved protein of unknown function,No COG annotation,Op1494,SigE,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_19250
BSU_19240,0.06002252048242141,yocK,putative general stress protein,Signal transduction mechanisms,Op1493,SigB,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_19240
BSU_27160,0.056958956859911425,cypB,cytochrome P450 CYP102A3,Energy production and conversion,Op2171,"SigM,SigW,FatR,SigX",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_27160
BSU_27170,0.05516061118829897,bscR,transcriptional regulator for cypB,Transcription,Op2171,"SigM,SigW,FatR,SigX",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_27170
BSU_21630,0.053705606511865664,aacD,aminoglycoside N3'-acetyltransferase,Defense mechanisms,Op1735,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_21630
BSU_04560,0.05347805284754397,ddlA,D-alanyl-D-alanine ligase A,Nucleotide transport and metabolism,Op341,"SigM,SigV",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_04560
