locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,link
PA0713,0.328858928,PA0713,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0713&e1=1&assembly=complete
PA0714,0.21084058100000003,PA0714,,hypothetical protein,No COG annotation,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0714&e1=1&assembly=complete
PA0709,0.188844633,PA0709,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0709&e1=1&assembly=complete
PA0705,0.157032838,migA,,alpha-1%2C6-rhamnosyltransferase MigA,Cell wall/membrane/envelope biogenesis,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0705&e1=1&assembly=complete
PA0706,0.152637932,cat,,chloramphenicol acetyltransferase,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0706&e1=1&assembly=complete
PA4132,0.139167551,PA4132,,hypothetical protein,Transcription,RsmA,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4132&e1=1&assembly=complete
PA0689,0.133575898,PA0689,,hypothetical protein,Inorganic ion transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0689&e1=1&assembly=complete
PA0704,0.128942251,PA0704,,amidase,"Translation, ribosomal structure and biogenesis",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0704&e1=1&assembly=complete
PA0708,0.123712131,PA0708,,transcriptional regulator,Transcription,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0708&e1=1&assembly=complete
PA0712,0.116655298,PA0712,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0712&e1=1&assembly=complete
PA0673,0.10804965300000001,PA0673,,hypothetical protein,No COG annotation,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0673&e1=1&assembly=complete
PA0710,0.106857055,gloA2,,lactoylglutathione lyase,Amino acid transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0710&e1=1&assembly=complete
PA0681,0.10020577200000001,PA0681,,HxcT pseudopilin,"Intracellular trafficking, secretion, and vesicular transport",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0681&e1=1&assembly=complete
PA0690,0.083681106,PA0690,,hypothetical protein,"Intracellular trafficking, secretion, and vesicular transport",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0690&e1=1&assembly=complete
PA4133,0.08301276,PA4133,,cbb3-type cytochrome C oxidase subunit I,Energy production and conversion,"YdcR,RsmA",https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4133&e1=1&assembly=complete
PA0679,0.076465236,PA0679,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0679&e1=1&assembly=complete
PA0676,0.071905047,vreR,,sigma factor regulator VreR,Inorganic ion transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0676&e1=1&assembly=complete
PA4129,0.071637109,PA4129,,hypothetical protein,Function unknown,"YdcR,RsmA",https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4129&e1=1&assembly=complete
PA0701a,0.06769088100000001,PA0701a,,AraC family transcriptional regulator,Transcription,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0701a&e1=1&assembly=complete
PA0674,0.067182115,vreA,,hypothetical protein,Inorganic ion transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0674&e1=1&assembly=complete
PA2513,-0.06640736500000001,antB,,anthranilate dioxygenase small subunit,"Secondary metabolites biosynthesis, transport, and catabolism",AntR,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2513&e1=1&assembly=complete
PA0433,-0.07186060600000001,PA0433,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0433&e1=1&assembly=complete
