locus,gene_weight,gene_name,gene_product,cog,operon,regulator,FlhDC,SgrR,ComR,link
b1112,0.3013430435,bhsA,DUF1471 domain-containing multiple stress resistance outer membrane protein BhsA,Cell wall/membrane/envelope biogenesis,bhsA,"RpoD,RpoE,Crp,ComR",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6570
b1926,0.09322623540000001,fliT,flagellar biosynthesis protein FliT,Transcription,fliDST,"RpoD,FliA,FlhDC",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11389
b0066,-0.1033111711,thiQ,thiamine ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,sgrR-sroA-tbpA-thiPQ,"RpoD,ppGpp,SgrR,DksA",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11572
b1943,-0.10478153230000001,fliK,flagellar hook-length control protein,Cell motility,fliFGHIJK,"RpoD,FliA,CsgD,FlhDC",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G379
b2102,-0.10502200440000001,yegX,putative hydrolase,Cell wall/membrane/envelope biogenesis,yegX,,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7134
b0067,-0.13694036510000002,thiP,thiamine ABC transporter membrane subunit,Inorganic ion transport and metabolism,sgrR-sroA-tbpA-thiPQ,"RpoD,YcjW,ppGpp,SgrR,DksA",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11573
b1942,-0.1469011467,fliJ,flagellar biosynthesis protein FliJ,Cell motility,fliFGHIJK,"RpoD,FliA,CsgD,FlhDC",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G378
b0068,-0.1472157111,thiB,thiamine ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,sgrR-sroA-tbpA-thiPQ,"RpoD,SgrR,ppGpp,DksA",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11574
b2104,-0.24263527140000002,thiM,hydroxyethylthiazole kinase,Nucleotide transport and metabolism,thiMD,Thiamine diphosphate,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=M007
b2103,-0.3011131631,thiD,bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase,Coenzyme transport and metabolism,thiMD,"YeiE,Thiamine diphosphate",False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7135
