locus,gene_weight,gene_name,gene_product,COG,operon,regulator,RcsAB,link
b2053,0.2610047525,gmd,GDP-mannose 4%2C6-dehydratase,Nucleotide transport and metabolism,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11787
b2052,0.256780838,fcl,GDP-L-fucose synthase,Carbohydrate transport and metabolism,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11788
b2051,0.23937667480000002,gmm,GDP-mannose mannosyl hydrolase,Nucleotide transport and metabolism,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11789
b2054,0.2307557279,wcaF,putative acyl transferase,Function unknown,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7099
b2061,0.21995629590000002,wzb,protein-tyrosine phosphatase,Signal transduction mechanisms,wza-wzb-wzc-wcaAB,"RpoD,RpoE,RcsAB,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7106
b2062,0.2175574263,wza,outer membrane polysaccharide export protein Wza,Cell wall/membrane/envelope biogenesis,wza-wzb-wzc-wcaAB,"RpoD,RpoE,RcsAB,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7107
b2060,0.2106938778,wzc,protein-tyrosine kinase Wzc,"Cell cycle control, cell division, chromosome partitioning",wza-wzb-wzc-wcaAB,"RpoD,RpoE,RcsAB,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7105
b2055,0.2102329545,wcaE,putative colanic acid biosynthesis glycosyl transferase,Function unknown,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7100
b2050,0.20893166330000001,wcaI,putative colanic biosynthesis glycosyl transferase,Carbohydrate transport and metabolism,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11790
b2059,0.2071214131,wcaA,putative colanic acid biosynthesis glycosyl transferase,Cell wall/membrane/envelope biogenesis,wza-wzb-wzc-wcaAB,"RpoD,RcsAB",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7104
b2048,0.20670488110000002,cpsG,phosphomannomutase,Nucleotide transport and metabolism,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10162
b2056,0.20355300980000002,wcaD,putative colanic acid polymerase,Function unknown,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7101
