locus,gene_weight,gene_name,gene_product,COG,operon,regulator,EvgA,link
b2375,0.3339259432,yfdX,protein YfdX,Function unknown,yfdX-frc-oxc-yfdVE,"RpoD,ppGpp,EvgA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7238
b2374,0.3089582836,frc,formyl-CoA transferase,Energy production and conversion,yfdX-frc-oxc-yfdVE,"RpoD,EvgA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7237
b2372,0.2763133364,yfdV,putative transport protein YfdV,"Intracellular trafficking, secretion, and vesicular transport",yfdX-frc-oxc-yfdVE,"RpoD,YeiE,EvgA,Nac,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7235
b2373,0.2724077857,oxc,oxalyl-CoA decarboxylase,Amino acid transport and metabolism,yfdX-frc-oxc-yfdVE,"RpoD,YdcR,EvgA,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7236
b2085,0.268149276,yegR,uncharacterized protein YegR,No COG annotation,yegRZ,"RpoD,ppGpp,EvgA,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7122
b1499,0.26734792020000003,ydeO,DNA-binding transcriptional dual regulator YdeO,Transcription,safA-ydeO,"RpoD,RcsB,YdhB,RpoH,YdeO,PhoP,EvgA,H-NS,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6789
b2083,0.2419289973,yegZ,phage protein D,Function unknown,,"RpoD,EvgA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7120
b1500,0.22213598180000002,safA,two-component system connector SafA,No COG annotation,,"RpoD,RcsB,YdeO,PhoP,EvgA,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6790
b2376,0.20068679450000002,ypdI,colanic acid synthesis putative lipoprotein YpdI,No COG annotation,ypdI,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7239
b1501,0.1944444777,ydeP,putative oxidoreductase YdeP,Energy production and conversion,ydeP,"RpoD,PhoP,NagC,UvrY,NarL,NarP,RcsB,EvgA,H-NS,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6791
b2371,0.1859407741,yfdE,acetyl-CoA:oxalate CoA-transferase,Energy production and conversion,yfdX-frc-oxc-yfdVE,"RpoD,EvgA,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7234
b2368,0.1777603764,emrK,tripartite efflux pump membrane fusion protein EmrK,Defense mechanisms,emrKY,"YciT,Fnr,EvgA,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7233
b2082,0.1410877284,ogrK,prophage P2 late control protein OgrK,Transcription,ogrK,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7119
b2367,0.1397505849,emrY,tripartite efflux pump membrane subunit EmrY,Amino acid transport and metabolism,emrKY,"gcvB,Fnr,EvgA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG13283
b1597,0.1052013579,asr,acid shock protein,No COG annotation,asr,"RpoD,PhoB,RpoS,H-NS,RcdA,RstA",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6855
b1469,0.0597182723,narU,nitrate/nitrite transporter NarU,Inorganic ion transport and metabolism,narU,"RpoD,RpoS,OmpR,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12153
