locus,gene_weight,gene_name,gene_product,COG,operon,regulator,FlhDC,link
b1073,0.3338672796,flgB,flagellar basal-body rod protein FlgB,Cell motility,flgBCDEFGHIJ,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G358
b1074,0.3150004493,flgC,flagellar basal-body rod protein FlgC,Cell motility,flgBCDEFGHIJ,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G359
b1075,0.29124443920000004,flgD,flagellar biosynthesis%2C initiation of hook assembly,Cell motility,flgBCDEFGHIJ,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G360
b1076,0.2600706084,flgE,flagellar hook protein FlgE,Cell motility,flgBCDEFGHIJ,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G361
b1077,0.2296985555,flgF,flagellar basal-body rod protein FlgF,Cell motility,flgBCDEFGHIJ,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G362
b1944,0.2194444042,fliL,flagellar protein FliL,Cell motility,fliLMNOPQR,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10322
b1938,0.19687542130000002,fliF,flagellar basal-body MS-ring and collar protein,Cell motility,fliFGHIJK,"RpoD,FliA,FlhDC,CsgD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11347
b1922,0.19684683600000003,fliA,RNA polymerase%2C sigma 28 (sigma F) factor,Transcription,fliAZ-tcyJ,"RpoD,YdcN,FliA,H-NS,IHF,NsrR,EcpR,FlhDC,SutR,CsgD,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11355
b1078,0.19446602200000002,flgG,flagellar basal-body rod protein FlgG,Cell motility,flgBCDEFGHIJ,"RpoD,YciT,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G363
b1945,0.1768146287,fliM,flagellar motor switch protein FliM,Cell motility,fliLMNOPQR,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10323
b1946,0.16406227240000001,fliN,flagellar motor switch protein FliN,Cell motility,fliLMNOPQR,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10324
b1079,0.1605184916,flgH,flagellar L-ring protein,Cell motility,flgBCDEFGHIJ,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G364
b1939,0.1535663294,fliG,flagellar motor switch protein FliG,Cell motility,fliFGHIJK,"RpoD,FliA,FlhDC,CsgD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11654
b1072,0.1492487146,flgA,flagellar basal body P-ring formation protein FlgA,Cell motility,flgAMN,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G357
b1940,0.1451777254,fliH,flagellar biosynthesis protein FliH,Cell motility,fliFGHIJK,"RpoD,FliA,FlhDC,CsgD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11656
b1947,0.1423464746,fliO,flagellar biosynthesis protein FliO,Cell motility,fliLMNOPQR,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11224
b1941,0.1388932938,fliI,flagellum-specific ATP synthase FliI,Cell motility,fliFGHIJK,"RpoD,FliA,FlhDC,CsgD",True,https://ecocyc.org/gene?orgid=ECOLI&id=G377
b1080,0.1346406556,flgI,flagellar P-ring protein,Cell motility,flgBCDEFGHIJ,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G365
b1081,0.1164842272,flgJ,putative peptidoglycan hydrolase FlgJ,Cell wall/membrane/envelope biogenesis,flgBCDEFGHIJ,"RpoD,ppGpp,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G366
b1880,0.1092582248,flhB,flagellar biosynthesis protein FlhB,Cell motility,flhBAE,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7028
