locus,comp,gene_name,product,operon,TF,gntR,tyrR,link
b4267,0.34902817788400003,idnD,L-idonate 5-dehydrogenase,"idnD, idnO, idnT, idnR","crp, gntR, idnR",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7893
b4266,0.308697652244,idnO,5-keto-D-gluconate 5-reductase,"idnD, idnO, idnT, idnR","crp, gntR, idnR",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7892
b4268,0.258420723561,idnK,"D-gluconate kinase, thermosensitive",idnK,"Sigma70, crp, gntR, idnR",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12152
b4265,0.233266996461,idnT,L-idonate / 5-ketogluconate / gluconate transporter IdnT,"idnD, idnO, idnT, idnR","crp, gntR, idnR",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12539
b3437,0.23159349349199998,gntK,"D-gluconate kinase, thermostable","gntR, gntK, gntU","Sigma70, crp, gntR, idnR",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12629
b4476,0.212501689637,gntU,gluconate transporter GntU,"gntR, gntK, gntU","Sigma70, crp, gntR, idnR",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12631
b3415,0.175592940504,gntT,gluconate transporter GntT,gntT,"Sigma70, crp, gntR",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12380
b1851,0.171397026748,edd,phosphogluconate dehydratase,"edd, eda","Sigma70, cra, gntR, kdgR",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10257
b3893,0.129462834753,fdoH,"formate dehydrogenase-O, &beta; subunit","fdoG, fdoH, fdoI, fdhE","arcA, crp",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11857
b3892,0.111146322854,fdoI,"formate dehydrogenase-O, &gamma; subunit","fdoG, fdoH, fdoI, fdhE","arcA, crp",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11856
b3161,0.0960412431555,mtr,tryptohan / indole:H+ symporter Mtr,mtr,"Sigma70, hU, ihf, lrp, trpR, tyrR",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10617
b4264,0.0922001578188,idnR,IdnR transcriptional regulator,"idnD, idnO, idnT, idnR","Sigma70, crp, gntR, idnR",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7891
b1850,0.0813360100887,eda,multifunctional 2-keto-3-deoxygluconate 6-phosphate aldolase and 2-keto-4-hydroxyglutarate aldolase and oxaloacetate decarboxylase,"edd, eda","Sigma70, cra, gntR, kdgR, phoB",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10256
b1907,-0.102208722767,tyrP,tyrosine:H<sup>+</sup> symporter TyrP,tyrP,"Sigma70, fnr, hU, ihf, lrp, tyrR",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11041
b0112,-0.108163226906,aroP,aromatic amino acid:H<sup>+</sup> symporter AroP,aroP,"Sigma70, argR, cra, fnr, tyrR",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10084
