locus,gene_weight,gene_name,gene_product,COG,operon,regulator,TtdR,Fnr,link
b2579,0.3300990716,grcA,stress-induced alternate pyruvate formate-lyase subunit,Function unknown,grcA,"PdhR,RpoD,YfeD,YneJ,Crp,Fis,ArcA,Fur,Fnr",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11784
b1256,0.3012158734,ompW,outer membrane protein W,Cell wall/membrane/envelope biogenesis,ompW,"rybB,Crp,ArcA,NarL,Fnr,SoxS,Fur,micA",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11124
b3158,0.2621829975,yhbU,putative peptidase YhbU,"Post-translational modification, protein turnover,and chaperones",yhbUV,Nac,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7652
b1541,0.2525575517,ydfZ,putative selenoprotein YdfZ,Function unknown,ydfZ,Fnr,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6815
b0836,0.2121076232,bssR,regulator of biofilm formation,Function unknown,bssR,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6436
b1593,0.18169235490000002,ynfK,putative dethiobiotin synthetase,Coenzyme transport and metabolism,mlc-ynfK,"RpoD,RpoH,Crp,Mlc,Fnr,Nac",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6851
b4589,0.1538639544,ylcI,DLP12 prophage%3B DUF3950 domain-containing protein YlcI,Function unknown,,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10585
b2111,0.1468233991,yehD,putative fimbrial protein YehD,Cell motility,yehDCBA,GlaR,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11990
b3476,0.1462876498,nikA,Ni(2(+)) ABC transporter periplasmic binding protein,Amino acid transport and metabolism,nikABCDER,"RpoN,NarL,NikR,Fnr",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12075
b0904,0.1433439295,focA,formate channel FocA,Inorganic ion transport and metabolism,focA-pflB,"RpoD,YqhC,Crp,ArcA,IHF,NarL,Fnr",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11258
b1750,0.1389073149,ydjX,DedA family protein YdjX,Function unknown,ydjXYZ-ynjABCD,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6945
b3159,0.1270056686,yhbV,putative peptidase YhbV,"Post-translational modification, protein turnover,and chaperones",yhbUV,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7653
b4533,0.11947621030000001,ynfO,Qin prophage%3B protein YnfO,Function unknown,,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10452
b3365,0.1093142057,nirB,nitrite reductase catalytic subunit NirB,Energy production and conversion,nirBDC-cysG,"RpoD,Cra,Crp,IHF,NarL,NarP,Fis,H-NS,Fnr,ryhB",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10653
b0894,0.1004181938,dmsA,dimethyl sulfoxide reductase subunit A,Energy production and conversion,dmsABC,"RpoD,YciT,Fis,ModE,IHF,NarL,Fnr",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10232
b3211,0.0990801845,yhcC,radical SAM family oxidoreductase YhcC,Function unknown,yhcC,"YihW,YahB,YjhI,YhjC,YiaU,YedW,ArgR,Nac",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7669
b1223,0.0987715118,narK,nitrate:nitrite antiporter NarK,Inorganic ion transport and metabolism,narK,"RpoD,Fis,IHF,NarL,Fnr,Nac",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10642
b1757,0.09097750660000001,ynjE,molybdopterin synthase sulfurtransferase,Cell wall/membrane/envelope biogenesis,ynjE,ppGpp,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6952
b1906,0.0888320118,yecH,DUF2492 domain-containing protein YecH,Function unknown,yecH,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7036
b3060,0.0865174331,ttdR,DNA-binding transcriptional activator Dan,Transcription,ttdR,"TtdR,GlaR",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12694
b1751,0.0859808386,ydjY,4Fe-4S ferredoxin-type domain-containing protein YdjY,No COG annotation,ydjXYZ-ynjABCD,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6946
b4380,0.084838938,yjjI,DUF3029 domain-containing protein YjjI,Nucleotide transport and metabolism,yjjI,YciT,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12171
b1587,0.0812020222,ynfE,putative selenate reductase YnfE,Energy production and conversion,ynfEFGH-dmsD,"RpoD,RpoS,NarL,Fnr,Nac",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6845
b3408,0.07610459600000001,feoA,ferrous iron transport protein A,Inorganic ion transport and metabolism,feoABC,"RpoD,Fnr,NagC,Fur,ArcA",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12101
b1474,0.0692134405,fdnG,formate dehydrogenase N subunit alpha,Energy production and conversion,fdnGHI,"RpoD,NarP,NarL,Fnr",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11227
b4238,0.0646965197,nrdD,anaerobic ribonucleoside-triphosphate reductase,Nucleotide transport and metabolism,nrdDG,"RpoD,NrdR,H-NS,Fnr",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11417
b2727,0.0608249178,hypB,hydrogenase isoenzymes nickel incorporation protein HypB,Transcription,hypABCDE-fhlA,"RpoN,NsrR,IHF,FhlA,Fnr",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10484
b4021,0.0568384438,pepE,peptidase E,Amino acid transport and metabolism,pepE,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11920
b2343,0.051404707200000004,yfcZ,DUF406 domain-containing protein YfcZ,Function unknown,yfcZ,"Fnr,Lrp,ppGpp",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7214
b1596,-0.0555513444,ynfM,putative transporter YnfM,Amino acid transport and metabolism,ynfM,YidZ,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6854
b1445,-0.086818163,ortT,orphan toxin OrtT,Function unknown,,"Crp,Fnr,Nac",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6756
