locus,gene_weight,gene_name,gene_product,COG,operon,regulator,AraC,MhpR,link
b4252,0.32921372520000003,tabA,DUF386 domain-containing toxin-antitoxin biofilm protein TabA,Carbohydrate transport and metabolism,tabA,ppGpp,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7883
b0350,0.3035343558,mhpD,2-hydroxypentadienoate hydratase,"Secondary metabolites biosynthesis, transport, and catabolism",mhpABCDFE,"RpoD,Crp,MhpR",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=M013
b2899,0.2378385165,yqfA,hemolysin-III family protein,Function unknown,yqfA,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7512
b0351,0.2337147609,mhpF,acetaldehyde dehydrogenase (acylating),"Secondary metabolites biosynthesis, transport, and catabolism",mhpABCDFE,"RpoD,Crp,MhpR",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=M014
b4253,0.2285703091,yjgL,protein YjgL,No COG annotation,yjgL,ppGpp,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7884
b0349,0.2269728885,mhpC,2-hydroxy-6-ketonona-2%2C4-dienedioate hydrolase,Function unknown,mhpABCDFE,"RpoD,Crp,ppGpp,MhpR",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=M012
b0352,0.2087077823,mhpE,4-hydroxy-2-oxovalerate aldolase,Amino acid transport and metabolism,mhpABCDFE,"RpoD,Crp,MhpR",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6205
b2323,0.1797934142,fabB,beta-ketoacyl-[acyl carrier protein] synthase I,Lipid transport and metabolism,fabB,"RpoD,FadR,FabR",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10274
b2599,0.1493013178,pheA,fused chorismate mutase/prephenate dehydratase,Amino acid transport and metabolism,pheLA,"RpoD,rydC",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10707
b0954,0.1070688732,fabA,beta-hydroxyacyl-acyl carrier protein dehydratase/isomerase,Lipid transport and metabolism,fabA,"RpoD,FadR,FabR",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10273
b1713,0.0665710149,pheT,phenylalanine--tRNA ligase subunit beta,"Translation, ribosomal structure and biogenesis",thrS-infC-rpmI-rplT-pheMST-ihfA,"NsrR,Phe-tRNA,DksA",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10710
b1988,-0.06835429950000001,nac,DNA-binding transcriptional dual regulator Nac,Transcription,nac,"RpoN,Fur,Fnr,NtrC,ppGpp,Nac,Lrp",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7072
b0344,-0.0788624409,lacZ,beta-galactosidase,Carbohydrate transport and metabolism,lacZYA,"RpoD,YidZ,Crp,MarA,H-NS,LacI",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10527
b0557,-0.0831644591,borD,DLP12 prophage%3B prophage lipoprotein BorD,Function unknown,borD,"PhoP,Lrp,Nac",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6312
b0061,-0.0883367605,araD,L-ribulose-5-phosphate 4-epimerase AraD,Carbohydrate transport and metabolism,araBAD,"RpoD,Crp,AraC",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10055
b4350,-0.0997076612,hsdR,type I restriction enzyme EcoKI endonuclease component,"Replication, recombination and repair",hsdRMS,ppGpp,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10459
b4363,-0.1124372279,yjjB,putative succinate exporter YjjB,Function unknown,yjjB-dnaTC-yjjA,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11215
b0063,-0.12247356740000001,araB,ribulokinase,Nucleotide transport and metabolism,araBAD,"RpoD,Crp,AraC",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10053
b0062,-0.15606501220000002,araA,L-arabinose isomerase,Carbohydrate transport and metabolism,araBAD,"RpoD,Crp,AraC",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10052
