locus,gene_weight,gene_name,gene_product,cog,regulator,YgbI,link
b2736,0.3417955553650709,ygbJ,putative L-threonate dehydrogenase,Lipid transport and metabolism,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7417
b2738,0.3179004379746412,ygbL,putative 3-oxo-tetronate 4-phosphate decarboxylase YgbL,Carbohydrate transport and metabolism,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7419
b2737,0.295607490408218,ygbK,putative 3-oxo-tetronate kinase YgbK,Function unknown,"FliA,FlhDC",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7418
b2739,0.2665732968643333,ygbM,putative 2-oxo-tetronate isomerase YgbM,Carbohydrate transport and metabolism,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7420
b2740,0.1974799177953957,ygbN,putative transporter YgbN,Amino acid transport and metabolism,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7421
b1800,0.1777940633633808,dmlA,D-malate/3-isopropylmalate dehydrogenase (decarboxylating),Energy production and conversion,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6986
b0509,0.1026525145037207,glxR,tartronate semialdehyde reductase 2,Lipid transport and metabolism,"RpoD,AllR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6278
b0508,0.0990494209338193,hyi,hydroxypyruvate isomerase,Carbohydrate transport and metabolism,"RpoD,AllR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6277
b0062,-0.0811325480298429,araA,L-arabinose isomerase,Carbohydrate transport and metabolism,"RpoD,AraC,Crp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10052
b0061,-0.0878508312037958,araD,L-ribulose-5-phosphate 4-epimerase AraD,Carbohydrate transport and metabolism,"RpoD,AraC,Crp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10055
