locus,gene_weight,gene_name,gene_product,cog,regulator,YieP,link
b2141,0.3705263795668325,yohJ,PF03788 family membrane protein YohJ,Function unknown,YieP,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12023
b0306,0.3293054867388464,ykgE,putative lactate utilization oxidoreductase YkgE,Energy production and conversion,"YieP,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6176
b2142,0.3168702356874853,yohK,PF04712 family membrane protein YohK,Cell wall/membrane/envelope biogenesis,YieP,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12024
b0307,0.2345803989076634,ykgF,putative amino acid dehydrogenase with NAD(P)-binding domain and ferridoxin-like domain,Energy production and conversion,"YieP,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6177
b0308,0.2106710326959721,ykgG,DUF162 domain-containing lactate utilization protein YkgG,Function unknown,YieP,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6178
b4116,0.1806383751587833,adiY,DNA-binding transcriptional activator AdiY,Transcription,"YieP,H-NS,sgrS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11966
b2143,0.1527377874988376,cdd,cytidine/deoxycytidine deaminase,Nucleotide transport and metabolism,"RpoD,NsrR,Crp,CytR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10137
b1206,0.1013893756811204,dauA,aerobic C4-dicarboxylate transporter DauA,Inorganic ion transport and metabolism,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12392
b1661,0.1001666699536254,cfa,cyclopropane fatty acyl phospholipid synthase,Cell wall/membrane/envelope biogenesis,"RpoD,YdcN,RpoS,Nac,ppGpp,ArrS,cpxQ,rydC",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11531
b3755,-0.312872822122107,yieP,putative transcriptional regulator YieP,Transcription,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11733
