locus,gene_weight,gene_name,gene_product,COG,operon,regulator,NagC,TyrR,link
b0678,0.3138533602,nagB,glucosamine-6-phosphate deaminase,Nucleotide transport and metabolism,nagBAC-umpH,"RpoD,Crp,NagC",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10633
b1498,0.3084684212,ydeN,putative sulfatase,Inorganic ion transport and metabolism,ydeNM,"RpoD,GadX,AraC,NagC,Lrp",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6788
b0679,0.25892532160000004,nagE,N-acetylglucosamine specific PTS enzyme IIABC component,Carbohydrate transport and metabolism,nagE,"RpoD,Crp,NagC",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10635
b0677,0.2352935211,nagA,N-acetylglucosamine-6-phosphate deacetylase,Carbohydrate transport and metabolism,nagBAC-umpH,"RpoD,Crp,PhoP,NagC",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10632
b1497,0.2242647292,ydeM,putative anaerobic sulfatase maturation enzyme YdeM,Energy production and conversion,ydeNM,"RpoD,GadX,AraC,NagC",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6787
b0681,0.19271459370000002,chiP,chitobiose outer membrane channel,Cell wall/membrane/envelope biogenesis,chiPQ,"Crp,NagC,ChiX",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6370
b1737,0.1413442369,chbC,N%2CN'-diacetylchitobiose-specific PTS enzyme IIC component,Carbohydrate transport and metabolism,chbBCARFG,"Crp,ChbR,NagC,ChiX",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10141
b1734,0.1410695793,chbF,monoacetylchitobiose-6-phosphate hydrolase,Carbohydrate transport and metabolism,chbBCARFG,"Crp,ChbR,NagC",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10144
b3161,0.115909783,mtr,tryptophan:H(+) symporter Mtr,Amino acid transport and metabolism,mtr,"RpoD,IHF,HU,TyrR,TrpR,Lrp",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10617
b1907,0.1038371804,tyrP,tyrosine:H(+) symporter,Amino acid transport and metabolism,tyrP,"RpoD,IHF,HU,TyrR,ppGpp,Lrp",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11041
b2943,0.10340080160000001,galP,galactose:H(+) symporter,Amino acid transport and metabolism,galP,"RpoD,Crp,OmpR,NagC,GalR,GalS",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12148
b1634,0.10077181260000001,dtpA,dipeptide/tripeptide:H(+) symporter DtpA,"Intracellular trafficking, secretion, and vesicular transport",dtpA,"RpoD,YfeC,YdcI,GadX,OmpR,Lrp",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6877
b1738,0.0891215719,chbB,N%2CN'-diacetylchitobiose-specific PTS enzyme IIB component,Carbohydrate transport and metabolism,chbBCARFG,"YfeC,Crp,ChbR,NagC",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10140
b1735,0.0832341647,chbR,DNA-binding transcriptional dual regulator ChbR,Transcription,chbBCARFG,"Crp,ChbR,NagC",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10143
b3730,-0.08916839300000001,glmU,fused N-acetylglucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyltransferase,Cell wall/membrane/envelope biogenesis,glmUS,"RpoD,NagC",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11198
b0112,-0.1096394722,aroP,aromatic amino acid:H(+) symporter AroP,"Intracellular trafficking, secretion, and vesicular transport",aroP,"RpoD,Cra,TyrR,ArgR,Fnr,GlaR",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10084
b3729,-0.1213631012,glmS,L-glutamine--D-fructose-6-phosphate aminotransferase,Cell wall/membrane/envelope biogenesis,glmUS,"RpoD,glmZ,glmY,NagC",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10382
