locus,gene_weight,gene_name,gene_product,cog,regulator,link
b0287,0.1023778481194073,yagU,inner membrane protein that contributes to acid resistance,Function unknown,"YfeC,YfeD,ppGpp,Lrp,Nac",https://ecocyc.org/gene?orgid=ECOLI&id=G6158
b3661,0.1020332825420395,nlpA,lipoprotein-28,Cell wall/membrane/envelope biogenesis,"ppGpp,CsgD,GlaR,gcvB",https://ecocyc.org/gene?orgid=ECOLI&id=EG10657
b0329,0.1006114655710749,yahO,DUF1471 domain-containing protein YahO,Function unknown,"omrA,omrB,ppGpp",https://ecocyc.org/gene?orgid=ECOLI&id=G6194
b0946,0.0989642113716417,zapC,cell division protein ZapC,"Cell cycle control, cell division, chromosome partitioning",,https://ecocyc.org/gene?orgid=ECOLI&id=G6486
b4555,0.0918330504226352,yicS,uncharacterized protein YicS,No COG annotation,,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10469
b0382,0.0905856049199824,iraP,anti-adaptor protein for sigma(S) stabilization,"Translation, ribosomal structure and biogenesis","RpoD,YdcI,CsgD,ppGpp,DksA,Lrp,Nac",https://ecocyc.org/gene?orgid=ECOLI&id=EG11256
b3922,0.0881566570545431,yiiS,DUF406 domain-containing protein YiiS,Function unknown,"YeiE,RpoE,YdeO,ppGpp",https://ecocyc.org/gene?orgid=ECOLI&id=EG11876
b3923,0.0867374635963237,uspD,universal stress protein D,Signal transduction mechanisms,"RpoE,YdeO,ppGpp",https://ecocyc.org/gene?orgid=ECOLI&id=EG11877
b3534,0.0866356232608379,bcsQ,cellulose biosynthesis protein,"Cell cycle control, cell division, chromosome partitioning",,https://ecocyc.org/gene?orgid=ECOLI&id=EG12261
b1915,0.086312550329195,yecF,DUF2594 domain-containing protein YecF,Function unknown,"FliA,ppGpp,Nac",https://ecocyc.org/gene?orgid=ECOLI&id=EG12861
b3267,0.0860404286710919,yhdV,lipoprotein YhdV,Function unknown,"YdcI,Lrp,Nac",https://ecocyc.org/gene?orgid=ECOLI&id=G7695
b3535,0.0858833728209424,yhjR,PF10945 family protein YhjR,Function unknown,"RpoD,Lrp",https://ecocyc.org/gene?orgid=ECOLI&id=EG12262
b1490,0.0855767031262029,dosC,diguanylate cyclase DosC,Signal transduction mechanisms,,https://ecocyc.org/gene?orgid=ECOLI&id=G6784
b0559,0.0849491290983952,ybcW,DLP12 prophage%3B protein YbcW,No COG annotation,,https://ecocyc.org/gene?orgid=ECOLI&id=G6314
b2756,0.084362778095104,casE,pre-CRISPR RNA endonuclease,"Translation, ribosomal structure and biogenesis","RpoD,RpoH,ppGpp,Crp,LeuO,SlyA,H-NS,StpA",https://ecocyc.org/gene?orgid=ECOLI&id=G7426
b0900,0.08306994617149,ycaN,putative LysR-type transcriptional regulator YcaN,Transcription,"YfeD,ppGpp,Nac",https://ecocyc.org/gene?orgid=ECOLI&id=G6467
b2603,0.083020752355083,yfiR,DUF4154 domain-containing protein YfiR,Function unknown,"RpoD,YjjQ,Nac,GlaR",https://ecocyc.org/gene?orgid=ECOLI&id=G7354
b3536,0.080714808549529,bcsE,c-di-GMP-binding protein BcsE,Function unknown,"RpoD,ppGpp",https://ecocyc.org/gene?orgid=ECOLI&id=EG12263
b3538,0.0759838369148072,bcsG,cellulose phosphoethanolamine transferase,Function unknown,RpoD,https://ecocyc.org/gene?orgid=ECOLI&id=EG12265
b0875,0.0759521683552434,aqpZ,water channel AqpZ,Carbohydrate transport and metabolism,,https://ecocyc.org/gene?orgid=ECOLI&id=EG13270
b1044,0.0752616350079855,ymdA,uncharacterized protein YmdA,No COG annotation,,https://ecocyc.org/gene?orgid=ECOLI&id=G6549
b4657,0.0740109610785137,yjhZ,KpLE2 phage-like element%3B putative acetyltransferase YjhZ,"Translation, ribosomal structure and biogenesis",,https://ecocyc.org/gene?orgid=ECOLI&id=G0-16672
b2753,0.07284026643195,iap,alkaline phosphatase isozyme conversion protein,Function unknown,,https://ecocyc.org/gene?orgid=ECOLI&id=EG10488
b3537,0.0725828897497932,bcsF,putative cellulose biosynthesis protein BcsF,Function unknown,RpoD,https://ecocyc.org/gene?orgid=ECOLI&id=EG12264
b0901,0.0723205545167328,ycaK,putative NAD(P)H-dependent oxidoreductase YcaK,Function unknown,Nac,https://ecocyc.org/gene?orgid=ECOLI&id=EG12702
b1217,0.0713759560831182,chaB,putative cation transport regulator ChaB,Transcription,GlaR,https://ecocyc.org/gene?orgid=ECOLI&id=EG12402
b4342,0.0711442641131691,yjiT,putative uncharacterized protein YjiT,"Cell cycle control, cell division, chromosome partitioning","YciT,YafC,YiaU,RpoH",https://ecocyc.org/gene?orgid=ECOLI&id=G7938
b4116,0.069957850815424,adiY,DNA-binding transcriptional activator AdiY,Transcription,"YieP,H-NS,sgrS",https://ecocyc.org/gene?orgid=ECOLI&id=EG11966
b1057,0.0694648509890198,yceJ,putative cytochrome b561,Energy production and conversion,"RpoD,RpoH",https://ecocyc.org/gene?orgid=ECOLI&id=G6554
b0034,0.0678788592128843,caiF,DNA-binding transcriptional activator CaiF,Transcription,"RpoD,YdcN,H-NS,Fnr,Crp,NarL,Nac",https://ecocyc.org/gene?orgid=ECOLI&id=G6088
b1703,0.0665343344776956,ppsR,posphoenolpyruvate synthetase regulatory protein,Nucleotide transport and metabolism,ppGpp,https://ecocyc.org/gene?orgid=ECOLI&id=EG11132
b1163,0.0663397971752963,bluF,blue light-responsive regulator of BluR,Signal transduction mechanisms,"RpoD,YfeC,RcdA",https://ecocyc.org/gene?orgid=ECOLI&id=G6603
b1056,0.066025830165714,yceI,protein YceI,Function unknown,"RpoD,RpoH",https://ecocyc.org/gene?orgid=ECOLI&id=EG11820
b0392,0.0659326113262143,ykiA,DUF2773 domain-containing protein YkiA,Function unknown,RcsB-BglJ,https://ecocyc.org/gene?orgid=ECOLI&id=G6231
b1625,0.0648174172135999,cnu,H-NS- and StpA-binding protein,Transcription,,https://ecocyc.org/gene?orgid=ECOLI&id=G6869
b4026,0.0640552765842248,yjbE,uncharacterized protein YjbE,No COG annotation,"RpoD,RcsAB,IHF",https://ecocyc.org/gene?orgid=ECOLI&id=EG11923
b1969,0.0639599230845274,hprR,DNA-binding transcriptional dual regulator HprR,Transcription,Nac,https://ecocyc.org/gene?orgid=ECOLI&id=G7057
b0318,0.0633675244716314,yahD,ankyrin repeat-containing protein YahD,Function unknown,,https://ecocyc.org/gene?orgid=ECOLI&id=G6183
b1216,0.0633105739582992,chaA,Na(+)/K(+):H(+) antiporter ChaA,Inorganic ion transport and metabolism,"YfeC,GlaR",https://ecocyc.org/gene?orgid=ECOLI&id=EG11753
b0847,0.0628128431134657,ybjL,putative transport protein YbjL,Inorganic ion transport and metabolism,ppGpp,https://ecocyc.org/gene?orgid=ECOLI&id=G6445
b2251,0.0626395920792453,nudI,pyrimidine deoxynucleotide diphosphatase NudI,"Replication, recombination and repair",ppGpp,https://ecocyc.org/gene?orgid=ECOLI&id=G7164
b1177,0.0626169132888845,ycgJ,PF05666 family protein YcgJ,Function unknown,"Nac,GlaR",https://ecocyc.org/gene?orgid=ECOLI&id=G6614
b0848,0.0625064462867437,ybjM,putative inner membrane protein,Function unknown,,https://ecocyc.org/gene?orgid=ECOLI&id=G6446
b0383,0.0622372616684319,phoA,alkaline phosphatase,Inorganic ion transport and metabolism,"RpoD,YidZ,PhoB,Lrp",https://ecocyc.org/gene?orgid=ECOLI&id=EG10727
b4522,0.0619448248939664,ymiA,uncharacterized protein YmiA,No COG annotation,"RpoD,YjjQ",https://ecocyc.org/gene?orgid=ECOLI&id=G0-10512
b1329,0.0618406574114703,mppA,murein tripeptide ABC transporter periplasmic binding protein,Amino acid transport and metabolism,PgrR,https://ecocyc.org/gene?orgid=ECOLI&id=G6665
b1535,0.0617269335202735,dgcZ,diguanylate cyclase DgcZ,Signal transduction mechanisms,"RpoD,CysB,CpxR,CsrA,Lrp",https://ecocyc.org/gene?orgid=ECOLI&id=EG11643
b0842,0.0609541098021562,mdfA,multidrug efflux pump MdfA/Na(+):H(+) antiporter/K(+):H(+) antiporter,Amino acid transport and metabolism,"YeiE,ppGpp",https://ecocyc.org/gene?orgid=ECOLI&id=G6440
b4523,0.0597287976866864,yciX,uncharacterized protein YciX,No COG annotation,"RpoD,YjjQ",https://ecocyc.org/gene?orgid=ECOLI&id=G0-10513
b1968,0.0593839350032261,hprS,sensory histidine kinase HprS,Signal transduction mechanisms,,https://ecocyc.org/gene?orgid=ECOLI&id=G7056
b4517,0.0591444723677415,gnsA,putative phosphatidylethanolamine synthesis regulator GnsA,Function unknown,"RpoD,RpoN",https://ecocyc.org/gene?orgid=ECOLI&id=G0-9662
b2669,0.0589346357014834,stpA,DNA-binding transcriptional repressor StpA with RNA chaperone activity,Transcription,"RpoD,StpA,Lrp,H-NS,ArgR",https://ecocyc.org/gene?orgid=ECOLI&id=EG11554
b2605,0.058005347262928,yfiB,lipoprotein YfiB,Cell wall/membrane/envelope biogenesis,"RpoD,YjjQ,Lrp",https://ecocyc.org/gene?orgid=ECOLI&id=EG11152
b3520,0.0577279678693188,yhjB,putative DNA-binding transcriptional regulator YhjB,Transcription,,https://ecocyc.org/gene?orgid=ECOLI&id=EG12246
b4281,0.0562293670995434,yjhD,KpLE2 phage-like element%3B surface adhesin E-like protein,Function unknown,,https://ecocyc.org/gene?orgid=ECOLI&id=G7902
b0460,0.0561135571194365,hha,hemolysin expression modulating protein,Transcription,"PdhR,RpoD,BasR,CpxR",https://ecocyc.org/gene?orgid=ECOLI&id=EG10439
b2604,0.0559176925517436,dgcN,diguanylate cyclase DgcN,Signal transduction mechanisms,"RpoD,YjjQ,GlaR",https://ecocyc.org/gene?orgid=ECOLI&id=EG12880
b2354,0.0555857075191728,yfdK,CPS-53 (KpLE1) prophage%3B putative tail fiber assembly protein YfdK,Function unknown,,https://ecocyc.org/gene?orgid=ECOLI&id=G7223
b1902,0.0555842883795171,ftnB,putative ferritin-like protein,Inorganic ion transport and metabolism,"RpoD,RpoE,ppGpp,CpxR,Nac",https://ecocyc.org/gene?orgid=ECOLI&id=G7033
b0328,0.054709145837033,yahN,putative amino acid exporter,Amino acid transport and metabolism,Crp,https://ecocyc.org/gene?orgid=ECOLI&id=G6193
b2471,0.0540152325186081,yffB,putative reductase YffB,Inorganic ion transport and metabolism,"RpoD,ArgR",https://ecocyc.org/gene?orgid=ECOLI&id=EG11147
b2975,0.0538643203299611,glcA,glycolate/lactate:H(+) symporter GlcA,Inorganic ion transport and metabolism,"RpoD,YdcR,IHF,ArcA,PdhR,GlcC,Lrp,Nac",https://ecocyc.org/gene?orgid=ECOLI&id=G7542
b2123,0.0537804065271578,yehR,DUF1307 domain-containing lipoprotein YehR,Function unknown,RpoH,https://ecocyc.org/gene?orgid=ECOLI&id=EG12004
b1743,0.0537494254790099,spy,ATP-independent periplasmic chaperone,Cell motility,"RpoD,BaeR,ppGpp,CpxR",https://ecocyc.org/gene?orgid=ECOLI&id=G6939
b2757,0.0536141805948087,casD,type I-E CRISPR system Cascade subunit CasD,"Translation, ribosomal structure and biogenesis","RpoD,RpoH,gcvB,Crp,LeuO,SlyA,H-NS,StpA",https://ecocyc.org/gene?orgid=ECOLI&id=G7427
b1162,0.0533272667844407,bluR,DNA-binding transcriptional repressor BluR,Transcription,RpoD,https://ecocyc.org/gene?orgid=ECOLI&id=G6602
b1238,0.053254130912459,tdk,thymidine/deoxyuridine kinase,Nucleotide transport and metabolism,,https://ecocyc.org/gene?orgid=ECOLI&id=EG10994
b1250,0.052959146687785,kch,K(+) channel Kch,Inorganic ion transport and metabolism,ppGpp,https://ecocyc.org/gene?orgid=ECOLI&id=EG11606
b4109,0.0524694479031625,crfC,clamp-binding sister replication fork colocalization protein,Function unknown,"YciT,FliA,Lrp,FliA",https://ecocyc.org/gene?orgid=ECOLI&id=EG11210
b1489,0.0518194900191299,dosP,oxygen-sensing c-di-GMP phosphodiesterase DosP,Signal transduction mechanisms,,https://ecocyc.org/gene?orgid=ECOLI&id=G6783
b2175,0.0515915155734459,mepS,peptidoglycan DD-endopeptidase/peptidoglycan LD-carboxypeptidase,Cell wall/membrane/envelope biogenesis,"YebK,YedW,ppGpp",https://ecocyc.org/gene?orgid=ECOLI&id=G7147
b0459,0.0514148473937745,maa,maltose O-acetyltransferase,Function unknown,YcjW,https://ecocyc.org/gene?orgid=ECOLI&id=G58
b0076,0.051056450626189,leuO,DNA-binding transcriptional dual regulator LeuO,Transcription,"RpoD,StpA,LeuO,LrhA,RcsB-BglJ,SlyA,H-NS,Lrp,Nac,ppGpp",https://ecocyc.org/gene?orgid=ECOLI&id=EG10531
b2758,0.0507720407076503,casC,type I-E CRISPR system Cascade subunit CasC,"Replication, recombination and repair","RpoD,Crp,LeuO,SlyA,H-NS,StpA",https://ecocyc.org/gene?orgid=ECOLI&id=G7428
b1060,0.0492007885566337,bssS,regulator of biofilm formation,Function unknown,"RpoD,RpoH,YhaJ,Lrp,Nac,GlaR",https://ecocyc.org/gene?orgid=ECOLI&id=G6557
b3219,0.0489496921208138,yhcF,DUF1120 domain-containing protein YhcF,Cell motility,,https://ecocyc.org/gene?orgid=ECOLI&id=G7673
b4310,0.0486019411331206,nanM,N-acetylneuraminate mutarotase,Cell wall/membrane/envelope biogenesis,"Crp,NagC,NanR",https://ecocyc.org/gene?orgid=ECOLI&id=G7920
b4115,0.0482867111260772,adiC,arginine:agmatine antiporter,Amino acid transport and metabolism,"PhoB,RpoH,GadE-RcsB",https://ecocyc.org/gene?orgid=ECOLI&id=EG12462
b1431,0.0482197736351592,ydcL,DUF3313 domain-containing lipoprotein YdcL,Cell wall/membrane/envelope biogenesis,"Lrp,ppGpp",https://ecocyc.org/gene?orgid=ECOLI&id=G6742
b1374,0.0477416844158426,pinR,Rac prophage%3B putative site-specific recombinase,"Replication, recombination and repair",Nac,https://ecocyc.org/gene?orgid=ECOLI&id=G6697
b1045,0.0476570088180676,ymdB,2'-O-acetyl-ADP-ribose deacetylase%2C regulator of RNase III activity,Function unknown,,https://ecocyc.org/gene?orgid=ECOLI&id=G6550
b1696,0.0472631764375006,ydiP,putative DNA-binding transcriptional regulator YdiP,Transcription,"ppGpp,Nac",https://ecocyc.org/gene?orgid=ECOLI&id=G6919
b1171,0.0470975341638047,ymgD,PF16456 family protein YmgD,Function unknown,,https://ecocyc.org/gene?orgid=ECOLI&id=G6611
b1905,0.0470676676116113,ftnA,ferritin iron storage protein,Inorganic ion transport and metabolism,"RpoD,H-NS,Fur",https://ecocyc.org/gene?orgid=ECOLI&id=EG10921
b4133,0.0469363806073873,cadC,DNA-binding transcriptional activator CadC,Transcription,"RpoD,YcjW,LeuO,Fnr,CadC,MlrA,OmpR,H-NS,GlaR",https://ecocyc.org/gene?orgid=ECOLI&id=EG10133
b3862,0.0465292566103042,yihG,putative acyltransferase YihG,Lipid transport and metabolism,"RpoS,ppGpp",https://ecocyc.org/gene?orgid=ECOLI&id=EG11833
b0876,0.0461400522245207,ybjD,DUF2813 domain-containing protein YbjD,"Replication, recombination and repair",,https://ecocyc.org/gene?orgid=ECOLI&id=G6459
b0990,0.0457261529021485,cspG,cold shock protein CspG,Transcription,,https://ecocyc.org/gene?orgid=ECOLI&id=G6511
b4492,0.0451808571964365,ydbA,putative outer membrane protein%2C N-terminal fragment,"Intracellular trafficking, secretion, and vesicular transport",,https://ecocyc.org/gene?orgid=ECOLI&id=G6722
b1619,0.0450622098278372,hdhA,7-alpha-hydroxysteroid dehydrogenase,Lipid transport and metabolism,ppGpp,https://ecocyc.org/gene?orgid=ECOLI&id=EG10425
b0562,0.044875903752218,ybcY,DLP12 prophage%3B putative SAM-dependent methyltransferase YbcY,No COG annotation,,https://ecocyc.org/gene?orgid=ECOLI&id=G6316
b0490,0.0447424031205861,fetA,putative iron ABC exporter ATP-binding subunit FetA,Inorganic ion transport and metabolism,,https://ecocyc.org/gene?orgid=ECOLI&id=G6266
b4366,0.0446231569354042,bglJ,DNA-binding transcriptional regulator BglJ,Transcription,"RpoD,LeuO,H-NS",https://ecocyc.org/gene?orgid=ECOLI&id=G7948
b3642,-0.0565989711064133,pyrE,orotate phosphoribosyltransferase,Nucleotide transport and metabolism,UTP,https://ecocyc.org/gene?orgid=ECOLI&id=EG10808
b4246,-0.0588203502838328,pyrL,pyrBI operon leader peptide,Nucleotide transport and metabolism,"ArgR,Nac,ppGpp,UTP",https://ecocyc.org/gene?orgid=ECOLI&id=EG11279
