locus,gene_weight,gene_name,gene_product,cog,regulator,rpoE,link
STM1254,0.2385626079,STM1254,putative outer membrane lipoprotein,Cell wall/membrane/envelope biogenesis,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1254
STM2640,0.18714204650000002,rpoE,sigma E (sigma 24) factor of RNA polymerase,Transcription,"cpxR,crp,glrR,ihf,ntrC,rcsB,rpoD,rpoE,rpoN,rpoS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2640
STM1250,0.1824497926,STM1250,putative cytoplasmic protein,No COG annotation,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1250
STM1907,0.1822846199,cutC,copper homeostasis protein,Inorganic ion transport and metabolism,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1907
STM2639,0.17340896290000002,rseA,anti sigma E (sigma 24) factor%2C negative regulator,Signal transduction mechanisms,"cpxR,crp,glrR,ihf,ntrC,rcsB,rpoD,rpoE,rpoN,rpoS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2639
STM2401,0.1729845009,ddg,cold shock-induced palmitoleoyl transferase,Cell wall/membrane/envelope biogenesis,rpoE,True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2401
STM3203,0.1476440447,ygiM,putative SH3 domain protein,Signal transduction mechanisms,rpoE,True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3203
STM3107,0.13913749,yggN,putative periplasmic protein,Function unknown,rpoE,True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3107
STM2638,0.1388294827,rseB,anti sigma E (sigma 24) factor%2C negative regulator,Signal transduction mechanisms,"cpxR,crp,glrR,ihf,ntrC,rcsB,rpoD,rpoE,rpoN,rpoS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2638
STM0209,0.12093920820000001,htrA,periplasmic serine protease Do%2C heat shock protein,"Post-translational modification, protein turnover,and chaperones","cpxR,h-NS,rpoE",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0209
STM0814,0.1193558042,ybhQ,putative inner membrane protein,Function unknown,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0814
STM2637,0.11535935600000001,rseC,regulator of sigma E (sigma 24) factor,Signal transduction mechanisms,"cpxR,crp,glrR,ihf,ntrC,rcsB,rpoD,rpoE,rpoN,rpoS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2637
STM2447,0.1143571579,STM2447,putative outer membrane lipoprotein,Cell wall/membrane/envelope biogenesis,rpoE,True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2447
STM0688,0.1110427061,ybfN,putative lipoprotein,Cell wall/membrane/envelope biogenesis,"crp,nagC",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0688
STM3635,0.1090135668,yhjW,putative membrane-associated metal-dependent hydrolase,Function unknown,"crp,rpoD,rpoE",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3635
STM3645,0.10867450320000001,yiaD,putative outer membrane lipoprotein,Cell wall/membrane/envelope biogenesis,nac,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3645
STM0687,0.1038223875,ybfM,putative outer membrane protein,Function unknown,"crp,nagC",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0687
STM2438,0.10045993410000001,yfeK,putative periplasmic protein,Function unknown,"nac,rpoE",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2438
STM1819,0.0989183898,slp,putative outer membrane protein,Cell wall/membrane/envelope biogenesis,rpoE,True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1819
STM3204,0.0972750378,cca,tRNA nucleotidyl transferase,Nucleotide transport and metabolism,rpoE,True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3204
STM3613,0.09573551970000001,yhjJ,putative Zn-dependent peptidase,Function unknown,rpoE,True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3613
STM0105,0.0913350262,yabI,putative DedA family membrane protein,Function unknown,"rpoS,yeiE",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0105
STM1253,0.0865985131,STM1253,putative inner membrane protein,Energy production and conversion,yeiE,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1253
