locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,operon,regulator,link
SACI_RS07180,0.1119982112781298,Saci_1505,Saci_1505,helix-turn-helix transcriptional regulator,Transcription,Op828,,https://www.uniprot.org/uniprot/A0A0U3HHN3
SACI_RS08380,0.11199726903789964,Saci_1753,Saci_1753,hypothetical protein,Function Unknown,Op989,,https://www.uniprot.org/uniprot/A0A0U3FSN3
SACI_RS11620,0.11173833271723807,Saci_0947,Saci_0947,hypothetical protein,Function Unknown,Op499,,https://www.uniprot.org/uniprot/UPI000055243B
SACI_RS04060,0.10892163436057667,Saci_0847,Saci_0847,hypothetical protein,Function Unknown,Op444,,https://www.uniprot.org/uniprot/A0A0U3GV41
SACI_RS02290,0.10867819734148204,Saci_0475,Saci_0475,hypothetical protein,Function Unknown,Op269,,https://www.uniprot.org/uniprot/A0A0U3GG93
SACI_RS01345,0.10728201339318807,Saci_0276,Saci_0276,hypothetical protein,Function Unknown,Op153,,https://www.uniprot.org/uniprot/UPI0002B28E20
SACI_RS00010,0.1039832190972292,Saci_0002,Saci_0002,hypothetical protein,Function Unknown,Op0,,https://www.uniprot.org/uniprot/A0A0U3FP71
SACI_RS00005,0.10290184302549704,cdc6-3,Saci_0001,ORC1-type DNA replication protein 3 (AAA family ATPase),"Replication, recombination and repair",Op0,,https://www.uniprot.org/uniprot/A0A0U3H3T6
SACI_RS09020,0.10075734784343766,cas7d,Saci_1874,type I-D CRISPR-associated protein Cas7/Csc2,Transcription,Op1092,,https://www.uniprot.org/uniprot/A0A0U3FBZ6
SACI_RS09015,0.09746823649725707,csc1gr5,Saci_1873,"CRISPR-associated protein, RAMP family Cas5 group",Defense mechanisms,Op1092,,https://www.uniprot.org/uniprot/A0A0U3GMQ3
SACI_RS01350,0.09491317632180696,Saci_0277,Saci_0277,MBL fold metallo-hydrolase,General Function Prediction Only,Op153,,https://www.uniprot.org/uniprot/A0A0U3FFT6
SACI_RS02305,0.09068273844095466,Saci_0477,Saci_0477,hypothetical protein,Function Unknown,Op270,,https://www.uniprot.org/uniprot/A0A0U3FNZ8
SACI_RS09010,0.08877134730849967,cas3,Saci_1872,"CRISPR-Cas system related helicase, Cas3",General Function Prediction Only,Op1091,,https://www.uniprot.org/uniprot/A0A0U3HIK3
SACI_RS10435,0.08717281016481923,dpo2,Saci_2156,"DNA polymerase elongation subunit (family B), DNA polymerase II","Replication, recombination and repair",Op1297,,https://www.uniprot.org/uniprot/A0A0U3FZ02
SACI_RS08060,0.0867056770821041,Saci_1688,Saci_1688,DUF998 domain-containing protein,Function Unknown,Op937,,https://www.uniprot.org/uniprot/A0A0U3FS87
SACI_RS10430,0.08608752325340133,SACI_RS10430,,hypothetical protein,Function Unknown,Op1297,,https://www.uniprot.org/uniprot/A0A0U2W621
SACI_RS06720,0.08552984121816759,Saci_1405,Saci_1405,hypothetical protein,Function Unknown,Op778,,https://www.uniprot.org/uniprot/A0A0U2Y6D9
SACI_RS02130,0.08518016195021952,Saci_0439,Saci_0439,hypothetical protein,Function Unknown,Op249,,https://www.uniprot.org/uniprot/A0A0U3HBD4
SACI_RS08885,0.08333717486484694,SACI_RS08885,,hypothetical protein,No arCOG annotation,Op1070,,https://www.uniprot.org/uniprot/A0A0U3H556
SACI_RS06470,0.07869914004430753,nrdJ,Saci_1353,adenosylcobalamin-dependent ribonucleoside-diphosphate reductase,Nucleotide transport and metabolism,Op752,,https://www.uniprot.org/uniprot/A0A0U3H750
SACI_RS11355,0.07367587294211439,thyX,Saci_2347,FAD-dependent thymidylate synthase,Nucleotide transport and metabolism,Op1426,,https://www.uniprot.org/uniprot/A0A0U2WU35
SACI_RS02295,0.07292690311099584,SACI_RS02295,,hypothetical protein,No arCOG annotation,Op270,,https://www.uniprot.org/uniprot/A0A0U3FFD0
SACI_RS02315,0.07097503902209598,Saci_0479,Saci_0479,hypothetical protein,Transcription,Op271,,https://www.uniprot.org/uniprot/A0A0U2Y0S7
SACI_RS08260,0.07000603269660641,Saci_1729,Saci_1729,hypothetical protein,Defense mechanisms,Op970,,https://www.uniprot.org/uniprot/A0A0U3H5E3
SACI_RS05830,0.06732928017592565,abfR2,Saci_1223,Lrs14 family biofilm regulator AbfR2,Transcription,Op678,biofilm,https://www.uniprot.org/uniprot/A0A0U3FE21
SACI_RS08255,0.06378937825817238,Saci_1728,Saci_1728,acetyl-CoA acyltransferase,Lipid transport and metabolism,Op970,Saci_1787,https://www.uniprot.org/uniprot/A0A0U3H895
SACI_RS02185,0.06234977623750629,cdvB1,Saci_0451,Cell division protein B1,"Cell cycle control, cell division, chromosome partitioning",Op256,,https://www.uniprot.org/uniprot/UPI0000552296
SACI_RS05445,0.06156786045630357,Saci_1142,Saci_1142,hypothetical protein,Function Unknown,Op625,,https://www.uniprot.org/uniprot/A0A0U2NDZ8
SACI_RS04320,0.060485061396199725,Saci_0904,Saci_0904,hypothetical protein,Transcription,Op477,,https://www.uniprot.org/uniprot/UPI0011BF4E33
SACI_RS07275,0.06040193327803674,Saci_1524,Saci_1524,Monogalactosyldiacylglycerol synthase like protein,Function Unknown,Op839,aCPSF2-log,https://www.uniprot.org/uniprot/M1I5S6
SACI_RS05360,0.05907052978772503,Saci_1124,Saci_1124,CopG/RHH family transcriptional regulator,Transcription,Op610,FadR,https://www.uniprot.org/uniprot/A0A0U3HDK5
SACI_RS08520,0.058531956312475535,Saci_1781,Saci_1781,amidohydrolase family protein,"Secondary metabolites biosynthesis, transport and catabolism",Op1010,,https://www.uniprot.org/uniprot/A0A0U3GKK1
SACI_RS11735,0.05789296390634096,SACI_RS11735,,DUF4145 domain-containing protein,No arCOG annotation,Op1179,,
SACI_RS09025,0.05716549706100691,cas10d,Saci_1875,"CRISPR associated protein Cas10d, large subunit of Type I-D system effector complex",No arCOG annotation,Op1092,,https://www.uniprot.org/uniprot/A0A0U3GPP3
SACI_RS10780,0.05716323004486607,Saci_2230,Saci_2230,Predicted DNA-binding protein containing a Zn-ribbon (OB-fold protein) / heterodisulfide reductase subunit,General Function Prediction Only,Op1355,"YtrA,XylR",https://www.uniprot.org/uniprot/A0A0U3GUQ7
