locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,Sfa2,link
PA5267,0.206117138,hcpB,,secreted protein Hcp,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5267&e1=1&assembly=complete
PA0263,0.197309444,hcpC,,secreted protein Hcp,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0263&e1=1&assembly=complete
PA1512,0.19073094100000001,hcpA,,secreted protein Hcp,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1512&e1=1&assembly=complete
PA1666,0.143763991,PA1666,,hypothetical protein,Function unknown,Sfa2,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1666&e1=1&assembly=complete
PA1665,0.138109268,PA1665,,hypothetical protein,Signal transduction mechanisms,Sfa2,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1665&e1=1&assembly=complete
PA1663,0.132910848,sfa2,,transcriptional regulator,Transcription,Sfa2,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1663&e1=1&assembly=complete
PA1657,0.131798873,PA1657,,hypothetical protein,Function unknown,Sfa2,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1657&e1=1&assembly=complete
PA1668,0.130401548,PA1668,,hypothetical protein,Cell motility,Sfa2,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1668&e1=1&assembly=complete
PA1658,0.122787828,PA1658,,hypothetical protein,Function unknown,Sfa2,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1658&e1=1&assembly=complete
PA1661,0.12112552100000001,PA1661,,hypothetical protein,Function unknown,Sfa2,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1661&e1=1&assembly=complete
