locus,gene_weight,gene_name,gene_product,cog,regulator,BexR,link
PA2432,0.33922348960000004,bexR,bistable expression regulator BexR,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2432&e1=1&assembly=complete
PA1202,0.3286272425,PA1202,hydrolase,"Secondary metabolites biosynthesis, transport, and catabolism",BexR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1202&e1=1&assembly=complete
PA1203,0.2292776798,PA1203,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",BexR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1203&e1=1&assembly=complete
PA2696,0.22446160950000002,PA2696,transcriptional regulator,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2696&e1=1&assembly=complete
PA2698,0.2054280892,PA2698,hydrolase,"Secondary metabolites biosynthesis, transport, and catabolism",BexR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2698&e1=1&assembly=complete
PA2697,0.19819023930000002,PA2697,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2697&e1=1&assembly=complete
PA2430,0.19376004060000002,PA2430,hypothetical protein,Defense mechanisms,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2430&e1=1&assembly=complete
PA0572,0.1820781163,PA0572,hypothetical protein,Carbohydrate transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0572&e1=1&assembly=complete
PA2431,0.1595310446,PA2431,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2431&e1=1&assembly=complete
PA1204,0.1491982335,PA1204,NAD(P)H-dependent FMN reductase,Function unknown,BexR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1204&e1=1&assembly=complete
PA1205,0.1448485484,PA1205,quercetin 2%2C3-dioxygenase,Function unknown,BexR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1205&e1=1&assembly=complete
PA2428,0.11396715930000001,PA2428,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2428&e1=1&assembly=complete
PA2699,0.0966896822,PA2699,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2699&e1=1&assembly=complete
PA1207,0.0942632265,kefB,glutathione-regulated potassium-efflux system protein KefB,Inorganic ion transport and metabolism,BexR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1207&e1=1&assembly=complete
PA1206,0.0782424424,PA1206,hypothetical protein,Function unknown,BexR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1206&e1=1&assembly=complete
PA0571,0.0699192557,PA0571,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0571&e1=1&assembly=complete
PA4661,0.0695640363,pagL,lipid A 3-O-deacylase,Cell wall/membrane/envelope biogenesis,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4661&e1=1&assembly=complete
PA2433,0.0665518282,PA2433,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2433&e1=1&assembly=complete
PA1249,0.0655855406,aprA,alkaline metalloproteinase,"Secondary metabolites biosynthesis, transport, and catabolism","LasR,BexR",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1249&e1=1&assembly=complete
PA2290,0.0586574646,gcd,glucose dehydrogenase,Carbohydrate transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2290&e1=1&assembly=complete
