locus,gene_weight,gene_name,gene_product,cog,regulator,CcpA,link
SP5448_08980,0.2487287205,hutD,hypothetical protein,Function unknown,"CcpA_core_M1,CovR,Mga,Rgg,Rgg,CovR,CovR",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1741%22)
SP5448_08960,0.23614431260000002,hutU,urocanate hydratase,Amino acid transport and metabolism,"CcpA_core_M1,CovR,Rgg,Rgg,Nra_transition_M49,Srv_M1,Irr_EE_M6",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1737%22)
SP5448_08970,0.2332775825,fchA,sugar ABC transporter substrate-binding protein,Amino acid transport and metabolism,"CcpA_core_M1,CovR,Rgg,Rgg,FasX_60min_M1,CovR,CovR,Srv_M1",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1739%22)
SP5448_08965,0.2302042842,ftcD,glutamate formiminotransferase,Amino acid transport and metabolism,"CcpA_core_M1,CovR,Rgg,Rgg,CovR,CovR,Irr_EE_M6",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1738%22)
SP5448_08985,0.21484248890000002,steT,amino acid permease,Amino acid transport and metabolism,"CcpA_core_M1,CovR,Mga,Rgg,Rgg,CovR,CovR,Srv_M1",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1742%22)
SP5448_08990,0.2115665733,hutH,histidine ammonia-lyase,Coenzyme transport and metabolism,"CcpA_core_M1,CovR,Mga,Rgg,Rgg,CovR,CovR,Nra_transition_M49",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1743%22)
SP5448_08975,0.2034890383,fhs_2,formate--tetrahydrofolate ligase,Nucleotide transport and metabolism,"CcpA_core_M1,CovR,Mga,Rgg,Rgg,CovR,CovR,Irr_EE_M6",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1740%22)
SP5448_05430,0.1942737592,maeN,malate permease,Energy production and conversion,"FasX_60min_M1,CovR,CovR,CovR",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1034%22)
SP5448_05425,0.1832820172,mez_1,malate dehydrogenase,Energy production and conversion,FasX_60min_M1,False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1033%22)
SP5448_08955,0.1609363744,hutI,imidazolonepropionase,"Secondary metabolites biosynthesis, transport and catabolism","CcpA_core_M1,CovR,Rgg,Rgg,CovR",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1736%22)
SP5448_05795,0.10793319100000001,SP5448_05795,hypothetical protein,Function unknown,,False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1108%22)
