locus,gene_weight,gene_name,gene_product,COG,operon,regulator,RpoS,GadX,H-NS,GadE,ppGpp,GadW,link
b3509,0.4194807424,hdeB,periplasmic acid stress chaperone,Cell wall/membrane/envelope biogenesis,hdeAB-yhiD,"RcsB,RpoD,TorR,gcvB,RpoS,Lrp,MarA,PhoP,GadX,GadW,H-NS,FliZ,GadE,ppGpp",True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11399
b3510,0.3825311729,hdeA,HdeA monomer%2C chaperone active form,Cell wall/membrane/envelope biogenesis,hdeAB-yhiD,"RcsB,RpoD,oxyS,TorR,RpoS,Lrp,MarA,PhoP,GadX,GadW,H-NS,FliZ,GadE,ppGpp",True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11398
b3511,0.3352183718,hdeD,acid-resistance membrane protein,Function unknown,hdeD,"RcsB,RpoD,RpoS,PhoP,GadX,H-NS,GadE,ppGpp,cyaR,rprA",True,True,True,True,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11495
b1493,0.2835802006,gadB,glutamate decarboxylase B,Amino acid transport and metabolism,gadBC,"RcsB,RpoD,oxyS,RpoS,Fis,Crp,AdiY,GadX,GadW,FliZ,GadE,Lrp,ppGpp",True,True,False,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11490
b3517,0.2818184715,gadA,glutamate decarboxylase A,Amino acid transport and metabolism,gadAXW,"RpoD,TorR,RpoS,Fis,Crp,ArcA,Fnr,AdiY,RcsB,H-NS,GadW,GadX,GadE-RcsB,ppGpp",True,True,True,False,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG50009
b3508,0.27776899990000004,yhiD,inner membrane protein YhiD,Function unknown,hdeAB-yhiD,"RpoD,RcsB,TorR,RpoS,Lrp,MarA,PhoP,GadX,GadW,H-NS,FliZ,GadE,ppGpp",True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11400
b3512,0.2513530646,gadE,DNA-binding transcriptional activator GadE,Transcription,gadEF-mdtEF,"PhoP,RpoD,RpoS,GadW,YdeO,Crp,ArcA,EvgA,H-NS,GadX,FliZ,GadE,Nac,ppGpp,ArrS",True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11544
b1492,0.2493340403,gadC,L-glutamate:4-aminobutyrate antiporter,Amino acid transport and metabolism,gadBC,"RcsB,RpoD,RpoS,Fis,Crp,AdiY,GadX,GadW,FliZ,GadE,ppGpp",True,True,False,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6786
b3506,0.1687119458,slp,starvation lipoprotein,Cell wall/membrane/envelope biogenesis,slp-dctR,"RpoD,gcvB,MarA,GadW,YdeO,ppGpp,GadX,H-NS,GadE-RcsB",False,True,True,False,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11890
b3513,0.1402899085,mdtE,multidrug efflux pump membrane fusion protein MdtE,Cell wall/membrane/envelope biogenesis,gadEF-mdtEF,"RpoD,RpoS,GadW,GadX,Crp,YdeO,EvgA,H-NS,FliZ,GadE,Nac,ppGpp",True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12240
b3514,0.11608090360000001,mdtF,multidrug efflux pump RND permease MdtF,Defense mechanisms,gadEF-mdtEF,"RpoD,YidZ,YeiE,RpoS,GadW,GadX,Crp,YdeO,EvgA,H-NS,FliZ,GadE,ppGpp",True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12241
b3507,0.082554097,dctR,putative DNA-binding transcriptional regulator DctR,Transcription,slp-dctR,"RpoD,MarA,GadW,YdeO,H-NS,GadX,GadE-RcsB,GlaR",False,True,True,False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11889
b2217,0.0817866369,rcsB,DNA-binding transcriptional activator RcsB,Transcription,rcsDB,"RpoD,H-NS",False,False,True,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10821
b3491,0.0802971438,yhiM,inner membrane protein with a role in acid resistance,Function unknown,yhiM,"oxyS,RpoS,GadE,H-NS,GadE-RcsB,Lrp",True,False,True,True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12228
b0485,0.043713265800000005,glsA,glutaminase 1,Amino acid transport and metabolism,glsA-ybaT,"RpoS,GadX,ppGpp",True,True,False,False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6261
b3516,0.038779765,gadX,DNA-binding transcriptional dual regulator GadX,Transcription,gadAXW,"PhoB,RpoD,TorR,gadY,RpoS,Fis,Crp,ArcA,Fnr,AdiY,ppGpp,RcsB,RutR,H-NS,GadW,GadX,GadE-RcsB,GadE,Nac,GlaR",True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12243
b4187,0.0370601979,aidB,putative acyl-CoA dehydrogenase AidB,Lipid transport and metabolism,aidB,"RpoD,YidZ,RpoS,Ada,AidB,ppGpp,Lrp",True,False,False,False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11811
