locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,ErbR,link
PA1983,0.321029571,exaB,,cytochrome C550,Energy production and conversion,"AgmR,ErbR",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1983&e1=1&assembly=complete
PA1979,0.22143286,eraS,,sensor kinase EraS,Signal transduction mechanisms,ErbR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1979&e1=1&assembly=complete
PA1975,0.22014111600000003,PA1975,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1975&e1=1&assembly=complete
PA1980,0.217826442,eraR,,response regulator EraR,Signal transduction mechanisms,ErbR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1980&e1=1&assembly=complete
PA1982,0.215421049,exaA,,quinoprotein ethanol dehydrogenase,Carbohydrate transport and metabolism,"AgmR,ErbR",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1982&e1=1&assembly=complete
PA1981,0.206771471,PA1981,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1981&e1=1&assembly=complete
PA1976,0.18769696,ercS',,sensor histidine kinase,Signal transduction mechanisms,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1976&e1=1&assembly=complete
PA1977,0.15858781100000002,PA1977,,hypothetical protein,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1977&e1=1&assembly=complete
PA1978,0.134648746,erbR,,glycerol metabolism activator,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1978&e1=1&assembly=complete
PA1986,0.12811614,pqqB,,coenzyme PQQ synthesis protein B,Function unknown,"ErbR,ErbR",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1986&e1=1&assembly=complete
PA1989,0.12487824300000001,pqqE,,coenzyme PQQ synthesis protein E,Coenzyme transport and metabolism,"ErbR,ErbR",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1989&e1=1&assembly=complete
PA1987,0.120435679,pqqC,,pyrroloquinoline-quinone synthase,Coenzyme transport and metabolism,"ErbR,ErbR",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1987&e1=1&assembly=complete
PA1988,0.115784733,pqqD,,coenzyme PQQ synthesis protein D,Function unknown,"ErbR,ErbR",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1988&e1=1&assembly=complete
PA1990,0.11140689200000001,pqqH,,peptidase,Amino acid transport and metabolism,"ErbR,ErbR",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1990&e1=1&assembly=complete
PA1985,0.100430661,pqqA,,coenzyme PQQ synthesis protein A,No COG annotation,"ErbR,ErbR",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1985&e1=1&assembly=complete
PA0565,0.09378188,PA0565,,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0565&e1=1&assembly=complete
