locus,gene_weight,gene_name,gene_product,cog,regulator,ZntR,Zur,CueR,link
b1973,0.5178235343842177,zinT,metal-binding protein ZinT,Function unknown,"RpoD,OxyR,SoxS,Zur,Fur",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7061
b0296,0.4689682238258157,ykgM,putative ribosomal protein,"Translation, ribosomal structure and biogenesis","RpoD,Zur",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6167
b4506,0.4277736563619548,ykgO,putative ribosomal protein,"Translation, ribosomal structure and biogenesis","RpoD,Zur",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10434
b1857,0.2930591534686914,znuA,Zn(2(+)) ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,"OxyR,RpoS,Zur,OmpR,Nac",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7017
b1178,0.1990234334610826,pliG,inhibitor of g-type lysozyme,Function unknown,"GlaR,Zur",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6615
b1856,0.1591495794463706,mepM,peptidoglycan DD-endopeptidase MepM,Cell wall/membrane/envelope biogenesis,,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10013
b1974,0.141822080640594,yodB,putative cytochrome,Energy production and conversion,"YeiE,ppGpp,GlaR",False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7062
b1858,0.13756213066476,znuC,Zn(2(+)) ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,"RpoD,OxyR,Zur,ppGpp",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7018
b1859,0.132149686587112,znuB,Zn(2(+)) ABC transporter membrane subunit,Inorganic ion transport and metabolism,"RpoD,OxyR,Zur,ppGpp",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12368
b0484,0.0737223397983455,copA,Cu(+) exporting P-type ATPase,Inorganic ion transport and metabolism,"RpoD,OmpR,CueR",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6260
b0123,0.063663143867475,cueO,cuprous oxidase/multicopper oxidase with role in copper homeostasis,"Secondary metabolites biosynthesis, transport, and catabolism","ryhB,CueR",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12318
b3936,-0.0500761759670025,rpmE,50S ribosomal subunit protein L31,"Translation, ribosomal structure and biogenesis","RpoH,ppGpp,RpmE",False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10889
b2106,-0.058786286801744,rcnA,Ni(2(+))/Co(2(+)) exporter,"Intracellular trafficking, secretion, and vesicular transport","RpoD,Fur,RcnR",False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7138
b3469,-0.0942605376136939,zntA,Zn(2(+))/Cd(2(+))/Pb(2(+)) exporting P-type ATPase,Inorganic ion transport and metabolism,"RpoD,ZntR",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12215
