locus,gene_weight,gene_name,gene_product,cog,operon,regulator,QstR,link
PN96_RS00300,0.3107167427081633,QstR,LuxR C-terminal-related transcriptional regulator,Transcription,Op59,"QstR,TfoX",True,
PN96_RS13655,0.1839386306818688,comM,YifB family Mg chelatase-like AAA ATPase,"Post-translational modification, protein turnover, and chaperones",Op2866,"QstR,TfoX",True,
PN96_RS04580,0.169364154018924,PN96_RS04580,integron integrase,"Replication, recombination and repair",Op1141,"AphA,LexA",False,
PN96_RS12800,0.1633810847745818,comF,ComF family protein,Function unknown,Op2774,QstR,True,
PN96_RS12610,0.1335251445358022,radC,DNA repair protein RadC,Amino acid transport and metabolism,Op2748,QstR,True,
PN96_RS09060,0.1239417942080655,PN96_RS09060,ComEA family DNA-binding protein,"Replication, recombination and repair",Op2321,"HapR,QstR,TfoX",True,
PN96_RS02195,0.1121173615824035,PN96_RS02195,RecQ family ATP-dependent DNA helicase,"Replication, recombination and repair",Op521,,False,
PN96_RS12260,0.0933147014199053,PN96_RS12260,MBL fold metallo-hydrolase,"Translation, ribosomal structure and biogenesis",Op2714,QstR,True,
PN96_RS16805,-0.097493809228441,ompW,outer membrane protein OmpW,Cell wall/membrane/envelope biogenesis,Op432,,False,
PN96_RS16880,-0.0977044782687658,PN96_RS16880,molybdopterin guanine dinucleotide-containing S/N-oxide reductase,Energy production and conversion,Op448,"FNR,HapR,NarP",False,
