locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,YdfF,CysB,link
PA3446,0.233630301,PA3446,,NAD(P)H-dependent FMN reductase,Function unknown,CysB,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3446&e1=1&assembly=complete
PA0284,0.207945605,PA0284,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0284&e1=1&assembly=complete
PA3450,0.201764817,PA3450,,antioxidant protein,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3450&e1=1&assembly=complete
PA3931,0.18926613,PA3931,,hypothetical protein,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3931&e1=1&assembly=complete
PA4195,0.18237920500000002,PA4195,,ABC transporter,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4195&e1=1&assembly=complete
PA0283,0.18057213600000002,sbp,,sulfate-binding protein,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0283&e1=1&assembly=complete
PA3938,0.177084778,PA3938,,taurine-binding protein,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3938&e1=1&assembly=complete
PA2312,0.167432146,PA2312,,transcriptional regulator,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2312&e1=1&assembly=complete
PA3445,0.159228423,PA3445,,hypothetical protein,Inorganic ion transport and metabolism,CysB,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3445&e1=1&assembly=complete
PA0201,0.155581552,PA0201,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0201&e1=1&assembly=complete
PA2359,0.154684297,PA2359,,transcriptional regulator,Transcription,Sfa3,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2359&e1=1&assembly=complete
PA2334,0.154376173,PA2334,,transcriptional regulator,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2334&e1=1&assembly=complete
PA0191,0.15045323600000002,PA0191,,transcriptional regulator,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0191&e1=1&assembly=complete
PA2311,0.147468296,PA2311,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2311&e1=1&assembly=complete
PA3937,0.126194411,PA3937,,taurine ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3937&e1=1&assembly=complete
PA0282,0.12609925900000002,cysT,,sulfate transporter CysT,Inorganic ion transport and metabolism,YdfF,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0282&e1=1&assembly=complete
PA2310,0.12560038,PA2310,,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2310&e1=1&assembly=complete
PA2062,0.12288449600000001,PA2062,,pyridoxal-phosphate dependent protein,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2062&e1=1&assembly=complete
PA3449,0.120048393,PA3449,,hypothetical protein,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3449&e1=1&assembly=complete
PA5024,0.115051707,PA5024,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5024&e1=1&assembly=complete
PA3939,0.11447533600000001,PA3939,,hypothetical protein,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3939&e1=1&assembly=complete
PA2204,0.10964957500000001,PA2204,,ABC transporter,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2204&e1=1&assembly=complete
PA2786,0.104595621,PA2786,,hypothetical protein,Signal transduction mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2786&e1=1&assembly=complete
PA4443,0.10448732200000001,cysD,,sulfate adenylyltransferase subunit 2,Coenzyme transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4443&e1=1&assembly=complete
PA2594,0.103311496,PA2594,,hypothetical protein,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2594&e1=1&assembly=complete
PA2600,0.101039527,PA2600,,hypothetical protein,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2600&e1=1&assembly=complete
PA5103,0.09317486900000001,PA5103,,hypothetical protein,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5103&e1=1&assembly=complete
PA3444,0.09191484200000001,PA3444,,alkanesulfonate monooxygenase,Energy production and conversion,CysB,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3444&e1=1&assembly=complete
PA1838,0.09039875600000001,cysI,,sulfite reductase,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1838&e1=1&assembly=complete
PA2050,0.08707687900000001,PA2050,,RNA polymerase sigma factor,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2050&e1=1&assembly=complete
PA3932,0.084076442,PA3932,,transcriptional regulator,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3932&e1=1&assembly=complete
PA3936,0.077810456,PA3936,,taurine ABC transporter permease,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3936&e1=1&assembly=complete
PA4194,0.076500064,PA4194,,ABC transporter permease,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4194&e1=1&assembly=complete
PA4442,0.075428834,cysN,,bifunctional sulfate adenylyltransferase subunit 1/adenylylsulfate kinase,Coenzyme transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4442&e1=1&assembly=complete
PA0281,0.075034188,cysW,,sulfate transporter CysW,Inorganic ion transport and metabolism,YdfF,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0281&e1=1&assembly=complete
PA2203,0.074921466,PA2203,,amino acid permease,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2203&e1=1&assembly=complete
PA1493,0.073942676,cysP,,sulfate ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1493&e1=1&assembly=complete
PA5102,0.07294217800000001,PA5102,,hypothetical protein,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5102&e1=1&assembly=complete
PA2309,0.071091653,PA2309,,hypothetical protein,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2309&e1=1&assembly=complete
PA1837,0.06444669800000001,PA1837,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1837&e1=1&assembly=complete
PA0186,0.064418035,atsR,,ABC transporter,Inorganic ion transport and metabolism,CysB,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0186&e1=1&assembly=complete
PA2599,0.06282032900000001,PA2599,,hypothetical protein,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2599&e1=1&assembly=complete
PA0197,0.06281837500000001,tonB2,,transporter TonB,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0197&e1=1&assembly=complete
PA2083,0.061315296000000005,PA2083,,ring-hydroxylating dioxygenase subunit,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2083&e1=1&assembly=complete
