locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,ParB,CpxR,link
PA3205,0.394179009,PA3205,,hypothetical protein,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3205&e1=1&assembly=complete
PA3206,0.282696179,PA3206,,two-component sensor,Signal transduction mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3206&e1=1&assembly=complete
PA3963a,0.273267509,PA3963a,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3963a&e1=1&assembly=complete
PA3207,0.206765198,PA3207,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3207&e1=1&assembly=complete
PA2528,0.17571629500000002,PA2528,,resistance-nodulation-cell division (RND) efflux membrane fusion protein,Cell wall/membrane/envelope biogenesis,CpxR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2528&e1=1&assembly=complete
PA2527,0.151031373,PA2527,,resistance-nodulation-cell division (RND) efflux transporter,Defense mechanisms,CpxR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2527&e1=1&assembly=complete
PA2526,0.13529317200000002,PA2526,,resistance-nodulation-cell division (RND) efflux transporter,Defense mechanisms,CpxR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2526&e1=1&assembly=complete
PA3575,0.128169847,PA3575,,hypothetical protein,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3575&e1=1&assembly=complete
PA2525,0.12489718500000001,PA2525,,hypothetical protein,Cell wall/membrane/envelope biogenesis,CpxR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2525&e1=1&assembly=complete
PA1864,0.070137541,PA1864,,transcriptional regulator,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1864&e1=1&assembly=complete
PA0849,0.06759585900000001,trxB2,,thioredoxin reductase,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0849&e1=1&assembly=complete
PA0493,0.065333261,PA0493,,acetyl-CoA carboxylase biotin carboxyl carrier protein subunit,Lipid transport and metabolism,ParB,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0493&e1=1&assembly=complete
PA0425,0.06414918900000001,mexA,,multidrug resistance protein MexA,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0425&e1=1&assembly=complete
PA4513,0.062197167000000005,PA4513,,oxidoreductase,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4513&e1=1&assembly=complete
