locus,gene_weight,gene_name,gene_product,cog,regulator,AtuR,LaoR,link
PA2886,0.1898588916,atuA,hypothetical protein,Amino acid transport and metabolism,AtuR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2886&e1=1&assembly=complete
PA2887,0.1770740473,atuB,citronellol catabolism dehydrogenase,Lipid transport and metabolism,AtuR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2887&e1=1&assembly=complete
PA2891,0.1750673529,atuF,geranyl-CoA carboxylase subunit alpha,Lipid transport and metabolism,AtuR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2891&e1=1&assembly=complete
PA2889,0.1730820114,atuD,citronellyl-CoA dehydrogenase,Lipid transport and metabolism,AtuR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2889&e1=1&assembly=complete
PA2888,0.1698157348,atuC,geranyl-CoA carboxylase subunit beta,Lipid transport and metabolism,AtuR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2888&e1=1&assembly=complete
PA2892,0.1636238075,atuG,short-chain dehydrogenase,Lipid transport and metabolism,AtuR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2892&e1=1&assembly=complete
PA2890,0.1618779797,atuE,isohexenylglutaconyl-CoA hydratase,Lipid transport and metabolism,AtuR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2890&e1=1&assembly=complete
PA1535,0.1249937222,PA1535,acyl-CoA dehydrogenase,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1535&e1=1&assembly=complete
PA0365,0.1246462749,PA0365,hypothetical protein,Function unknown,LaoR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0365&e1=1&assembly=complete
PA0364,0.12206907400000001,PA0364,oxidoreductase,Amino acid transport and metabolism,LaoR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0364&e1=1&assembly=complete
PA0366,0.1156852745,PA0366,coniferyl aldehyde dehydrogenase,Energy production and conversion,LaoR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0366&e1=1&assembly=complete
PA0534,0.0942535007,PA0534,hypothetical protein,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0534&e1=1&assembly=complete
PA0367,0.0813654325,laoR,transcriptional regulator,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0367&e1=1&assembly=complete
PA4435,0.07969422820000001,PA4435,acyl-CoA dehydrogenase,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4435&e1=1&assembly=complete
PA4596,0.0740826919,esrC,transcriptional regulator,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4596&e1=1&assembly=complete
PA4888,-0.0725809597,desB,acyl-CoA desaturase,Lipid transport and metabolism,DesT,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4888&e1=1&assembly=complete
PA4770,-0.0735971272,lldP,L-lactate permease,Energy production and conversion,LldR,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4770&e1=1&assembly=complete
