locus,gene_weight,gene_name,gene_product,cog,regulator,PprB,link
PA4298,0.1629560247,PA4298,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4298&e1=1&assembly=complete
PA4306,0.1615176043,flp,type IVb pilin Flp,"Intracellular trafficking, secretion, and vesicular transport",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4306&e1=1&assembly=complete
PA4299,0.14064842930000002,tadD,type II secretion system protein TadD,"Intracellular trafficking, secretion, and vesicular transport",PprB,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4299&e1=1&assembly=complete
PA4648,0.1397111524,PA4648,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4648&e1=1&assembly=complete
PA1874,0.1371700639,PA1874,hypothetical protein,Cell wall/membrane/envelope biogenesis,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1874&e1=1&assembly=complete
PA4302,0.1370807342,tadA,ATPase TadA,"Intracellular trafficking, secretion, and vesicular transport",PprB,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4302&e1=1&assembly=complete
PA4300,0.13662803410000002,tadC,type II secretion system protein TadC,Cell motility,PprB,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4300&e1=1&assembly=complete
PA4303,0.1304927277,tadZ,hypothetical protein,"Intracellular trafficking, secretion, and vesicular transport",PprB,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4303&e1=1&assembly=complete
PA4304,0.1284847004,rcpA,type II/III secretion system protein,"Intracellular trafficking, secretion, and vesicular transport",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4304&e1=1&assembly=complete
PA4305,0.1278327404,rcpC,hypothetical protein,"Intracellular trafficking, secretion, and vesicular transport",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4305&e1=1&assembly=complete
PA4651,0.1256290021,PA4651,pili assembly chaperone,Cell wall/membrane/envelope biogenesis,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4651&e1=1&assembly=complete
PA1877,0.1211848574,PA1877,secretion protein,Cell wall/membrane/envelope biogenesis,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1877&e1=1&assembly=complete
PA1875,0.1195088435,PA1875,hypothetical protein,Cell wall/membrane/envelope biogenesis,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1875&e1=1&assembly=complete
PA4650,0.1188268338,PA4650,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4650&e1=1&assembly=complete
PA4301,0.1099676857,tadB,type II secretion system protein TadB,"Intracellular trafficking, secretion, and vesicular transport",PprB,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4301&e1=1&assembly=complete
PA4649,0.10990595680000001,PA4649,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4649&e1=1&assembly=complete
PA4297,0.1058232023,tadG,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4297&e1=1&assembly=complete
PA1914,0.09886636700000001,PA1914,hypothetical protein,Cell motility,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1914&e1=1&assembly=complete
PA4293,0.0980391431,pprA,two-component sensor PprA,Signal transduction mechanisms,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4293&e1=1&assembly=complete
PA4652,0.089345861,PA4652,hypothetical protein,Cell motility,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4652&e1=1&assembly=complete
