locus,gene_weight,gene_name,gene_product,cog,regulator,BasR,link
b2252,0.3532276338126967,ais,putative lipopolysaccharide core heptose(II)-phosphate phosphatase,Cell wall/membrane/envelope biogenesis,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7165
b2253,0.2630483175374018,arnB,UDP-4-amino-4-deoxy-L-arabinose aminotransferase,Cell wall/membrane/envelope biogenesis,BasR,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7166
b2254,0.2563357407129329,arnC,undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,Lipid transport and metabolism,"YbiH,BasR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7167
b3615,0.2193484417549344,waaH,UDP-glucuronate:LPS(HepIII) glycosyltransferase,Function unknown,"RpoD,PhoB,NsrR,ppGpp,BasR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11266
b2255,0.214788944078876,arnA,fused UDP-4-amino-4-deoxy-L-arabinose formyltransferase/UDP-glucuronate dehydrogenase,Lipid transport and metabolism,BasR,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7168
b2256,0.2021566345955821,arnD,putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD,Carbohydrate transport and metabolism,BasR,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7169
b4114,0.1962195486194181,eptA,phosphoethanolamine transferase EptA,Function unknown,"Nac,BasR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11613
b1800,0.1734958020875378,dmlA,D-malate/3-isopropylmalate dehydrogenase (decarboxylating),Energy production and conversion,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6986
b2257,0.1259773077020911,arnT,lipid IVA 4-amino-4-deoxy-L-arabinosyltransferase,Lipid transport and metabolism,BasR,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7170
b4544,0.0958924586005687,arnE,undecaprenyl-phosphate-alpha-L-Ara4N flippase - ArnE subunit,Inorganic ion transport and metabolism,BasR,True,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10460
b4112,0.0947969835300537,basS,sensory histidine kinase BasS,Signal transduction mechanisms,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11614
b1974,0.089703787098388,yodB,putative cytochrome,Energy production and conversion,"YeiE,ppGpp,GlaR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7062
b4113,0.0804035762823581,basR,DNA-binding transcriptional dual regulator BasR,Transcription,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11615
b2028,0.0801618610613319,ugd,UDP-glucose 6-dehydrogenase,Cell wall/membrane/envelope biogenesis,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7091
b3207,-0.1846548212313829,yrbL,protein kinase-like domain-containing protein YrbL,Transcription,"YcjW,SoxR,SoxS,BasR,PhoP",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7667
