locus,gene_weight,gene_name,gene_product,cog,regulator,NfxB,EsrC,link
PA3719,0.2933237684,armR,MexR antirepressor ArmR,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3719&e1=1&assembly=complete
PA3718,0.23992393780000001,PA3718,major facilitator superfamily transporter,Amino acid transport and metabolism,SoxR,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3718&e1=1&assembly=complete
PA3720,0.2366754797,PA3720,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3720&e1=1&assembly=complete
PA4599,0.20901887660000001,mexC,resistance-nodulation-cell division (RND) multidrug efflux membrane fusion protein MexC,Cell wall/membrane/envelope biogenesis,"EsrC,NfxB",True,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4599&e1=1&assembly=complete
PA3721,0.1706525463,nalC,transcriptional regulator,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3721&e1=1&assembly=complete
PA4598,0.1632972097,mexD,resistance-nodulation-cell division (RND) multidrug efflux transporter MexD,"Intracellular trafficking, secretion, and vesicular transport","EsrC,NfxB",True,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4598&e1=1&assembly=complete
PA4597,0.1489098604,oprJ,multidrug efflux outer membrane protein OprJ,Cell wall/membrane/envelope biogenesis,"EsrC,NfxB",True,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4597&e1=1&assembly=complete
PA4596,0.1430256859,esrC,transcriptional regulator,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4596&e1=1&assembly=complete
PA0424,0.0912505245,mexR,multidrug resistance operon repressor MexR,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0424&e1=1&assembly=complete
PA0425,0.0838938041,mexA,multidrug resistance protein MexA,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0425&e1=1&assembly=complete
PA4838,0.0811965414,PA4838,hypothetical protein,Function unknown,Zur,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4838&e1=1&assembly=complete
PA1343,0.071255889,PA1343,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1343&e1=1&assembly=complete
PA4776,-0.0753884378,pmrA,two-component regulator system response regulator PmrA,Signal transduction mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4776&e1=1&assembly=complete
PA4774,-0.0861768361,PA4774,hypothetical protein,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4774&e1=1&assembly=complete
