locus,gene_weight,gene_name,gene_product,cog,operon,regulator,Fnr,NarL,NarP,link
b2203,0.31926810780000003,napB,periplasmic nitrate reductase cytochrome c550 protein,Energy production and conversion,napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,IscR,NarP,NarL,Fnr,Nac",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12061
b2204,0.3156862917,napH,ferredoxin-type protein NapH,Energy production and conversion,napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,IscR,NarL,NarP,Fnr",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12062
b2205,0.30268844040000004,napG,ferredoxin-type protein NapG,Energy production and conversion,napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,IscR,NarP,NarL,Fnr",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12064
b2206,0.2650867531,napA,periplasmic nitrate reductase subunit NapA,Energy production and conversion,napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,IscR,NarP,NarL,Fnr",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12067
b2207,0.2072211173,napD,NapA signal peptide-binding chaperone NapD,Inorganic ion transport and metabolism,napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,IscR,NarP,NarL,Fnr",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12143
b2202,0.1847699815,napC,periplasmic nitrate reductase cytochrome c protein,Energy production and conversion,napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,IscR,NarP,NarL,Fnr,Nac",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12060
b2208,0.182082282,napF,ferredoxin-type protein,Energy production and conversion,napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,IscR,NarP,NarL,Fnr,Lrp",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12068
b2201,0.14728676770000002,ccmA,heme trafficking system ATP-binding protein,"Post-translational modification, protein turnover,and chaperones",napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,NarP,NarL,Fnr,Nac",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12059
b2198,0.1357810442,ccmD,heme trafficking system membrane protein CcmD,"Intracellular trafficking, secretion, and vesicular transport",,"RpoD,FlhDC,ModE,NarP,NarL,Fnr",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12169
b2197,0.12913684790000002,ccmE,periplasmic heme chaperone,"Post-translational modification, protein turnover,and chaperones",napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,NarP,NarL,Fnr",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12055
b2200,0.122327499,ccmB,heme trafficking system membrane protein CcmB,"Post-translational modification, protein turnover,and chaperones",napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ppGpp,ModE,NarP,NarL,Fnr,Nac",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12058
b3367,0.1190572709,nirC,nitrite transporter NirC,Inorganic ion transport and metabolism,nirBDC-cysG,"RpoD,Cra,Crp,IHF,NarL,NarP,Fis,H-NS,Fnr",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10654
b2199,0.1188031561,ccmC,heme trafficking system membrane protein CcmC,"Intracellular trafficking, secretion, and vesicular transport",napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,NarP,NarL,Fnr",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12057
b4073,0.1106618109,nrfD,putative menaquinol-cytochrome c reductase subunit NrfD,Inorganic ion transport and metabolism,nrfABCDEFG,"RpoD,FlhDC,IHF,NsrR,NarL,NarP,Fis,Fnr",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11947
b2195,0.10915839050000001,ccmG,holocytochrome c synthetase - thiol:disulfide oxidoreductase CcmG,"Post-translational modification, protein turnover,and chaperones",napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,NarP,NarL,Fnr",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12053
b2196,0.1078130925,ccmF,holocytochrome c synthetase membrane subunit CcmF,"Post-translational modification, protein turnover,and chaperones",napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,NarP,NarL,Fnr",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12054
b2194,0.1004837075,ccmH,holocytochrome c synthetase - thiol:disulfide oxidoreductase CcmH,Inorganic ion transport and metabolism,napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,NarP,NarL,Fnr,Nac",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12052
b4071,0.0996371107,nrfB,periplasmic nitrite reductase penta-heme c-type cytochrome,Energy production and conversion,nrfABCDEFG,"RpoD,FlhDC,IHF,NsrR,NarL,NarP,Fis,Fnr",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11945
b3366,0.09071368020000001,nirD,nitrite reductase subunit NirD,Inorganic ion transport and metabolism,nirBDC-cysG,"RpoD,Cra,Crp,IHF,NarL,NarP,Fis,H-NS,Fnr",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10655
b4072,0.0804609991,nrfC,putative menaquinol-cytochrome c reductase 4Fe-4S subunit,Energy production and conversion,nrfABCDEFG,"RpoD,FlhDC,IHF,NsrR,NarL,NarP,Fis,Fnr",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11946
b3365,0.0780705488,nirB,nitrite reductase catalytic subunit NirB,Energy production and conversion,nirBDC-cysG,"RpoD,Cra,Crp,IHF,NarL,NarP,Fis,H-NS,Fnr,ryhB",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10653
b1226,0.0752550022,narJ,nitrate reductase 1 molybdenum cofactor assembly chaperone,Energy production and conversion,narGHJI,"RpoD,RstA,Fis,IHF,NarL,Fnr",True,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10641
b4070,0.0676515743,nrfA,cytochrome c552 nitrite reductase,Energy production and conversion,nrfABCDEFG,"RpoD,FlhDC,ppGpp,IHF,NsrR,NarL,NarP,Fis,Fnr",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11781
