locus,gene_weight,gene_name,gene_product,cog,regulator,NagC,Crp,link
b0678,0.3856705939787753,nagB,glucosamine-6-phosphate deaminase,Nucleotide transport and metabolism,"RpoD,Crp,NagC",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10633
b0679,0.3309961914346766,nagE,N-acetylglucosamine specific PTS enzyme IIABC component,Carbohydrate transport and metabolism,"RpoD,Crp,NagC",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10635
b1498,0.3193577267040058,ydeN,putative sulfatase,Inorganic ion transport and metabolism,"RpoD,GadX,NagC,AraC,Lrp",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6788
b0677,0.2741755007542252,nagA,N-acetylglucosamine-6-phosphate deacetylase,Carbohydrate transport and metabolism,"RpoD,Crp,PhoP,NagC",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10632
b1497,0.2242317449593729,ydeM,putative anaerobic sulfatase maturation enzyme YdeM,Energy production and conversion,"RpoD,GadX,NagC,AraC",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6787
b0681,0.1746908375196767,chiP,chitobiose outer membrane channel,Cell wall/membrane/envelope biogenesis,"Crp,NagC,ChiX",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6370
b1634,0.122828493113956,dtpA,dipeptide/tripeptide:H(+) symporter DtpA,"Intracellular trafficking, secretion, and vesicular transport","RpoD,YfeC,YdcI,GadX,OmpR,Lrp",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6877
b2943,0.1160940125456646,galP,galactose:H(+) symporter,Amino acid transport and metabolism,"RpoD,Crp,OmpR,NagC,GalR,GalS",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12148
b0676,0.1013069689508251,nagC,DNA-binding transcriptional dual regulator NagC,Transcription,"RpoD,Crp,NagC",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10636
b1737,0.0905968126315088,chbC,N%2CN'-diacetylchitobiose-specific PTS enzyme IIC component,Carbohydrate transport and metabolism,"Crp,ChbR,NagC,ChiX",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10141
b1649,0.0804872359517506,nemR,DNA-binding transcriptional repressor NemR,Transcription,"RpoD,NemR,RutR",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6889
b1738,0.0730837388568266,chbB,N%2CN'-diacetylchitobiose-specific PTS enzyme IIB component,Carbohydrate transport and metabolism,"YfeC,Crp,ChbR,NagC",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10140
b1907,0.0723131632537004,tyrP,tyrosine:H(+) symporter,Amino acid transport and metabolism,"RpoD,IHF,HU,TyrR,ppGpp,Lrp",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11041
b0682,0.0653334114959542,chiQ,lipoprotein ChiQ,Cell wall/membrane/envelope biogenesis,"Crp,ppGpp,NagC,ChiX",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6371
b3730,-0.0884591451983032,glmU,fused N-acetylglucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyltransferase,Cell wall/membrane/envelope biogenesis,"RpoD,NagC",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11198
b3919,-0.1048659409640406,tpiA,triose-phosphate isomerase,Nucleotide transport and metabolism,"RpoD,RpoS,Cra",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11015
b3729,-0.1188214909532951,glmS,L-glutamine--D-fructose-6-phosphate aminotransferase,Cell wall/membrane/envelope biogenesis,"RpoD,glmZ,glmY,NagC",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10382
