locus,gene_weight,gene_name,gene_product,cog,operon,regulator,FliA,link
b1923,0.2406852694,fliC,flagellar filament structural protein,Cell motility,fliC,"GadE,FliA,H-NS,EcpR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10321
b1886,0.2262844759,tar,methyl-accepting chemotaxis protein Tar,Cell motility,tar-tap-cheRBYZ,"FliA,Fnr,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10988
b1885,0.21507544580000001,tap,methyl-accepting chemotaxis protein Tap,Cell motility,tar-tap-cheRBYZ,"FliA,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10987
b1194,0.21292354830000002,ycgR,flagellar brake protein YcgR,Cell wall/membrane/envelope biogenesis,ycgR,"FlhDC,FliA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6623
b3525,0.2074091075,pdeH,c-di-GMP phosphodiesterase PdeH,Signal transduction mechanisms,pdeH,"FlhDC,FliA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12252
b1888,0.20441133290000002,cheA,chemotaxis protein CheA,Cell motility,motAB-cheAW,"YciT,FliA,CpxR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10146
b1887,0.202123722,cheW,chemotaxis protein CheW,Cell motility,motAB-cheAW,"FliA,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10149
b1884,0.2005046977,cheR,chemotaxis protein methyltransferase,"Translation, ribosomal structure and biogenesis",tar-tap-cheRBYZ,"FliA,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10148
b1890,0.1987633549,motA,motility protein A,Cell motility,motAB-cheAW,"FliA,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10601
b4355,0.1948126973,tsr,methyl-accepting chemotaxis protein Tsr,Cell motility,tsr,"RpoD,YbiH,YddM,FliA,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11034
b1889,0.19212816200000002,motB,motility protein B,Cell motility,motAB-cheAW,"FliA,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10602
b1882,0.1871821518,cheY,chemotaxis protein CheY,Transcription,tar-tap-cheRBYZ,"FliA,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10150
b1883,0.1801194096,cheB,protein-glutamate methylesterase/protein glutamine deamidase,Cell motility,tar-tap-cheRBYZ,"FliA,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10147
b1881,0.1723335782,cheZ,chemotaxis protein CheZ,"Translation, ribosomal structure and biogenesis",tar-tap-cheRBYZ,"FliA,Fnr,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10151
b1566,0.1648541541,flxA,Qin prophage%3B protein FlxA,No COG annotation,flxA,"Fis,FliA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6833
b1742,0.1464148218,ves,HutD family protein Ves,Function unknown,ves,FliA,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6938
b4110,0.1352267674,yjcZ,uncharacterized protein YjcZ,Function unknown,crfC-yjcZ,"FliA,FliA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7823
b1924,0.130240149,fliD,flagellar filament capping protein,Cell motility,fliDST,"RpoD,FliA,FlhDC,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10841
b1760,0.1224759842,ynjH,DUF1496 domain-containing protein YnjH,Function unknown,ynjH,"FliA,Lrp,Nac,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6955
b1421,0.1205023425,trg,methyl-accepting chemotaxis protein Trg,Cell motility,trg,"FliA,Fis,Crp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11018
b3666,0.1185077863,uhpT,hexose-6-phosphate:phosphate antiporter,Inorganic ion transport and metabolism,uhpT,"RpoD,oxyS,YeiE,UvrY,Crp,UhpA",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11054
b1082,0.11334325420000001,flgK,flagellar hook-filament junction protein 1,Cell motility,flgKL,"FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11967
b1083,0.1057876177,flgL,flagellar hook-filament junction protein 2,Cell motility,flgKL,"FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11545
b1925,0.10159693730000001,fliS,flagellar biosynthesis protein FliS,Cell motility,fliDST,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11388
b1926,0.0957463607,fliT,flagellar biosynthesis protein FliT,Transcription,fliDST,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11389
b3072,0.0898101773,aer,aerotaxis sensor receptor%2C flavoprotein,Signal transduction mechanisms,aer,"FliA,Fnr,Crp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7595
b1071,0.0784773305,flgM,anti-sigma factor for FliA (sigma(28)),Cell motility,flgAMN,"RpoD,FliA,FlhDC,CsgD,omrA,omrB",True,https://ecocyc.org/gene?orgid=ECOLI&id=G369
b1070,0.0712023692,flgN,flagellar biosynthesis protein FlgN,Cell motility,flgAMN,"RpoD,FliA,FlhDC,CsgD",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6562
b0763,0.0549330959,modA,molybdate ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,modABC,"RpoD,FliA,Crp,ModE,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12427
b0764,0.0526360655,modB,molybdate ABC transporter membrane subunit,Inorganic ion transport and metabolism,modABC,"RpoD,FliA,Crp,ModE",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10002
