locus,gene_weight,gene_name,gene_product,COG,operon,regulator,RpoS,link
b0897,0.1472410627,ycaC,putative hydrolase,"Secondary metabolites biosynthesis, transport, and catabolism",ycaC,"YcjW,Fnr,Nac,BaeR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11241
b3555,0.1408687777,yiaG,putative DNA-binding transcriptional regulator YiaG,Transcription,yiaG,"YehT,YidL,YhjC,RpoS,Lrp,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12624
b2672,0.1313670176,ygaM,DUF883 domain-containing protein YgaM,Function unknown,ygaM,"ppGpp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7400
b4149,0.1185621927,blc,outer membrane lipoprotein Blc,Cell wall/membrane/envelope biogenesis,blc,"RpoS,Nac,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7837
b0871,0.11661766550000001,poxB,pyruvate oxidase,Energy production and conversion,hcp-hcr-poxB-ltaE-ybjT,"RpoD,SoxS,RpoS,MarA,Cra,NarP,ppGpp,NsrR,OxyR,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10754
b0329,0.11348654870000001,yahO,DUF1471 domain-containing protein YahO,Function unknown,yahO,"omrA,omrB,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6194
b0790,0.1126507385,ybhP,endonuclease/exonuclease/phosphatase domain-containing protein YbhP,"Replication, recombination and repair",ybhP-clsB-ybhN,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6407
b1732,0.1120339449,katE,catalase II,Inorganic ion transport and metabolism,katE,"RpoS,Fis,Fur,Lrp,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10509
b1897,0.1097223058,otsB,trehalose-6-phosphate phosphatase,Carbohydrate transport and metabolism,otsBA,"RpoS,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11752
b2302,0.10921333400000001,yfcG,disulfide reductase,"Post-translational modification, protein turnover,and chaperones",yfcG,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7194
b4376,0.10887066570000001,osmY,periplasmic chaperone OsmY,Function unknown,osmY,"RpoD,RpoS,Fis,Crp,Lrp,IHF,FliZ,Nac,ArcA,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11391
