locus,gene_weight,gene_name,gene_product,COG,operon,regulator,CysB,link
b2763,0.2997238601,cysI,sulfite reductase%2C hemoprotein subunit,Coenzyme transport and metabolism,cysJIH,"RpoD,CysB,IHF",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10190
b2762,0.2839509592,cysH,phosphoadenosine phosphosulfate reductase,Amino acid transport and metabolism,cysJIH,"RpoD,HypT,CysB,IHF",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10189
b2422,0.2708295499,cysA,sulfate/thiosulfate ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,cysPUWAM,"RpoD,H-NS,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10183
b2764,0.2614957717,cysJ,sulfite reductase%2C flavoprotein subunit,Amino acid transport and metabolism,cysJIH,"RpoD,YeiE,YafC,CysB,IHF,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10191
b2752,0.2558136655,cysD,sulfate adenylyltransferase subunit 2,Coenzyme transport and metabolism,cysDNC,"RpoD,YcjW,gcvB,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10186
b2751,0.2349231638,cysN,sulfate adenylyltransferase subunit 1,Coenzyme transport and metabolism,cysDNC,"RpoD,CysB,ppGpp,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10194
b2423,0.2332218868,cysW,sulfate/thiosulfate ABC transporter inner membrane subunit CysW,Inorganic ion transport and metabolism,cysPUWAM,"RpoD,H-NS,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10198
b2012,0.2287458119,yeeD,putative sulfurtransferase YeeD,"Post-translational modification, protein turnover,and chaperones",yeeED,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11894
b2750,0.2271929568,cysC,adenylyl-sulfate kinase,Nucleotide transport and metabolism,cysDNC,"RpoD,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10185
b2013,0.2131025007,yeeE,inner membrane protein YeeE,Function unknown,yeeED,Lrp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11895
b2424,0.2014069181,cysU,sulfate/thiosulfate ABC transporter inner membrane subunit CysU,Inorganic ion transport and metabolism,cysPUWAM,"RpoD,H-NS,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10197
b2425,0.1949860998,cysP,thiosulfate/sulfate ABC transporter periplasmic binding protein CysP,Inorganic ion transport and metabolism,cysPUWAM,"RpoD,H-NS,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10195
b1729,0.1706939507,tcyP,cystine/sulfocysteine:cation symporter,"Intracellular trafficking, secretion, and vesicular transport",tcyP,CysB,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6934
b2414,0.1311917019,cysK,O-acetylserine sulfhydrylase A,Amino acid transport and metabolism,cysK,"RpoD,ppGpp,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10192
b2421,0.11644251430000001,cysM,cysteine synthase B,Amino acid transport and metabolism,cysPUWAM,"RpoD,H-NS,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10193
b1287,0.0855806161,yciW,putative oxidoreductase,Function unknown,yciW,"RpoD,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6640
b0830,0.0668720909,gsiB,glutathione ABC transporter periplasmic binding protein,Amino acid transport and metabolism,iaaA-gsiABCD,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6430
b0832,0.0642657028,gsiD,glutathione ABC transporter membrane subunit GsiD,Amino acid transport and metabolism,iaaA-gsiABCD,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6432
b0831,0.06298396960000001,gsiC,glutathione ABC transporter membrane subunit GsiC,Amino acid transport and metabolism,iaaA-gsiABCD,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6431
b0829,0.060819294200000006,gsiA,glutathione ABC transporter ATP binding subunit GsiA,Inorganic ion transport and metabolism,iaaA-gsiABCD,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6429
b1920,0.0538709127,tcyJ,cystine ABC transporter periplasmic binding protein,Amino acid transport and metabolism,fliAZ-tcyJ,"RpoD,omrA,omrB,H-NS,FliA,CysB,IHF,NsrR,EcpR,SutR,CsgD,FlhDC,gcvB",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7039
b0828,0.051313001500000004,iaaA,isoaspartyl dipeptidase proenzyme,Amino acid transport and metabolism,iaaA-gsiABCD,"ppGpp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12407
b2749,0.0456003019,ygbE,conserved inner membrane protein YgbE,Function unknown,ygbE,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12707
b3917,0.0332017145,sbp,sulfate/thiosulfate ABC transporter periplasmic binding protein Sbp,Inorganic ion transport and metabolism,sbp,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10929
b0833,0.032341865000000004,pdeI,putative c-di-GMP phosphodiesterase PdeI,Signal transduction mechanisms,pdeI-dgcI,CsrA,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6433
b3829,0.032034417100000004,metE,cobalamin-independent homocysteine transmethylase,Amino acid transport and metabolism,metE,"OxyR,YcjW,MetJ,MetR,Nac,fnrS",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10584
b2761,0.0313823224,cas3,CRISPR-associated endonuclease/helicase Cas3,"Replication, recombination and repair",cas3,"Crp,RpoD",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12634
