locus,gene_weight,gene_name,gene_product,cog,regulator,FleN,link
PA1099,0.11967810790000001,fleR,two-component response regulator,Signal transduction mechanisms,"FleQ,FleN",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1099&e1=1&assembly=complete
PA1452,0.1190421257,flhA,flagellar biosynthesis protein FlhA,Cell motility,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1452&e1=1&assembly=complete
PA1081,0.1131697781,flgF,flagellar basal body rod protein FlgF,Cell motility,"FleQ,FleN",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1081&e1=1&assembly=complete
PA1084,0.1130370167,flgI,flagellar basal body P-ring protein,Cell motility,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1084&e1=1&assembly=complete
PA1101,0.1077834815,fliF,flagellar MS-ring protein,Cell motility,"FleQ,FleN",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1101&e1=1&assembly=complete
PA1098,0.10536381830000001,fleS,two-component sensor,Signal transduction mechanisms,"FleQ,FleN",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1098&e1=1&assembly=complete
PA1085,0.105323515,flgJ,peptidoglycan hydrolase FlgJ,Cell motility,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1085&e1=1&assembly=complete
PA3350,0.1017283308,PA3350,flagellar basal body P-ring biosynthesis protein FlgA,Cell motility,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3350&e1=1&assembly=complete
PA1082,0.09893954320000001,flgG,flagellar basal body rod protein FlgG,Cell motility,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1082&e1=1&assembly=complete
PA1083,0.0959178956,flgH,flagellar basal body L-ring protein,Cell motility,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1083&e1=1&assembly=complete
PA1079,0.0951615469,flgD,flagellar basal body rod modification protein,Cell motility,"FleQ,FleN",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1079&e1=1&assembly=complete
PA1078,0.095014318,flgC,flagellar basal body rod protein FlgC,Cell motility,"FleQ,FleN",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1078&e1=1&assembly=complete
PA1100,0.09412656180000001,fliE,flagellar hook-basal body complex protein FliE,Cell motility,"FleQ,FleN",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1100&e1=1&assembly=complete
PA1453,0.0933518427,flhF,flagellar biosynthesis regulator FlhF,Cell motility,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1453&e1=1&assembly=complete
PA1077,0.0933233779,flgB,flagellar basal-body rod protein FlgB,Cell motility,"FleQ,FleN",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1077&e1=1&assembly=complete
PA1441,0.0909192955,PA1441,hypothetical protein,Cell motility,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1441&e1=1&assembly=complete
PA1086,0.0874679845,flgK,flagellar hook-associated protein FlgK,Cell motility,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1086&e1=1&assembly=complete
PA1105,0.08258695440000001,fliJ,flagellar biosynthesis chaperone,Cell motility,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1105&e1=1&assembly=complete
PA1103,0.0799166964,PA1103,flagellar assembly protein FliH,Cell motility,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1103&e1=1&assembly=complete
PA1967,0.0793880714,PA1967,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1967&e1=1&assembly=complete
PA1102,0.0760610052,fliG,flagellar motor switch protein FliG,Cell motility,"FleQ,FleN",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1102&e1=1&assembly=complete
PA1080,0.0740496413,flgE,flagellar hook protein FlgE,Cell motility,"FleQ,FleN",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1080&e1=1&assembly=complete
PA3177,0.0736662879,PA3177,hypothetical protein,Signal transduction mechanisms,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3177&e1=1&assembly=complete
PA1447,0.07290407730000001,fliQ,flagellar biosynthesis protein FliQ,Cell motility,"FleQ,FleN",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1447&e1=1&assembly=complete
PA1088,0.06947385090000001,PA1088,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1088&e1=1&assembly=complete
PA1104,0.06932329100000001,fliI,flagellum-specific ATP synthase,Cell motility,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1104&e1=1&assembly=complete
PA2955,0.0674294619,PA2955,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2955&e1=1&assembly=complete
PA1089,0.06573369030000001,PA1089,hypothetical protein,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1089&e1=1&assembly=complete
PA0447,-0.0663320325,gcdH,glutaryl-CoA dehydrogenase,Lipid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0447&e1=1&assembly=complete
