locus,gene_weight,gene_name,gene_product,cog,operon,regulator,MalT,link
b4035,0.42919350030000003,malK,maltose ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,malK-lamB-malM,"RpoD,Crp,MalT",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10558
b4036,0.4115720617,lamB,maltose outer membrane channel/phage lambda receptor protein,Cell wall/membrane/envelope biogenesis,malK-lamB-malM,"RpoD,YidZ,Crp,MalT,micA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10528
b4034,0.3737169705,malE,maltose ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,malEFG,"RpoD,YidZ,Fis,CreB,Crp,OmpR,MalT,H-NS,StpA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10554
b4037,0.37090178030000004,malM,maltose regulon periplasmic protein,Function unknown,malK-lamB-malM,"RpoD,Crp,MalT",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10559
b4033,0.32400665910000004,malF,maltose ABC transporter membrane subunit MalF,Carbohydrate transport and metabolism,malEFG,"RpoD,Fis,CreB,OmpR,Crp,MalT,H-NS,StpA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10555
b4032,0.3099318139,malG,maltose ABC transporter membrane subunit MalG,Inorganic ion transport and metabolism,malEFG,"RpoD,Fis,CreB,Crp,OmpR,MalT,H-NS,StpA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10556
b3417,0.15695342850000002,malP,maltodextrin phosphorylase,Carbohydrate transport and metabolism,malPQ,"RpoD,YcjW,Fnr,MalT",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10560
b3416,0.1454042908,malQ,4-alpha-glucanotransferase,Carbohydrate transport and metabolism,malPQ,"RpoD,RpoE,Fnr,MalT",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10561
b3571,0.1413562804,malS,alpha-amylase,Carbohydrate transport and metabolism,malS,"RpoD,PhoP,MalT,Crp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11316
b0403,0.0628148125,malZ,maltodextrin glucosidase,Carbohydrate transport and metabolism,malZ,MalT,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10565
b4038,0.042437964200000004,yjbI,pentapeptide repeats-containing protein YjbI,Function unknown,,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11927
