locus,gene_weight,gene_name,gene_product,cog,operon,regulator,Crp,XylR,link
b3565,0.3597024606,xylA,xylose isomerase,Carbohydrate transport and metabolism,xylAB,"Crp,AraC,XylR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11074
b3566,0.3470246832,xylF,xylose ABC transporter periplasmic binding protein,Carbohydrate transport and metabolism,xylFGHR,"Fis,Crp,XylR,spf",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG20252
b4031,0.29302176760000004,xylE,D-xylose:H(+) symporter,Amino acid transport and metabolism,xylE,"RpoD,XylR,Crp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11076
b3564,0.2724230614,xylB,xylulokinase,Nucleotide transport and metabolism,xylAB,"YeiE,Crp,AraC,XylR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11075
b3567,0.260083636,xylG,xylose ABC transporter ATP binding subunit,Carbohydrate transport and metabolism,xylFGHR,"Fis,Crp,XylR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12275
b3568,0.24762812050000002,xylH,xylose ABC transporter membrane subunit,Carbohydrate transport and metabolism,xylFGHR,"Fis,Crp,XylR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12276
b0270,0.2104388721,yagG,putative D-xylonate transporter YagG,Carbohydrate transport and metabolism,yagGH,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6142
b3657,0.2049566268,yicJ,putative xyloside transporter YicJ,Carbohydrate transport and metabolism,yicJI,"RpoE,Nac",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11686
b0271,0.1859871575,yagH,CP4-6 prophage%3B putative xylosidase/arabinosidase,Carbohydrate transport and metabolism,yagGH,ppGpp,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6143
b3656,0.1695647647,yicI,alpha-D-xyloside xylohydrolase,Carbohydrate transport and metabolism,yicJI,"YdcN,YdcR,RpoE,ppGpp",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11685
b3569,0.1532450901,xylR,DNA-binding transcriptional dual regulator XylR,Transcription,xylFGHR,"Fis,ArcA,Crp,XylR,ppGpp,dicF",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG20253
b3563,0.1051318126,yiaB,conserved inner membrane protein YiaB,Function unknown,yiaB,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11267
b4620,0.1001412544,yjbT,PF17089 family protein YjbT,Function unknown,yjbT,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10606
b3562,0.0896178823,yiaA,conserved inner membrane protein YiaA,Function unknown,yiaA,RpoH,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11186
