locus,gene_weight,gene_name,gene_product,cog,regulator,Crp,CytR,link
b2143,0.2610381141647595,cdd,cytidine/deoxycytidine deaminase,Nucleotide transport and metabolism,"RpoD,NsrR,Crp,CytR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10137
b3831,0.251298945488663,udp,uridine phosphorylase,Nucleotide transport and metabolism,"RpoD,Crp,ppGpp,CytR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11045
b3364,0.2503418734517692,tsgA,putative transporter TsgA,Carbohydrate transport and metabolism,"NsrR,ppGpp,OmpR",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11262
b4381,0.176874004944681,deoC,deoxyribose-phosphate aldolase,Nucleotide transport and metabolism,"RpoD,Fis,Crp,ModE,DeoR,CytR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10221
b4382,0.1742722307957935,deoA,thymidine phosphorylase,Nucleotide transport and metabolism,"RpoD,YiaU,Fis,Crp,ModE,DeoR,CytR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10219
b2964,0.1637269884056567,nupG,nucleoside:H(+) symporter NupG,Carbohydrate transport and metabolism,"RpoD,DeoR,Crp,CytR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10664
b1036,0.1607440608371506,ycdZ,putative inner membrane protein,Function unknown,"RpoD,Crp,CytR,ppGpp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6542
b4060,0.133318330365998,yjcB,uncharacterized protein YjcB,Function unknown,"SoxR,Nac",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11937
b0411,0.1332415876304269,tsx,nucleoside-specific channel-forming protein Tsx,Cell wall/membrane/envelope biogenesis,"RpoD,YeiE,DeoR,ppGpp,Crp,CytR,micA,rybB",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11035
b3366,0.1201457081877447,nirD,nitrite reductase subunit NirD,Inorganic ion transport and metabolism,"RpoD,Crp,Cra,IHF,NarL,NarP,Fis,H-NS,Fnr",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10655
b3365,0.1118989234591763,nirB,nitrite reductase catalytic subunit NirB,Energy production and conversion,"RpoD,Crp,Cra,IHF,NarL,NarP,Fis,H-NS,Fnr,ryhB",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10653
