locus,gene_weight,gene_name,gene_product,cog,operon,regulator,VraR,link
USA300HOU_RS13875,0.321465647,USA300HOU_RS13875,hypothetical protein,No COG category,,"VraR,VraS2,WalR",True,https://aureowiki.med.uni-greifswald.de/SAUPAN006219000
USA300HOU_RS03030,0.29371551300000004,USA300HOU_RS03030,protein VraX,No COG category,,"VraR,WalR",True,https://aureowiki.med.uni-greifswald.de/SAUPAN002356000
USA300HOU_RS08780,0.144619132,USA300HOU_RS08780,DUF4930 domain-containing protein,No COG category,,"VraR,VraS2,WalR",True,https://aureowiki.med.uni-greifswald.de/SAUPAN004258000
USA300HOU_RS03440,0.129710134,USA300HOU_RS03440,membrane protein,No COG category,,VraR,True,https://aureowiki.med.uni-greifswald.de/SAUPAN002511000
USA300HOU_RS13180,0.12737699500000002,USA300HOU_RS13180,membrane protein,No COG category,glxK,"VraR,VraS2",True,https://aureowiki.med.uni-greifswald.de/SAUPAN005981000
USA300HOU_RS10235,0.124831254,USA300HOU_RS10235,hypothetical protein,No COG category,"vraR,vraS,yvqF",VraS2,False,https://aureowiki.med.uni-greifswald.de/SAUPAN004902000
USA300HOU_RS09835,0.099501769,prsA,foldase,"Post-translational modification, protein turnover, and chaperones",prsA,"VraR,VraS2,WalR",True,https://aureowiki.med.uni-greifswald.de/SAUPAN004771000
USA300HOU_RS13175,0.096983306,glxK,glycerate kinase,Carbohydrate transport and metabolism,glxK,VraS2,False,https://aureowiki.med.uni-greifswald.de/SAUPAN005980000
USA300HOU_RS05290,0.09378314400000001,iraE,hypothetical protein,Function unknown,iraE,"VraR,VraS2",True,https://aureowiki.med.uni-greifswald.de/SAUPAN003273000
USA300HOU_RS12505,0.09370893300000001,brpA,transcriptional regulator,Transcription,brpA,"VraR,VraS2",True,https://aureowiki.med.uni-greifswald.de/SAUPAN005788000
USA300HOU_RS11630,0.09179079,mtlA,PTS mannitol transporter subunit IICB,Carbohydrate transport and metabolism,"mtlA,mtlR,mtlF,mtlD",MtlR,False,https://aureowiki.med.uni-greifswald.de/SAUPAN005495000
USA300HOU_RS11955,0.08578287400000001,USA300HOU_RS11955,toxin,No COG category,,,False,https://aureowiki.med.uni-greifswald.de/SAUPAN005623000
USA300HOU_RS10230,0.084384125,yvqF,transporter,Function unknown,"vraR,vraS,yvqF",VraS2,False,https://aureowiki.med.uni-greifswald.de/SAUPAN004901000
USA300HOU_RS10295,0.082714646,USA300HOU_RS10295,hypothetical protein,Function unknown,,"VraR,VraS2,WalR",True,https://aureowiki.med.uni-greifswald.de/SAUPAN004920000
USA300HOU_RS14655,0.08262717,vraE,bacitracin ABC transporter permease,Defense mechanisms,"vraD,vraE",,False,https://aureowiki.med.uni-greifswald.de/SAUPAN006466000
USA300HOU_RS01085,0.080993493,ba_1500,peptidase M23,Cell wall/membrane/envelope biogenesis,ba_1500,,False,https://aureowiki.med.uni-greifswald.de/SAUPAN001063000
USA300HOU_RS07280,0.07776074200000001,msrA,peptide-methionine (S)-S-oxide reductase,"Post-translational modification, protein turnover, and chaperones","ba_2302,crR,msrB,msrA,orf3,folA",,False,https://aureowiki.med.uni-greifswald.de/SAUPAN003856000
USA300HOU_RS12570,0.076590114,USA300HOU_RS12570,hypothetical protein,No COG category,,"VraR,VraS2",True,https://aureowiki.med.uni-greifswald.de/SAUPAN005802000
USA300HOU_RS10225,0.075560478,vraS,two-component sensor histidine kinase,Signal transduction mechanisms,"vraR,vraS,yvqF",VraS2,False,https://aureowiki.med.uni-greifswald.de/SAUPAN004900000
USA300HOU_RS10170,0.074153218,mgT,monofunctional glycosyltransferase,Cell wall/membrane/envelope biogenesis,mgT,"VraR,VraS2",True,https://aureowiki.med.uni-greifswald.de/SAUPAN004857000
USA300HOU_RS10220,0.07360583600000001,vraR,DNA-binding response regulator,Signal transduction mechanisms,"vraR,vraS,yvqF",VraS2,False,https://aureowiki.med.uni-greifswald.de/SAUPAN004899000
USA300HOU_RS14590,0.071277003,drp35,lactonase,Inorganic ion transport and metabolism,drp35,"CcpA,VraR,VraS2",True,https://aureowiki.med.uni-greifswald.de/SAUPAN006445000
USA300HOU_RS07135,-0.07307351100000001,USA300HOU_RS07135,protein msa,No COG category,,,False,https://aureowiki.med.uni-greifswald.de/SAUPAN003815000
