locus,gene_weight,gene_name,gene_product,cog,operon,regulator,LexA,link
b0958,0.2517485431,sulA,cell division inhibitor SulA,"Cell cycle control, cell division, chromosome partitioning",sulA,"RpoD,LexA,RcdA,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10984
b2616,0.2462283973,recN,DNA repair protein RecN,"Replication, recombination and repair",recN,"RpoD,DnaA,LexA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10831
b1183,0.21333722600000002,umuD,DNA polymerase V protein UmuD,Transcription,umuDC,"RpoD,LexA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11057
b1848,0.1981909053,yebG,DNA damage-inducible protein YebG,Function unknown,yebG,"RpoD,LexA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11808
b2699,0.1850336569,recA,DNA recombination/repair protein RecA,"Replication, recombination and repair",recAX,"RpoD,LexA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10823
b1184,0.184390553,umuC,DNA polymerase V catalytic protein,"Replication, recombination and repair",umuDC,"RpoD,YcjW,LexA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11056
b2698,0.1789307097,recX,RecA inhibitor RecX,Function unknown,recAX,"RpoD,ppGpp,LexA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12080
b1061,0.1779977516,dinI,DNA damage-inducible protein I,"Replication, recombination and repair",dinI,"RpoD,NagC,LexA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6558
b3645,0.152306991,dinD,DNA damage-inducible protein D,Function unknown,dinD,"YdcR,LexA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11193
b1847,0.13538433390000001,yebF,secreted protein YebF,Function unknown,yebF,"Lrp,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11807
b0231,0.1300498934,dinB,DNA polymerase IV,"Replication, recombination and repair",dinB-yafNOP,"RpoD,YcjW,RpoS,LexA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6115
b4043,0.1154840048,lexA,DNA-binding transcriptional repressor LexA,Transcription,lexA-dinF,"RpoD,LexA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10533
b4044,0.1107091399,dinF,DNA damage-inducible protein F,Defense mechanisms,lexA-dinF,"RpoD,LexA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11491
b1741,0.1022728546,cho,endonuclease of nucleotide excision repair,"Replication, recombination and repair",cho,"RpoD,LexA,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6937
b4058,0.0958861226,uvrA,excision nuclease subunit A,"Replication, recombination and repair",uvrA,"RpoD,LexA,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11061
b0060,0.09446639820000001,polB,DNA polymerase II,"Replication, recombination and repair",polB,"RpoD,LexA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10747
b0779,0.0930317678,uvrB,excision nuclease subunit B,"Replication, recombination and repair",uvrB,"RpoD,LexA,DnaA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11062
b3832,0.0808560194,rmuC,putative recombination limiting protein RmuC,Function unknown,rmuC,YbiH,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11472
