locus,gene_weight,gene_name,gene_product,cog,regulator,FucR,ExuR,link
b2800,0.2862300341181277,fucA,L-fuculose-phosphate aldolase,Carbohydrate transport and metabolism,"RpoD,FucR,Crp,Nac",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10348
b2801,0.2672928081506946,fucP,L-fucose:H(+) symporter,Inorganic ion transport and metabolism,"RpoD,FucR,Crp,spf",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10352
b2802,0.2548339828523921,fucI,L-fucose isomerase,Carbohydrate transport and metabolism,"RpoD,FucR,Crp,spf",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10349
b2799,0.2350103026052856,fucO,L-1%2C2-propanediol oxidoreductase,Energy production and conversion,"RpoD,YdcN,FucR,Crp",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10351
b1521,0.2030464853890885,uxaB,tagaturonate reductase,Carbohydrate transport and metabolism,"RpoD,YdcN,YciT,YqhC,YdhB,YebK,YdiP,YbcM,ExuR,Crp",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11065
b3092,0.2017032681747949,uxaC,D-glucoronate/D-galacturonate isomerase,Carbohydrate transport and metabolism,"RpoD,YdcN,YqhC,YdhB,YbcM,YebK,YedW,Fnr,ExuR,Crp,Nac",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G81
b2803,0.1924460648462281,fucK,L-fuculokinase,Nucleotide transport and metabolism,"RpoD,FucR,Crp,spf",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10350
b3091,0.1859481460953187,uxaA,D-altronate dehydratase,Carbohydrate transport and metabolism,"RpoD,Fnr,ExuR,Crp",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12734
b2804,0.1530979055609355,fucU,L-fucose mutarotase,Carbohydrate transport and metabolism,"RpoD,FucR,ppGpp,Crp",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10355
b3093,0.1376451213889098,exuT,hexuronate transporter,Inorganic ion transport and metabolism,"YqhC,ExuR,Crp,DpiA,Nac",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12738
b2172,0.1293911041124475,yeiQ,putative dehydrogenase%2C NAD-dependent,Carbohydrate transport and metabolism,"YfeC,YqhC,ArcA",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12036
b3011,0.0919517858696036,yqhD,NADPH-dependent aldehyde reductase YqhD,Energy production and conversion,"RpoD,YqhC",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7564
b4322,0.0863410286171668,uxuA,D-mannonate dehydratase,Carbohydrate transport and metabolism,"RpoD,OxyR,YdcN,YcfQ,YedW,ExuR,UxuR,Crp",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11066
b1351,0.0823397152616877,racC,Rac prophage%3B protein RacC,No COG annotation,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6688
