locus,gene_weight,gene_name,gene_product,COG,operon,regulator,CadC,TdcR,TdcA,link
b4131,0.2739188593,cadA,lysine decarboxylase 1,Amino acid transport and metabolism,cadBA,"RpoD,GadX,ArcA,CadC,Lrp,OmpR,H-NS,GadE-RcsB,ppGpp",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10131
b4132,0.26839332450000003,cadB,lysine:cadaverine antiporter,Amino acid transport and metabolism,cadBA,"RpoD,YfeD,GadX,ArcA,CadC,Lrp,OmpR,H-NS,GadE-RcsB",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10132
b3115,0.2202232859,tdcD,propionate kinase,Nucleotide transport and metabolism,tdcABCDEFG,"Fnr,Crp,IHF,TdcA,TdcR",False,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11172
b3114,0.21331017630000002,tdcE,2-ketobutyrate formate-lyase/pyruvate formate-lyase 4,Energy production and conversion,tdcABCDEFG,"Fnr,Crp,IHF,TdcA,TdcR",False,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7627
b3113,0.1993514703,tdcF,putative enamine/imine deaminase,Amino acid transport and metabolism,tdcABCDEFG,"Fnr,Crp,IHF,TdcA,TdcR",False,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7626
b4471,0.19858759,tdcG,L-serine deaminase III,Amino acid transport and metabolism,tdcABCDEFG,"Fnr,Crp,IHF,TdcA,TdcR",False,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7624
b3116,0.1938950614,tdcC,threonine/serine:H(+) symporter,Amino acid transport and metabolism,tdcABCDEFG,"Fnr,Crp,IHF,TdcA,TdcR",False,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10991
b3117,0.1932035222,tdcB,catabolic threonine dehydratase,Amino acid transport and metabolism,tdcABCDEFG,"Fnr,Crp,IHF,TdcA,TdcR",False,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10990
b2579,0.0970888887,grcA,stress-induced alternate pyruvate formate-lyase subunit,Function unknown,grcA,"PdhR,RpoD,YfeD,YneJ,Crp,Fis,ArcA,Fur,Fnr",False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11784
b4130,0.096184879,dtpC,dipeptide/tripeptide:H(+) symporter DtpC,Amino acid transport and metabolism,dtpC,,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12469
b3118,0.0936869094,tdcA,DNA-binding transcriptional activator TdcA,Transcription,tdcABCDEFG,"Fnr,Crp,ppGpp,IHF,TdcA,TdcR,Nac",False,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10989
b0114,0.0883128014,aceE,pyruvate dehydrogenase E1 component,Nucleotide transport and metabolism,pdhR-aceEF-lpd,"RpoD,RpoS,Fnr,NsrR,ArcA,Cra,Crp,PdhR,BtsR",False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10024
