locus,comp,gene_name,product,operon,TF,TPP,link
b3993,0.306139715187,thiE,thiamine phosphate synthase/thiamine phosphate synthase,thiCEFSGH,"TPP, arcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11586
b3992,0.30397312248799996,thiF,ThiS adenylyltransferase,thiCEFSGH,"TPP, arcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11587
b3994,0.301070947563,thiC,HMP-P synthase,thiCEFSGH,"TPP, arcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11585
b3990,0.299779248726,thiH,2-iminoacetate synthase,thiCEFSGH,"TPP, arcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11590
b3991,0.285419091683,thiG,1-deoxy-D-xylulose 5-phosphate:thiol sulfurtransferase,thiCEFSGH,"TPP, arcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11589
b4407,0.254969617727,thiS,ThiS protein,thiCEFSGH,"TPP, arcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G1
b2104,0.216143408804,thiM,hydroxyethylthiazole kinase,thiMD,TPP,True,https://ecocyc.org/gene?orgid=ECOLI&id=M007
b2103,0.19818614006299998,thiD,hydroxymethylpyrimidine kinase / phosphohydroxymethylpyrimidine kinase,thiMD,"TPP, yeiE",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7135
b0068,0.13390136270400002,thiB,thiamin ABC transporter - periplasmic binding protein,sgrR-sroA-tbpA-thiPQ,"TPP, rpoD, sgrR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11574
b0067,0.12714775244999998,thiP,thiamin ABC transporter - membrane subunit,sgrR-sroA-tbpA-thiPQ,"TPP, rpoD, sgrR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11573
b0066,0.0903277200914,thiQ,thiamin ABC transporter - ATP binding subunit,sgrR-sroA-tbpA-thiPQ,"TPP, rpoD, sgrR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11572
