locus,gene_weight,gene_name,gene_product,cog,regulator,AtsR,link
PA0193,0.221776244,PA0193,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0193&e1=1&assembly=complete
PA0199,0.1977249516,exbD1,biopolymer transport protein ExbD,"Intracellular trafficking, secretion, and vesicular transport",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0199&e1=1&assembly=complete
PA0192,0.193174606,PA0192,TonB-dependent receptor,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0192&e1=1&assembly=complete
PA0194,0.1910590406,PA0194,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0194&e1=1&assembly=complete
PA0184,0.18212125410000002,PA0184,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,"CysB,AtsR",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0184&e1=1&assembly=complete
PA0183,0.17913596340000001,atsA,arylsulfatase,Inorganic ion transport and metabolism,"CysB,AtsR",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0183&e1=1&assembly=complete
PA0198,0.1769518326,exbB1,transporter ExbB,"Intracellular trafficking, secretion, and vesicular transport",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0198&e1=1&assembly=complete
PA0197,0.1622032012,tonB2,transporter TonB,Cell wall/membrane/envelope biogenesis,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0197&e1=1&assembly=complete
PA0185,0.161577553,PA0185,ABC transporter permease,Inorganic ion transport and metabolism,"CysB,AtsR",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0185&e1=1&assembly=complete
PA0186,0.1507483618,atsR,ABC transporter,Inorganic ion transport and metabolism,CysB,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0186&e1=1&assembly=complete
PA2070,0.1087963284,PA2070,hypothetical protein,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2070&e1=1&assembly=complete
PA3448,0.1086810566,PA3448,ABC transporter permease,"Intracellular trafficking, secretion, and vesicular transport",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3448&e1=1&assembly=complete
PA2094,0.1071229898,PA2094,transmembrane sensor,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2094&e1=1&assembly=complete
PA3447,0.1060611633,PA3447,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3447&e1=1&assembly=complete
PA2308,0.1042049985,PA2308,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2308&e1=1&assembly=complete
