locus,gene_weight,gene_name,gene_product,cog,regulator,Cbl,CysB,link
b0365,0.3234685099528762,tauA,taurine ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,"YidZ,Cbl,CysB,Nac",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6217
b0366,0.3018201620955476,tauB,taurine ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,"Cbl,CysB",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6218
b0367,0.2864742272935846,tauC,taurine ABC transporter membrane subunit,Inorganic ion transport and metabolism,"Cbl,CysB",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6219
b0937,0.2581762780845575,ssuE,NADPH-dependent FMN reductase,Function unknown,"RpoD,YqhC,YdhB,YihW,gcvB,Fnr,Cbl,IHF,CysB,Nac",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6479
b0368,0.2441207583861086,tauD,taurine dioxygenase,"Secondary metabolites biosynthesis, transport, and catabolism","Cbl,CysB",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12423
b0936,0.2377230824282328,ssuA,aliphatic sulfonate ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,"RpoD,YeiE,Fnr,ppGpp,Cbl,IHF,CysB",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6478
b3917,0.2276201682881211,sbp,sulfate/thiosulfate ABC transporter periplasmic binding protein Sbp,Inorganic ion transport and metabolism,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10929
b0935,0.2260480296175223,ssuD,FMNH2-dependent alkanesulfonate monooxygenase,Energy production and conversion,"RpoD,Fnr,Cbl,IHF,CysB",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6477
b0934,0.1778499839945659,ssuC,aliphatic sulfonate ABC transporter membrane subunit,Inorganic ion transport and metabolism,"RpoD,Fnr,Cbl,IHF,CysB",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6476
b1987,0.1234090872699025,cbl,DNA-binding transcriptional activator Cbl,Transcription,"RpoD,YdcR,NtrC,CysB,Lrp",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7071
b0933,0.1209373689337478,ssuB,aliphatic sulfonate ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,"RpoD,Fnr,ppGpp,Cbl,IHF,CysB",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12358
b3661,0.0936921871666405,nlpA,lipoprotein-28,Cell wall/membrane/envelope biogenesis,"ppGpp,CsgD,GlaR,gcvB",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10657
b4326,0.0899724942554254,iraD,anti-adaptor protein IraD%2C inhibitor of sigma(S) proteolysis,Function unknown,"RpoD,RpoS,Fnr,CsrA,Lrp,ppGpp,DksA",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7923
b1657,0.0824182774287916,ydhP,putative transporter YdhP,Amino acid transport and metabolism,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6893
b2505,0.0712043838860758,yfgH,lipoprotein YfgH,Cell wall/membrane/envelope biogenesis,Nac,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7316
b4721,0.0693487543506065,ytiD,protein YtiD,No COG annotation,"RpoD,ppGpp,DksA",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-16687
b3918,0.0688556266053704,cdh,CDP-diacylglycerol diphosphatase,Lipid transport and metabolism,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10138
