locus,gene_weight,gene_name,gene_product,cog,operon,regulator,OxyR,link
b0849,0.4388534102,grxA,reduced glutaredoxin 1,"Post-translational modification, protein turnover,and chaperones",grxA,OxyR,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10417
b0606,0.3035140746,ahpF,alkyl hydroperoxide reductase%2C AhpF component,"Post-translational modification, protein turnover,and chaperones",ahpCF,"RpoE,RpoD,MetJ,OxyR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11385
b0605,0.2529689408,ahpC,alkyl hydroperoxide reductase%2C AhpC component,"Post-translational modification, protein turnover,and chaperones",ahpCF,"RpoD,MetJ,OxyR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11384
b3942,0.2501193733,katG,hydroperoxidase I,Inorganic ion transport and metabolism,katG,"RpoD,Fur,Fnr,ppGpp,OxyR,Nac,sdhX",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10511
b0812,0.24794883150000002,dps,stationary phase nucleoid protein that sequesters iron and protects DNA from damage,Inorganic ion transport and metabolism,dps,"OxyR,RpoD,oxyS,RpoS,IHF,MntR,ppGpp,Fis,H-NS,ArgR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11415
b3518,0.23886177320000002,ccp,cytochrome c peroxidase,Energy production and conversion,ccp,"RpoD,OxyR,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12244
b2582,0.23610187,trxC,reduced thioredoxin 2,"Post-translational modification, protein turnover,and chaperones",trxC,"RpoD,OxyR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11887
b3943,0.1599212012,yijE,cystine exporter,Amino acid transport and metabolism,yijE,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11902
b0475,0.15650323400000002,hemH,ferrochelatase,Coenzyme transport and metabolism,hemH,"RpoD,YeiE,OxyR,Nac,ryhB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10431
b0006,0.1369606482,yaaA,peroxide stress resistance protein YaaA,Function unknown,yaaA,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10011
b3425,0.0822389239,glpE,thiosulfate sulfurtransferase GlpE,Inorganic ion transport and metabolism,glpEGR,"Crp,ArcA",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10395
b0683,0.0817056673,fur,DNA-binding transcriptional dual regulator Fur,Transcription,fldA-uof-fur,"RpoD,Crp,OxyR,SoxS,Fur,ryhB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10359
b0888,0.0763817046,trxB,thioredoxin reductase,"Post-translational modification, protein turnover,and chaperones",trxB,"YeiE,Lrp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11032
b1749,0.0739823007,xthA,exodeoxyribonuclease III,"Replication, recombination and repair",xthA,"RpoS,ArcA",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11073
b0881,0.0666679285,clpS,specificity factor for ClpA-ClpP chaperone-protease complex,Function unknown,clpS,"PhoP,Lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6463
b2152,0.0647833122,yeiB,DUF418 domain-containing protein YeiB,Function unknown,folE-yeiB,"RpoD,MetJ,fnrS,sgrS",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11290
b2436,0.0640559673,hemF,coproporphyrinogen III oxidase,Coenzyme transport and metabolism,amiA-hemF,"RpoD,IHF",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12189
b2153,0.0593501021,folE,GTP cyclohydrolase 1,Nucleotide transport and metabolism,folE-yeiB,"RpoD,MetJ,ArcA,fnrS,sgrS",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11375
b3519,0.0570518478,treF,cytoplasmic trehalase,Carbohydrate transport and metabolism,treF,"YfeD,RpoS,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12245
b1661,0.055991074,cfa,cyclopropane fatty acyl phospholipid synthase,Cell wall/membrane/envelope biogenesis,cfa,"RpoD,YdcN,RpoS,Nac,ppGpp,ArrS,cpxQ,rydC",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11531
b3500,0.055372483400000005,gor,glutathione reductase (NADPH),Energy production and conversion,gor,"OxyR,RpoD,RpoS,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10412
b2583,0.0544620803,yfiP,conserved protein YfiP,Function unknown,yfiP-patZ,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7349
b0882,0.053151519200000004,clpA,ATP-dependent Clp protease ATP-binding subunit ClpA,"Post-translational modification, protein turnover,and chaperones",clpA,"RpoD,YdcN,YeiE,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10156
b3415,0.049948866700000004,gntT,high-affinity gluconate transporter,Inorganic ion transport and metabolism,gntT,"RpoD,Crp,GntR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12380
b3424,0.047117449400000004,glpG,rhomboid protease,Function unknown,glpEGR,Crp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10397
b2558,0.0458054325,mltF,membrane-bound lytic murein transglycosylase F,Cell wall/membrane/envelope biogenesis,mltF,"RpoD,Rob,YidZ,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11373
b3961,0.0448908155,oxyR,DNA-binding transcriptional dual regulator OxyR,Transcription,oxyR,"RpoD,RpoS,Crp,OxyR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10681
b0851,-0.0449730442,nfsA,NADPH-dependent nitroreductase NfsA,Energy production and conversion,ybjC-nfsA-rimK-ybjN,"RpoD,Rob,MarA,OxyR,SoxS,SdsN",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11261
b1619,-0.0500341788,hdhA,7-alpha-hydroxysteroid dehydrogenase,Lipid transport and metabolism,hdhA,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10425
b2731,-0.051947520500000004,fhlA,DNA-binding transcriptional activator FhlA,Transcription,hypABCDE-fhlA,"oxyS,YbaQ,RpoN,NsrR,IHF,FhlA,Fnr",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10301
b3829,-0.0524500729,metE,cobalamin-independent homocysteine transmethylase,Amino acid transport and metabolism,metE,"OxyR,YcjW,MetJ,MetR,Nac,fnrS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10584
b0850,-0.053529633300000004,ybjC,DUF1418 domain-containing protein YbjC,Function unknown,ybjC-nfsA-rimK-ybjN,"RpoD,Rob,MarA,OxyR,SoxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12842
b3070,-0.058105029600000004,nfeF,NADPH-dependent ferric chelate reductase,Inorganic ion transport and metabolism,yqjH,"RpoD,Fur,NfeR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7593
b1823,-0.06273817100000001,cspC,stress protein%2C member of the CspA family,Transcription,yobF-cspC,"RpoD,BtsR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12204
b1824,-0.06715369040000001,yobF,DUF2527 domain-containing protein YobF,Function unknown,yobF-cspC,"RpoD,oxyS,YdcI,YdcR,YcaN,Nac,BtsR,cyaR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7000
b4367,-0.0695377845,fhuF,hydroxamate siderophore iron reductase,Function unknown,fhuF,"RpoD,YciT,OxyR,Fur,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7949
b1663,-0.0757451864,mdtK,multidrug efflux pump MdtK,Inorganic ion transport and metabolism,mdtK,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12400
