locus,gene_weight,gene_name,gene_product,cog,operon,regulator,CpxR,link
b4484,0.4334075231,cpxP,periplasmic protein CpxP,Cell motility,cpxPQ,"RpoD,YidZ,CpxR,cpxQ",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7816
b1113,0.2599127737,ldtC,L%2CD-transpeptidase YcfS,Cell wall/membrane/envelope biogenesis,ldtC,"RpoD,CpxR,micA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6571
b1436,0.2475453763,yncJ,protein YncJ,Function unknown,,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6747
b1535,0.1913464771,dgcZ,diguanylate cyclase DgcZ,Signal transduction mechanisms,dgcZ,"RpoD,CysB,CpxR,CsrA,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11643
b1846,0.1782343619,yebE,conserved inner membrane protein YebE,Function unknown,yebE,"RpoD,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11806
b1843,0.1748133638,yobB,putative carbon-nitrogen hydrolase family protein YobB,Function unknown,yobB-exoX,"OmpR,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7015
b0970,0.1545899332,yccA,modulator of FtsH protease,Function unknown,yccA,"RpoD,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11113
b1216,0.1469961713,chaA,Na(+)/K(+):H(+) antiporter ChaA,Inorganic ion transport and metabolism,chaA,"YfeC,GlaR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11753
b2597,0.1361611663,raiA,stationary phase translation inhibitor and ribosome stability factor,"Translation, ribosomal structure and biogenesis",raiA,"RpoH,Crp,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11151
b1829,0.1208315907,htpX,zinc dependent endoprotease,"Post-translational modification, protein turnover,and chaperones",htpX,"RpoH,OmpR,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10462
b1902,0.11944918580000001,ftnB,putative ferritin-like protein,Inorganic ion transport and metabolism,ftnB,"RpoD,RpoE,CpxR,ppGpp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7033
b0461,0.1100024901,tomB,protein that modulates Hha toxicity,"Replication, recombination and repair",tomB-hha,"RpoD,PdhR,YdcI,CpxR,BasR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12429
b3088,0.1029625494,alx,putative membrane-bound redox modulator Alx,Inorganic ion transport and metabolism,alx,"ppGpp,OmpR,H,Mn2",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7607
b0495,0.0956200851,ybbA,putative ABC transporter ATP-binding protein YbbA,Inorganic ion transport and metabolism,ybbAP,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11657
b3859,0.09535647130000001,srkA,stress response kinase A,Nucleotide transport and metabolism,srkA-dsbA,"RpoD,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11831
b0459,0.09293829320000001,maa,maltose O-acetyltransferase,Function unknown,maa,YcjW,False,https://ecocyc.org/gene?orgid=ECOLI&id=G58
b1600,0.08886355130000001,mdtJ,multidrug/spermidine efflux pump membrane subunit MdtJ,Inorganic ion transport and metabolism,mdtJI,"RpoD,ppGpp,H-NS",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6858
b0123,0.0884920819,cueO,cuprous oxidase/multicopper oxidase with role in copper homeostasis,"Secondary metabolites biosynthesis, transport, and catabolism",cueO,"ryhB,CueR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12318
b0460,0.0881725642,hha,hemolysin expression modulating protein,Transcription,tomB-hha,"PdhR,RpoD,CpxR,BasR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10439
b1601,0.0826766703,tqsA,autoinducer 2 exporter,Signal transduction mechanisms,tqsA,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6859
b1814,0.08256950610000001,sdaA,L-serine deaminase I,Amino acid transport and metabolism,sdaA,"RpoH,Lrp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10930
b4188,0.0814881486,yjfN,protease activator,Function unknown,yjfN,CpxR,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7851
b3095,0.0776143332,yqjA,DedA family protein YqjA,Function unknown,yqjA-mzrA,"RpoD,RpoE,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7609
b1743,0.076128449,spy,ATP-independent periplasmic chaperone,Cell motility,spy,"RpoD,CpxR,BaeR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6939
b0484,0.0760708563,copA,Cu(+) exporting P-type ATPase,Inorganic ion transport and metabolism,copA,"RpoD,OmpR,CueR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6260
b3363,0.0756799656,ppiA,peptidyl-prolyl cis-trans isomerase A,"Post-translational modification, protein turnover,and chaperones",ppiA,"RpoD,YdhB,YqhC,Crp,CpxR,CytR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10757
b0496,0.0715813275,ybbP,putative ABC transporter membrane subunit YbbP,"Secondary metabolites biosynthesis, transport, and catabolism",ybbAP,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6270
b3037,0.068972079,ygiB,DUF1190 domain-containing protein YgiB,Function unknown,tolC-ygiABC,"PhoP,Rob,SoxS,RpoS,MarA",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11164
b4392,0.0651859491,slt,soluble lytic murein transglycosylase,Cell wall/membrane/envelope biogenesis,slt,"RpoH,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10950
b4313,0.0648668225,fimE,regulator for fimA,Transcription,fimE,"RpoD,YdhB,Lrp,LrhA,H-NS",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10312
b3038,0.0646045249,ygiC,putative enzyme with ATPase activity,Amino acid transport and metabolism,tolC-ygiABC,"PhoP,Rob,SoxS,RpoS,MarA",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11165
b1586,0.0644210441,ynfD,DUF1161 domain-containing protein YnfD,Function unknown,ynfD,"Nac,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6844
b3096,0.0623650586,mzrA,modulator protein MzrA,Function unknown,yqjA-mzrA,"RpoD,RpoE,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7610
b1599,0.060925257000000003,mdtI,multidrug/spermidine efflux pump membrane subunit MdtI,Inorganic ion transport and metabolism,mdtJI,"RpoD,ppGpp,H-NS",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6857
b1969,0.0591725826,hprR,DNA-binding transcriptional dual regulator HprR,Transcription,hprRS,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7057
b2666,0.0576345933,yqaE,Pmp3 family protein,Function unknown,yqaE-kbp,"cyaR,CpxR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7396
b3461,0.0550551076,rpoH,RNA polymerase%2C sigma 32 (sigma H) factor,Transcription,rpoH,"RpoD,RpoN,RpoE,RpoS,DnaA,CpxR,Crp,IHF,CytR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10897
b4751,0.0546184351,yoaL,protein YoaL,No COG annotation,,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-16745
b4171,0.054448116000000005,miaA,tRNA dimethylallyltransferase,"Translation, ribosomal structure and biogenesis",yjeF-tsaE-amiB-mutL-miaA-hfq-hflXKC,"RpoD,RpoH",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10595
b3860,0.0531932143,dsbA,thiol:disulfide oxidoreductase DsbA,"Post-translational modification, protein turnover,and chaperones",srkA-dsbA,"RpoD,CpxR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11297
