locus,gene_weight,gene_name,gene_product,cog,regulator,TyrR,TrpR,Trp-tRNA,link
b2601,0.5079438643877221,aroF,3-deoxy-7-phosphoheptulonate synthase%2C Tyr-sensitive,Amino acid transport and metabolism,"RpoD,SoxR,TyrR,Nac",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10078
b2600,0.4353034417564166,tyrA,fused chorismate mutase/prephenate dehydrogenase,Amino acid transport and metabolism,"RpoD,SoxR,TyrR",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11039
b0388,0.1717004394566005,aroL,shikimate kinase 2,Nucleotide transport and metabolism,"RpoD,TyrR,TrpR",True,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10082
b0112,0.1568889769806982,aroP,aromatic amino acid:H(+) symporter AroP,"Intracellular trafficking, secretion, and vesicular transport","RpoD,Cra,TyrR,ArgR,Fnr,GlaR",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10084
b1264,0.1461116289199189,trpE,anthranilate synthase subunit TrpE,Amino acid transport and metabolism,"RpoD,TrpR,Trp-tRNA,rydC",False,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11028
b2602,0.1358010018341987,yfiL,DUF2799 domain-containing lipoprotein YfiL,Function unknown,"Nac,GlaR",False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12446
b1907,0.117578202399275,tyrP,tyrosine:H(+) symporter,Amino acid transport and metabolism,"RpoD,IHF,HU,TyrR,ppGpp,Lrp",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11041
b1263,0.1138871603414653,trpD,anthranilate synthase subunit TrpD,Nucleotide transport and metabolism,"RpoD,TrpR,Trp-tRNA",False,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11027
b0389,0.0909877134176909,yaiA,protein YaiA,Function unknown,"RpoD,YfeC,TyrR,TrpR,ppGpp",True,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11093
b4054,0.0900966878331897,tyrB,tyrosine aminotransferase,Amino acid transport and metabolism,"RpoD,TyrR,ppGpp",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11040
b1262,0.0829089694701114,trpC,fused indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase,Amino acid transport and metabolism,"RpoD,TrpR,ppGpp,Trp-tRNA",False,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11026
b1704,0.075584981276245,aroH,3-deoxy-7-phosphoheptulonate synthase%2C Trp-sensitive,Amino acid transport and metabolism,"RpoD,YeiE,TrpR",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10080
