locus,gene_weight,gene_name,gene_product,COG,operon,regulator,crp,link
b2093,0.27500751117600003,gatB,galactitol PTS permease - GatB subunit,Carbohydrate transport and metabolism,gatYZABCD,"arcA,crp,gatR,nac,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12415
b2092_2,0.266735280708,gatC_2,,Carbohydrate transport and metabolism,gatYZABCD,rpoD,False,
b2092_1,0.254217952059,gatC_1,,Carbohydrate transport and metabolism,gatYZABCD,rpoD,False,
b2091,0.253578229926,gatD,L-galactitol-1-phosphate 5-dehydrogenase,Amino acid transport and metabolism,gatYZABCD,"arcA,crp,gatR,nac,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12417
b2094,0.233687110684,gatA,galactitol PTS permease - GatA subunit,Carbohydrate transport and metabolism,gatYZABCD,"arcA,crp,gatR,nac,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12414
b2095,0.210647023963,gatZ,"tagatose-1,6-bisphosphate aldolase 2 subunit GatZ",Carbohydrate transport and metabolism,gatYZABCD,"arcA,crp,gatR,nac,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7128
b2096,0.187817020824,gatY,"tagatose-1,6-bisphosphate aldolase 2 subunit GatY",Carbohydrate transport and metabolism,gatYZABCD,"arcA,crp,gatR,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12419
b1426,0.141496054269,ydcH,putative protein,Function unknown,ydcH,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12865
b2149,0.11438174872500001,mglA,D-galactose / D-galactoside ABC transporter - ATP binding subunit,Inorganic ion transport and metabolism,mglBAC,"arcA,crp,fis,galR,galS,nac,rpoD,rpoS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10592
b2150,0.11201172518300001,mglB,D-galactose / D-galactoside ABC transporter - periplasmic binding protein,Carbohydrate transport and metabolism,mglBAC,"arcA,crp,galR,galS,nac,rpoD,rpoS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10593
b2597,0.10398614809000001,raiA,stationary phase translation inhibitor and ribosome stability factor,"Translation, ribosomal structure and biogenesis",raiA,"cra,crp,nac,rpoH",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11151
b4498_1,0.0926901316196,gatR_1,negative DNA-binding transcriptional regulator of galactitol metabolism,No COG Annotation,gatR_1,,False,
b2148,0.09234170159600001,mglC,D-galactose / D-galactoside ABC transporter - membrane subunit,Carbohydrate transport and metabolism,mglBAC,"arcA,crp,fis,galR,galS,nac,rpoD,rpoS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10594
b1817,0.0854568765958,manX,mannose PTS permease - ManX subunit,Carbohydrate transport and metabolism,manXYZ,"cra,crp,mlc,nagC,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10567
b1818,0.084033369375,manY,mannose PTS permease - ManY subunit,Carbohydrate transport and metabolism,manXYZ,"cra,crp,mlc,nagC,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10568
b1819,0.0834372928787,manZ,mannose PTS permease - ManZ subunit,Carbohydrate transport and metabolism,manXYZ,"cra,crp,mlc,nagC,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10569
b4357,0.0775646374071,lgoR,predicted DNA-binding transcriptional regulator,Transcription,lgoR,"crp,exuR,rpoE,uxuR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7944
b0553_1,0.07170573176350001,nmpC_1,,No COG Annotation,nmpC,,False,
