locus,gene_weight,gene_name,gene_product,cog,regulator,link
STM0378,0.2402550862,yaiY,putative inner membrane protein,Function unknown,"crp,nac",https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0378
STM1212,0.2045483334,ycfJ,putative outer membrane lipoprotein,Function unknown,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1212
STM2801,0.1947823403,ygaC,putative cytoplasmic protein,Function unknown,fur,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2801
STM2407,0.1721963161,ypeC,putative periplasmic protein,Function unknown,soxS,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2407
STM2476,0.1531514608,ypfG,putative periplasmic protein,Function unknown,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2476
STM2262,0.1298127824,eco,ecotin,Cell wall/membrane/envelope biogenesis,lrp,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2262
STM1564,0.12266080330000001,yddX,putative cytoplasmic protein,Function unknown,rcsB,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1564
STM3007,0.1108729467,ygdR,putative POT family peptide transport protein,Cell wall/membrane/envelope biogenesis,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3007
STM3392,0.1077833266,yhdV,putative outer membrane lipoprotein,Cell wall/membrane/envelope biogenesis,ydcI,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3392
STM1841,0.10622507240000001,STM1841,putative outer membrane or exported,Function unknown,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1841
STM1982,0.10596486840000001,rcsA,positive transcriptional regulator of capsular/exo- polysaccharide synthesis (LuxR/UhpA family),Transcription,"gadE,h-NS,rcsA;rcsB,rpoD",https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1982
STM3645,0.10402880440000001,yiaD,putative outer membrane lipoprotein,Cell wall/membrane/envelope biogenesis,nac,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3645
STM1494,0.10302933060000001,STM1494,ABC-type transport system protein,Inorganic ion transport and metabolism,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1494
STM3657,0.1024217124,STM3657,putative outer membrane lipoprotein,Cell wall/membrane/envelope biogenesis,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3657
STM1648,0.09819373690000001,hslJ,heat shock protein hslJ,"Post-translational modification, protein turnover,and chaperones","cysB,rpoD",https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1648
STM1249,0.09602288490000001,STM1249,putative periplasmic protein,Function unknown,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1249
STM3065,0.0957530934,yggE,putative periplasmic immunogenic protein,Function unknown,rpoS,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3065
STM2140,0.0947817757,yegS,putative diacylglycerol kinase catalytic domain containing protein,Nucleotide transport and metabolism,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2140
STM1447,0.0941202111,ydhA,putative outer membrane lipoprotein,Function unknown,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1447
STM0080,0.09282148450000001,STM0080,putative outer membrane lipoprotein,Cell wall/membrane/envelope biogenesis,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0080
STM1362,0.0883710956,ydiL,putative cytoplasmic protein,Function unknown,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1362
