locus,gene_weight,gene_name,gene_product,cog,regulator,RoxR,link
PA1190,0.1466617165,PA1190,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1190&e1=1&assembly=complete
PA0107,0.1404331979,PA0107,cytochrome C oxidase assembly protein,"Post-translational modification, protein turnover,and chaperones",RpoS,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0107&e1=1&assembly=complete
PA0110,0.1384924674,PA0110,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0110&e1=1&assembly=complete
PA0106,0.13766778670000002,coxA,cytochrome C oxidase subunit I,Energy production and conversion,"RoxR,RpoS,RpoS",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0106&e1=1&assembly=complete
PA0105,0.1328959898,coxB,cytochrome C oxidase subunit II,Energy production and conversion,"RoxR,RpoS,RpoS",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0105&e1=1&assembly=complete
PA0111,0.1317721096,PA0111,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0111&e1=1&assembly=complete
PA0112,0.1100254574,PA0112,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0112&e1=1&assembly=complete
PA0108,0.1076804682,coIII,cytochrome C oxidase subunit III,Energy production and conversion,"RoxR,RpoS,RpoS",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0108&e1=1&assembly=complete
PA0113,0.1068979017,PA0113,protoheme IX farnesyltransferase,"Post-translational modification, protein turnover,and chaperones",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0113&e1=1&assembly=complete
PA0713,-0.0600612742,PA0713,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0713&e1=1&assembly=complete
PA3785,-0.0636033149,PA3785,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3785&e1=1&assembly=complete
PA0541,-0.0672524161,PA0541,hypothetical protein,Energy production and conversion,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0541&e1=1&assembly=complete
PA1852,-0.0754045264,PA1852,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1852&e1=1&assembly=complete
PA1549,-0.0772921766,PA1549,cation-transporting P-type ATPase,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1549&e1=1&assembly=complete
PA1551,-0.0794661943,PA1551,ferredoxin,Energy production and conversion,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1551&e1=1&assembly=complete
PA3928,-0.08547932080000001,PA3928,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3928&e1=1&assembly=complete
PA3929,-0.085618155,cioB,cyanide insensitive terminal oxidase,Energy production and conversion,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3929&e1=1&assembly=complete
PA1123,-0.097322561,PA1123,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1123&e1=1&assembly=complete
PA1550,-0.1002378973,PA1550,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1550&e1=1&assembly=complete
PA3930,-0.1019151377,cioA,cyanide insensitive terminal oxidase,Energy production and conversion,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3930&e1=1&assembly=complete
PA2381,-0.1463147383,PA2381,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2381&e1=1&assembly=complete
